Lipid,Ctrl_BTBR_ob._2316,Ctrl_BTBR_ob._2317,Ctrl_BTBR_ob._2318,Ctrl_BTBR_ob._2320,HF_BTBR_ob._2329,HF_BTBR_ob._2331,HF_BTBR_ob._2333,HF_BTBR_ob._2334
Label,CT,CT,CT,CT,HF,HF,HF,HF
lysoPC 22_0,94697.69708,79824.4878,52198.68435,48280.49499,55908.84143,92560.00395,129048.9296,55202.59648
lysoPC 22_4,68209.61692,93739.31339,97591.5438,69132.49835,32486.34049,40366.37522,85715.11315,75656.84478
lysoPC 23_0,29904.83616,90810.19417,20530.37608,45298.24331,5522.699943,20432.26816,67318.29495,21012.34348
lysoPC 15_0,35255.92796,14246.23728,9338.891411,7302.974744,24693.94657,39646.1158,48745.25387,29022.90047
lysoPC 24_4,4037.191064,5043.252283,1562.713639,4141.150069,2485.589318,3218.362945,6985.983493,6718.367271
lysoPE 16_0,1339343.262,1149462.47,681689.847,650265.7095,727045.0941,1133797.748,1600074.988,993256.3321
lysoPE 20_4,711874.7559,938125.3915,746273.0282,696499.7244,784444.9448,815783.8791,1551245.632,1098878.415
lysoPE 22_6,657545.3866,647514.5859,527837.4171,443311.5596,555125.7221,648600.925,1161672.932,735705.0014
lysoPE 18_0,141989.0683,81624.61738,83025.76417,65436.88072,112077.444,181018.7658,245660.5659,200691.8509
lysoPE 18_2,157109.5306,81811.00505,67129.47769,55395.69077,168798.4106,203341.8927,400030.7643,172130.2061
lysoPE 20_0,45013.82222,19116.18189,8443.446803,7654.990634,20494.37709,21647.89996,73881.53997,15397.76521
lysoPE 17_0,42688.59823,25497.12986,19302.16613,11417.78086,24773.86344,44969.89745,77452.23978,37841.03125
lysoPE 19_0,25221.51942,20156.81792,8470.528431,10776.40527,14058.1618,25073.37725,45728.46494,18181.36393
lysoPE 22_4,11666.61468,11985.03001,9457.719904,9911.30864,14973.13636,17275.56351,54018.11321,27900.71443
lysoPE 20_2,14553.85949,3460.064047,10743.42845,5861.271536,15908.55123,11010.47535,23185.18009,20126.54901
lysoPE 22_0,3584.510264,4170.638917,4440.056678,5136.175766,3098.042616,4601.599229,4493.339855,1982.682581
MG 16_0,53142.04557,36945.29795,25751.85319,26608.96845,27999.4407,45259.95544,77730.5806,34340.06851
MG 18_2,67651.52668,32978.1909,36116.87576,27478.10182,74687.48221,65325.07503,154903.5822,86775.79844
