Sample,Ctrl_BKS_2202,Ctrl_BKS_2203,Ctrl_BKS_2206,Ctrl_BKS_2211,HF_BKS_2214,HF_BKS_2216,HF_BKS_2217,HF_BKS_2218
Label,CT,CT,CT,CT,HF,HF,HF,HF
DG 28_2,10583.47454,12970.00885,33615.90287,4847.549723,19759.20806,38098.10204,41472.24668,11395.52582
DG 39_2,23338.86037,61032.84478,23896.23501,9373.616593,6460.124934,17545.6399,43889.23857,24487.18174
DG 44_8,7468.255538,18272.21509,5632.606012,3151.199601,11538.34448,10369.9721,18506.52475,34563.61
DG 35_4,40295.19657,83657.97986,72266.87513,34295.31942,91435.38514,28736.1814,38017.03856,62051.72293
lysoPC 20_4,7665538.409,9688199.626,3958041.341,3952775.713,3634233.295,5099810.547,9088740.716,7324882.13
lysoPC 18_2,6135379.076,7293332.766,6119156.635,2746050.455,3634231.055,6769803.612,9255364.472,5221601.261
lysoPC 22_6,4122151.855,4799124.57,2708585.52,1957671.982,2647689.866,2712809.934,7048596.234,4273293.45
lysoPC 19_0,228020.7209,244938.5957,250750.2293,83439.17923,121653.9831,419965.9399,577859.2947,168885.8398
lysoPC 20_0,216927.9862,261474.7585,500096.8473,141163.1182,157841.2714,317222.941,802697.4993,247735.2467
lysoPC 16_0,28900978.61,39392011.96,28581597.25,16265937.78,15942293.54,26599459.97,24901562.34,27454473.92
lysoPC 18_0,27727593.39,28912663.02,18732106.71,10509638.04,16778091.45,36072647.68,26000339.39,29157123.62
lysoPC 24_0,105683.6707,119968.7653,85764.32189,36631.0199,55171.94784,297356.1246,279017.6508,110139.5458
lysoPC 20_2,149491.054,190335.9668,49619.81161,61021.40415,51688.25302,219565.8369,373835.1268,108682.9582
lysoPC 14_0,89308.16062,85128.66135,51958.856,28791.9567,26576.06129,41540.60762,53908.42484,37856.44685
lysoPC 21_0,7863.552916,9735.559522,5999.120504,5138.237242,4576.797385,5637.513698,8574.523781,4677.611712
lysoPC 22_0,63475.75131,47929.64637,69484.82132,41765.63681,34341.83527,122759.3969,158155.9887,53995.50275
lysoPC 22_4,83055.95966,102196.6502,41711.8993,37765.90533,45888.60849,69775.73682,99381.225,71708.05465
lysoPC 23_0,4894.789963,5720.541829,10413.73568,4580.382578,3293.247173,42661.69087,25082.66899,8629.123805
