Sample,Ctrl_BL6_2249,Ctrl_BL6_2250,Ctrl_BL6_2251,Ctrl_BL6_2252,HF_BL6_2260,HF_BL6_2261,HF_BL6_2262,HF_BL6_2266
Label,CT,CT,CT,CT,HF,HF,HF,HF
PE 36_6,264439.4315,396548.2003,302002.0204,268612.1705,104435.6284,137498.2646,149210.9604,157820.1133
PE 38_2,815658.3242,1025000.69,928632.5321,899707.6372,744328.6132,948341.4134,751293.7163,790837.7711
PE 36_2,1970031.03,2312331.541,2386120.878,2626523.078,2583476.824,3168349.514,1938474.249,3670280.501
PE 40_8,1007626.971,1003552.892,1039392.645,1259036.282,1088491.68,1358915.657,1486624.787,1351628.553
PE 36_4,8278392.97,7788854.335,7653760.576,9238171.977,7115327.527,6930058.999,6343005.941,7975420.055
PE 38_4,14241.0483,23214.6338,11736.27905,45288.02949,6339.510068,13295.55118,14017.37933,12920.47729
PE 40_6,5344578.256,5308954.981,4043459.056,6431309.053,5270408.748,5526803.378,4978080.655,6625058.981
PE 37_6,180383.9161,153341.6388,152177.0899,188791.4485,182511.636,145122.3349,185209.7695,276626.339
PE 32_2,51869.19133,61690.1232,56244.44079,54931.30421,15054.10096,13185.62354,16616.91187,15495.83797
PE 37_4,144459.3882,214680.4794,209937.8785,304651.9577,291310.9261,304201.9712,232299.5249,338719.1549
PE 42_6,239269.8089,313458.9161,222369.8795,251241.6924,224720.327,221451.1606,131547.2665,233477.6444
PE 37_2,124409.7381,156111.4639,149244.0033,189408.6065,154331.7327,462523.6453,402731.5747,360388.2141
PE 41_6,166527.3428,217641.89,184512.8132,271098.9824,198569.3788,214124.9976,227869.6091,198791.7916
PE 34_4,163479.7096,53451.62869,31336.62649,46131.91773,50670.45708,27671.07864,19582.10594,40356.88149
PE 40_2,595460.1662,259378.2841,275176.0673,312799.3899,202748.2319,221881.146,118194.7143,225447.9205
PE 42_8,70328.44919,66992.16882,71834.29959,83525.03294,75344.50755,66639.84412,56862.8102,77611.06438
PE 42_10,147259.125,188505.6085,176028.2514,148298.387,183407.366,222920.4066,152881.059,258749.4548
PE 21_4,31281.02539,19709.18691,21238.10338,15671.20725,11110.08864,23625.49394,7141.613135,17879.35236
