"","Ctrl-BL6-2249","Ctrl-BL6-2250","Ctrl-BL6-2251","Ctrl-BL6-2252","HF-BL6-2260","HF-BL6-2261","HF-BL6-2262","HF-BL6-2266"
"Label","CT","CT","CT","CT","HF","HF","HF","HF"
"SM-32-0","4277.331","6303.511","2320.538","2868.677","2320.538","3236.332","2726.154","3030.367"
"SM-30-1"," 664.9642"," 946.7158"," 729.5892","1211.7881"," 400.5024"," 664.9642"," 597.4381"," 597.4381"
"SM-42-1","19597.21","20266.52","48946.97","37829.23","78694.50","44618.43","31442.25","53213.46"
"SM-38-1","9539.551","3817.602","7650.319","3547.056","4567.159","3611.625","7147.950","5956.970"
"TG-50-3","4554542","5699105","4749238","5699105","2755533","3459569","2755533","3459569"
"TG-56-3","460567.3","418549.4","399352.7","460567.3","643967.8","483347.5","349336.5","501264.1"
"TG-54-7","199472.7","212232.7","171136.2","227051.0","527378.3","527378.3","483347.5","349336.5"
"TG-54-3","5224171","4651890","4203273","4651890","4651890","4651890","4554542","5224171"
"TG-58-3"," 66207.68"," 71534.93"," 29070.87"," 46717.12"," 59352.67","104090.92","117866.98"," 50349.97"
"TG-50-2"," 53213.46"," 39141.49"," 89738.12"," 44618.43"," 60911.43","790483.83","882924.44"," 41438.22"
"TG-42-0","18265.905","10269.004"," 7909.701","10708.361","20266.519","19877.241","22048.567"," 9250.235"
"TG-48-2","12953.43","16541.65","47712.35","20499.23","22917.92","16541.65","10584.64","25827.36"
"TG-54-8","96361.57","93786.88","32362.29","66207.68","73860.61","59352.67","93786.88","40723.40"
"TG-52-3","3852005","3459569","5699105","3852005","3852005","2755533","1885919","4554542"
"TG-54-5","1506748","1506748","1885919","1885919","3459569","3852005","3852005","3852005"
"TG-50-0","159510.9","108936.1","165366.9","108936.1","150964.9","249350.0","171136.2","145887.2"
"TG-58-9","15776.96","17574.26","27140.06","23964.20","57697.36","71534.93","45700.53","67729.54"
"TG-42-2","40723.40","20499.23"," 9656.42","17574.26","26249.16","28612.76","50349.97","14543.32"
"TG-58-2","46717.12","32759.56","10584.64","15776.96","27140.06","31442.25","37829.23","23633.13"
"TG-56-9","32759.56","39693.22","26756.60","28612.76","62677.13","64255.02","75897.80","48946.97"
"TG-62-3","2374.2415","2007.0060"," 893.9259","1012.8749"," 241.9356","4934.0380","3817.6019","1261.3328"
"TG-58-5","20499.23","22917.92","22426.47","27140.06","32759.56","35687.53","25188.67","42890.12"
"TG-52-4"," 39141.49"," 36296.68"," 41438.22"," 40723.40"," 69576.76","643967.83","460567.27"," 51683.30"
"TG-44-1","3129.700","4934.038","8892.258","3817.602","8628.297","7147.950","3083.062","8628.297"
"TG-42-1","45700.53","23964.20","12765.01","22426.47","30998.79","31845.30","42890.12","18761.99"
"TG-60-2"," 8755.324","10584.643"," 4934.038"," 5642.890"," 7521.442","19107.074","17957.408"," 5170.137"
"TG-58-7","20266.52","28171.25","31845.30","25827.36","33357.69","30098.80","16541.65","39693.22"
"TG-48-0","184029.61","139440.37","249349.95","190622.32","145887.16"," 81449.03"," 18524.63","227051.03"
