"Sample","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243"
"PC 40_9",193773.984285714,247227.189464286,197317.689285714,226122.400535714,285347.296428571,285347.296428571,450520.603928571,243308.448035714
"PC 42_5",79587.1851607143,88251.3293035714,79587.1851607143,42740.6879821429,52560.8878035714,40740.1316785714,24338.8607678571,68428.0165178571
"PC 30_1",43924.0483357143,38739.4274821429,29604.2187464286,31521.0185357143,25885.5997321429,28495.2293321429,34815.1407125,31521.0185357143
"PC 44_7",5380.08657803571,7958.53787553571,7288.34971535714,7149.45778035714,4565.76887392857,15248.5211732143,8321.50644589286,10821.5161821429
"PC 36_0",271658.989642857,217027.624642857,205717.823821429,285347.296428571,208476.134642857,180852.8255,80728.0989821429,205717.823821429
"PC 34_4",372047.992285714,393477.473428571,311979.460892857,306250.888214286,316463.574178571,281397.249821429,153655.769107143,266987.788392857
"PC 38_1",311979.460892857,212703.797678571,226122.400535714,166881.198089286,263002.767857143,266987.788392857,114718.668821429,348602.556071429
"PC 38_2",1334914.06285714,1334914.06285714,1211694.65464286,1211694.65464286,1041433.58625,1145645.24982143,729938.209285714,1334914.06285714
"PC 40_8",1927700.38107143,1662327.25089286,1927700.38107143,1830197.00892857,1830197.00892857,1272932.56785714,428359.130321429,1830197.00892857
"PC 42_10",955879.297321429,435166.857857143,886650.390178571,729938.209285714,816021.157142857,708525.935696429,75446.9514642857,847475.440892857
"PC 40_7",3404619.23928571,2524491.27857143,3646891.38928571,2524491.27857143,2524491.27857143,2524491.27857143,2194597.62678571,2707890.17321429
"PC 36_1",10316561.6160714,9353458.89285714,10316561.6160714,8413786.19642857,10316561.6160714,13227403.2142857,9353458.89285714,16300016.1428571
"PC 42_8",122175.508571429,104925.049285714,116331.312910714,78684.2205,83724.0643392857,81740.4788392857,70122.0761785714,109734.807660714
"PC 42_11",40158.8461785714,42270.1891785714,34346.9940660714,43924.0483357143,53603.7779642857,43291.4779107143,24878.3242321429,46053.4322303571
"PC 40_6",52560.8878035714,60032.3102321429,48140.8671607143,53084.9719464286,44872.1232142857,44400.4986964286,68428.0165178571,47138.1425892857
"PC 40_5",33549.8261214286,29604.2187464286,16990.3754589286,34815.1407125,23786.4344803571,27166.2703839286,56548.0280714286,37709.0024642857
"PC 42_9",60032.3102321429,50560.2420107143,36345.0238035714,43291.4779107143,38222.1059642857,47138.1425892857,60928.3265178571,44872.1232142857
"PC 34_0",134721.242857143,201258.031607143,148082.963214286,129249.328392857,161801.384107143,155129.416142857,414307.393392857,123774.517142857
"PC 42_7",322976.941964286,266987.788392857,281397.249821429,164340.867678571,171733.162857143,252427.242857143,83724.0643392857,177587.820892857
"PC 40_10",129249.328392857,119141.037589286,127190.990535714,109734.807660714,76376.5748392857,111261.935339286,32263.4358392857,114718.668821429
"PC 40_3",257841.348571429,205717.823821429,233684.990357143,148082.963214286,177587.820892857,177587.820892857,60032.3102321429,190104.917589286
