"Lipid","Adduct","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334"
"PG 36:2"," [M-H]-@5.92",57110.31125,50810.9629354167,120769.487833333,52601.8146770833,63247.93446875,59102.3322375,62049.2303791667,62049.2303791667,50810.9629354167,61154.4703229167,43834.1747708333,38513.6697447917,37279.8944041667,57110.31125,87691.7903645833,62049.2303791667,52601.8146770833,50810.9629354167,45403.2831135417,36705.89976875,58154.8622895833,29918.943546875,43834.1747708333,43834.1747708333,93883.4910625,143786.965,100883.789125,96174.3704375,143786.965,91595.5983333333,89705.0495520833,61154.4703229167,52601.8146770833,66731.01259375,49894.20889375,46115.104459375,49057.1496947917,81265.7780416667,87691.7903645833,65555.0869375,108556.141802083,108556.141802083,167589.4240625,96174.3704375,63247.93446875,100883.789125,117207.643791667,140181.728489583
"PG 36:2"," [M-H]-@6.21",57110.31125,50810.9629354167,120769.487833333,52601.8146770833,63247.93446875,59102.3322375,62049.2303791667,62049.2303791667,50810.9629354167,61154.4703229167,43834.1747708333,38513.6697447917,37279.8944041667,57110.31125,87691.7903645833,62049.2303791667,52601.8146770833,50810.9629354167,45403.2831135417,36705.89976875,58154.8622895833,29918.943546875,43834.1747708333,43834.1747708333,93883.4910625,143786.965,100883.789125,96174.3704375,143786.965,91595.5983333333,89705.0495520833,61154.4703229167,52601.8146770833,66731.01259375,49894.20889375,46115.104459375,49057.1496947917,81265.7780416667,87691.7903645833,65555.0869375,108556.141802083,108556.141802083,167589.4240625,96174.3704375,63247.93446875,100883.789125,117207.643791667,140181.728489583
"PG 36:4"," [M-H]-@4.91",1597.72216458333,2906.88859583333,3566.34782916667,5847.75046041667,5395.97505833333,3268.71018541667,2444.91235208333,9853.95052708333,3723.82275625,3994.95661875,4169.19714583333,4811.94473333333,7118.75041666667,4308.53387916667,3994.95661875,5115.05807708333,3093.54476458333,3406.68124166667,3858.29441666667,2702.80562708333,3268.71018541667,3858.29441666667,2444.91235208333,3858.29441666667,5847.75046041667,6867.47458958333,3858.29441666667,3406.68124166667,4974.18005833333,3723.82275625,6718.47587708333,6867.47458958333,4466.32208541667,6718.47587708333,3723.82275625,4584.2799125,5540.79805,5672.31426041667,5672.31426041667,3994.95661875,5243.77696041667,4584.2799125,3093.54476458333,4811.94473333333,7915.54248958333,4466.32208541667,3723.82275625,6127.38864583333
"PG 38:4"," [M-H]-@6.15",14745.1714375,13893.7330229167,18541.8472229167,15487.4946145833,10833.5547541667,10535.0390625,10694.4418229167,12553.5332291667,16282.5292583333,13448.74141875,5672.31426041667,11000.4750270833,6989.40031666667,10535.0390625,18541.8472229167,17175.6065395833,19682.9724604167,10694.4418229167,16282.5292583333,13144.2378395833,20085.2703270833,10694.4418229167,10694.4418229167,12781.0313625,14446.7673583333,20893.5855625,11750.3515166667,17465.24675,9619.97441041667,9134.30040416667,15296.57116875,20085.2703270833,10001.7661854167,7915.54248958333,12781.0313625,9318.36366666667,10535.0390625,11138.5500583333,11965.2273354167,13144.2378395833,25541.2615416667,28250.2671395833,27133.5096666667,26602.2745458333,12337.2137625,17465.24675,15296.57116875,18956.0786583333
"PG 38:5"," [M-H]-@5.34",7612.69178333333,6989.40031666667,4308.53387916667,6584.2581375,6718.47587708333,4466.32208541667,4974.18005833333,11568.75289375,11750.3515166667,8049.451475,5981.49893958333,7612.69178333333,8678.39841666667,4584.2799125,10694.4418229167,5395.97505833333,4974.18005833333,3723.82275625,4466.32208541667,5243.77696041667,9619.97441041667,8678.39841666667,5672.31426041667,6426.67031041667,11568.75289375,10535.0390625,4811.94473333333,8529.06370625,7118.75041666667,9853.95052708333,9619.97441041667,7118.75041666667,8186.03482708333,11138.5500583333,10001.7661854167,7281.24951666667,5243.77696041667,3723.82275625,4811.94473333333,6292.1307125,5395.97505833333,5395.97505833333,4169.19714583333,4974.18005833333,7762.3034625,3858.29441666667,4466.32208541667,4466.32208541667
"PG 38:6"," [M-H]-@4.85",3723.82275625,2444.91235208333,3406.68124166667,4308.53387916667,5981.49893958333,1922.52797916667,3723.82275625,6989.40031666667,4694.14749791667,3093.54476458333,6292.1307125,4694.14749791667,6292.1307125,3406.68124166667,1922.52797916667,4584.2799125,6584.2581375,2444.91235208333,2906.88859583333,4584.2799125,3858.29441666667,5115.05807708333,3994.95661875,2444.91235208333,2906.88859583333,6292.1307125,3723.82275625,1922.52797916667,5847.75046041667,5981.49893958333,3093.54476458333,5115.05807708333,6867.47458958333,7443.24359583333,7762.3034625,4811.94473333333,4584.2799125,4169.19714583333,3723.82275625,4694.14749791667,4694.14749791667,2444.91235208333,2148.63743541667,7612.69178333333,2906.88859583333,3406.68124166667,3268.71018541667,4169.19714583333
"PG 40:6"," [M-H]-@5.90",10535.0390625,7281.24951666667,4584.2799125,6292.1307125,6867.47458958333,12553.5332291667,8678.39841666667,7443.24359583333,10535.0390625,7915.54248958333,10535.0390625,8374.20185625,5672.31426041667,7281.24951666667,5540.79805,11568.75289375,8529.06370625,8049.451475,6292.1307125,7281.24951666667,13281.7717083333,4811.94473333333,13696.3288333333,8529.06370625,9448.78993333333,7762.3034625,7915.54248958333,14446.7673583333,6127.38864583333,6426.67031041667,7612.69178333333,8186.03482708333,11965.2273354167,11382.6070979167,17970.4351875,10145.1095604167,3268.71018541667,7762.3034625,5540.79805,8049.451475,11568.75289375,9853.95052708333,15296.57116875,9448.78993333333,5395.97505833333,4974.18005833333,5672.31426041667,9134.30040416667
"PG 40:7"," [M-H]-@5.22",6426.67031041667,6867.47458958333,3093.54476458333,7118.75041666667,3723.82275625,4308.53387916667,5981.49893958333,8186.03482708333,11138.5500583333,5115.05807708333,9318.36366666667,7762.3034625,3566.34782916667,5540.79805,9318.36366666667,4811.94473333333,5243.77696041667,6718.47587708333,4694.14749791667,3093.54476458333,6867.47458958333,6718.47587708333,3093.54476458333,6718.47587708333,4694.14749791667,4169.19714583333,2906.88859583333,9318.36366666667,3858.29441666667,6718.47587708333,8971.83196666667,5243.77696041667,8678.39841666667,7612.69178333333,11000.4750270833,8186.03482708333,2906.88859583333,2906.88859583333,4974.18005833333,4466.32208541667,5540.79805,8186.03482708333,3858.29441666667,3268.71018541667,4811.94473333333,4811.94473333333,4308.53387916667,5395.97505833333
"PG 40:8"," [M-H]-@4.78",1922.52797916667,3566.34782916667,1922.52797916667,3994.95661875,4694.14749791667,3406.68124166667,4811.94473333333,4974.18005833333,7118.75041666667,3268.71018541667,5243.77696041667,5395.97505833333,4974.18005833333,4974.18005833333,6127.38864583333,5847.75046041667,5540.79805,3268.71018541667,2148.63743541667,6989.40031666667,4169.19714583333,5981.49893958333,5540.79805,4169.19714583333,3566.34782916667,8374.20185625,2702.80562708333,4584.2799125,5981.49893958333,4811.94473333333,3566.34782916667,3566.34782916667,5395.97505833333,9619.97441041667,8529.06370625,2148.63743541667,6584.2581375,5847.75046041667,6989.40031666667,5981.49893958333,6292.1307125,5847.75046041667,4584.2799125,6989.40031666667,4466.32208541667,8186.03482708333,6292.1307125,4811.94473333333
"PI 34:1"," [M-H]-@5.81",13893.7330229167,36380.1305625,51332.2736666667,27133.5096666667,24063.7683395833,30918.343375,34484.8097729167,21688.8810416667,21259.37896875,25541.2615416667,24627.10450625,24627.10450625,17722.4901958333,33238.1991791667,90587.111375,24063.7683395833,41779.6395333333,22544.8577041667,17465.24675,16588.0037291667,17465.24675,17175.6065395833,19304.9175125,16031.0450625,38117.1930541667,58719.1642041667,52117.87525,45013.45729375,44231.6914166667,39611.803,20893.5855625,26602.2745458333,34484.8097729167,22544.8577041667,22132.86596875,28949.8776458333,16915.5772916667,24063.7683395833,22544.8577041667,19682.9724604167,17465.24675,66110.8831875,33238.1991791667,24063.7683395833,29549.91340625,35625.1602333333,21259.37896875,74727.3977291667
