Lipid	Adduct	RT	CV	Ctrl_BKS_2202	Ctrl_BKS_2203	Ctrl_BKS_2206	Ctrl_BKS_2211	HF_BKS_2214	HF_BKS_2216	HF_BKS_2217	HF_BKS_2218	Ctrl_BKS_db+_2225	Ctrl_BKS_db+_2226	Ctrl_BKS_db+_2227	Ctrl_BKS_db+_2231	HF_BKS_db+_2239	HF_BKS_db+_2241	HF_BKS_db+_2242	HF_BKS_db+_2243	Ctrl_BL6_2249	Ctrl_BL6_2250	Ctrl_BL6_2251	Ctrl_BL6_2252	HF_BL6_2260	HF_BL6_2261	HF_BL6_2262	HF_BL6_2266	Ctrl_BL6_db+_2273	Ctrl_BL6_db+_2274	Ctrl_BL6_db+_2275	Ctrl_BL6_db+_2279	HF_BL6_db+_2286	HF_BL6_db+_2287	HF_BL6_db+_2288	HF_BL6_db+_2289	Ctrl_BTBR_2292	Ctrl_BTBR_2293	Ctrl_BTBR_2297	Ctrl_BTBR_2298	HF_BTBR_2306	HF_BTBR_2307	HF_BTBR_2308	HF_BTBR_2309	Ctrl_BTBR_ob+_2316	Ctrl_BTBR_ob+_2317	Ctrl_BTBR_ob+_2318	Ctrl_BTBR_ob+_2320	HF_BTBR_ob+_2329	HF_BTBR_ob+_2331	HF_BTBR_ob+_2333	HF_BTBR_ob+_2334
TG 51:4	 [M+NH4]+	10.13	7.53763012	83895.46567	171923.3079	67436.52072	107976.7383	96567.18597	16602.55902	128728.9914	113034.0706	113034.0706	121906.8834	113034.0706	99507.87234	102761.4095	109969.6471	74998.71264	142911.1978	48750.50814	68180.49027	61696.74295	69968.40419	124942.0614	113034.0706	96567.18597	120405.1651	63518.89008	88000.9002	31387.51938	91685.51901	118653.7689	102761.4095	94315.78286	83895.46567	118653.7689	96567.18597	52416.19861	113034.0706	109969.6471	136613.6724	107976.7383	147621.2227	77564.55512	145226.5468	99507.87234	171923.3079	166501.1962	183777.1748	194980.59	153621.1533
TG 51:5	 [M+NH4]+	9.96	22.99117541	19542.91673	32089.70639	15922.77687	32488.07954	26961.89479	3954.001667	39142.90233	23243.56693	15196.55845	24580.71733	25883.40532	15721.38306	19542.91673	36062.8865	21053.77263	47675.58453	15721.38306	28239.96359	11855.75068	19542.91673	33709.44587	32488.07954	52416.19861	54202.25526	11855.75068	24384.40584	12806.8901	41386.58081	42984.45277	49259.51288	26696.97761	38012.66924	21578.76444	31387.51938	15196.55845	26696.97761	23062.94212	39958.55439	44979.14152	37258.37254	25252.55163	32488.07954	19408.08598	32089.70639	58899.00316	57314.43958	44461.71636	47128.76712
TG 51:6	 [M+NH4]+	9.74	28.13356133	5339.378486	4798.527859	3954.001667	1233.028538	5194.374936	1326.532441	8442.776165	2383.173868	2217.249324	9054.47894	5723.206757	2720.283708	3534.633299	11471.68216	4866.332948	16466.50135	6697.629949	4480.896291	3101.702177	4522.233182	7948.616223	10257.04762	12078.49421	7604.121685	5386.137656	6443.041527	4393.66351	7948.616223	7948.616223	24942.44013	5933.161129	12446.06247	5826.482158	6697.629949	8709.591127	8984.995884	3407.877676	4522.233182	6231.117745	5983.919099	4092.482947	5429.255262	2133.381711	7530.809589	6574.562853	10086.74601	9681.99512	11024.14349
TG 52:0	 [M+Na]+	11.80	78.09607055	439.345155	339.0038411	91.19475576	486.462402	245.1736324	320.4901795	517.2856136	394.0975823	182.9634616	211.4682283	486.462402	275.7432142	636.8546096	1300.967987	902.4052044	685.6612332	517.2856136	211.4682283	245.1736324	415.4318931	1155.776144	4565.825721	2741.017201	702.8576164	572.0414419	211.4682283	211.4682283	517.2856136	415.4318931	636.8546096	685.6612332	3075.951129	211.4682283	245.1736324	941.7722162	182.9634616	1277.923821	91.19475576	517.2856136	3617.910855	702.8576164	866.0005218	50.05390291	245.1736324	1326.532441	245.1736324	10517.24599	620.3235154
TG 52:0	 [M+NH4]+	11.08	32.29650685	147621.2227	186913.6971	77564.55512	177684.4334	191420.4907	200880.9441	113034.0706	104345.6196	99507.87234	136613.6724	117112.8993	124942.0614	163820.4218	219058.2132	231444.6655	155761.5367	120405.1651	107976.7383	79906.4642	94315.78286	106373.5834	147621.2227	120405.1651	247307.9864	222801.3405	279768.6265	177684.4334	186913.6971	219058.2132	109969.6471	155761.5367	142911.1978	158437.9124	147621.2227	155761.5367	74998.71264	368098.6606	299460.4494	194980.59	279768.6265	70745.84126	314826.9665	180586.0403	189438.5936	194980.59	136613.6724	353931.1357	231444.6655
TG 52:1	 [M+Na]+	10.70	18.29470769	10086.74601	34984.47131	13326.90369	19227.61365	17130.56278	37667.00398	50374.41382	20470.26498	17646.00525	21730.22341	19408.08598	16055.98323	21392.72294	13519.95059	15922.77687	42984.45277	20831.16733	18600.08183	55730.22699	25532.13449	49992.58667	26185.41217	15196.55845	69968.40419	36925.99255	47128.76712	66431.73261	29114.57555	32488.07954	22082.21869	23474.77635	19408.08598	38334.3873	16769.01906	22709.49399	31735.47788	40876.3725	58122.70206	40359.47195	46543.75452	27467.08531	51699.90556	51129.81649	52416.19861	42984.45277	36925.99255	56645.59666	57314.43958
TG 52:1	 [M+NH4]+	10.84	5.916526843	807201.0077	1292234.609	578458.1021	1089010.409	1651171.853	534418.5089	2087276.69	1527238.999	880423.239	1348516.389	1013253.079	715296.0689	1348516.389	1651171.853	1651171.853	1651171.853	935802.9037	935802.9037	880423.239	807201.0077	1957907.916	1527238.999	1957907.916	1957907.916	977996.2115	1013253.079	1771600.023	1129376.353	1771600.023	1771600.023	1348516.389	1450031.999	1042328.166	1292234.609	1348516.389	1170241.598	2087276.69	1957907.916	1771600.023	1957907.916	1348516.389	1238563.389	1089010.409	1392216.64	1957907.916	1771600.023	2366880.507	1527238.999
TG 52:2	 [M+Na]+	12.68	37.27698036	8984.995884	3328.644581	3617.910855	4641.788098	5339.378486	275.7432142	5826.482158	768.9411996	3586.931183	8046.838572	12915.88073	941.7722162	8189.229007	8512.210857	6390.312368	39958.55439	2406.789102	660.6016777	1673.904794	4393.66351	5983.919099	6574.562853	23474.77635	2554.402104	2829.150894	2460.117207	124.9332425	5429.255262	5429.255262	9986.22697	4281.418378	29114.57555	4565.825721	15537.39923	30703.47362	10257.04762	7200.131385	10517.24599	29540.51647	33114.19408	21730.22341	8442.776165	3194.73727	10341.29307	20275.01639	8709.591127	9793.243288	39142.90233
TG 52:2	 [M+NH4]+	10.56	14.05774071	2896139.481	4510552.265	3270246.353	2366880.507	2366880.507	3270246.353	2896139.481	2219699.516	3481367.83	3007396.256	3270246.353	3007396.256	2219699.516	1957907.916	2087276.69	2366880.507	3757901.423	3610773.105	5995165.944	4005902.501	4005902.501	3481367.83	2736999.518	4510552.265	4255723.599	5483044.94	5083865.409	3610773.105	3007396.256	3610773.105	3007396.256	2509585.327	3757901.423	3481367.83	4005902.501	3610773.105	3481367.83	4754888.155	4754888.155	3007396.256	4005902.501	4510552.265	4255723.599	4005902.501	3270246.353	2736999.518	3481367.83	4005902.501
TG 52:3	 [M+NH4]+	10.41	7.756732821	2736999.518	8279131.616	3481367.83	3270246.353	2509585.327	3481367.83	4005902.501	2366880.507	4005902.501	3610773.105	2509585.327	3481367.83	2896139.481	2219699.516	2366880.507	2219699.516	3481367.83	3757901.423	8279131.616	4255723.599	4754888.155	2509585.327	2087276.69	5083865.409	5995165.944	5995165.944	4005902.501	4005902.501	3270246.353	2219699.516	3481367.83	2219699.516	3610773.105	3007396.256	2509585.327	4255723.599	4255723.599	5995165.944	2219699.516	3610773.105	2736999.518	5995165.944	6781914.969	4510552.265	3481367.83	3007396.256	3757901.423	2896139.481
