"Lipid","Adduct","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334"
"plasmenyl-PC 22:0"," [M+Na]+@3.58",1947.98210416667,2454.35246389583,2105.97961635417,593.587647833333,1708.96102291667,1309.33436666667,593.587647833333,2679.58472916667,1309.33436666667,1309.33436666667,1309.33436666667,2105.97961635417,1543.80896666667,1543.80896666667,3152.55378541667,593.587647833333,892.096423479167,892.096423479167,1309.33436666667,1543.80896666667,1104.16017083333,1104.16017083333,892.096423479167,892.096423479167,892.096423479167,593.587647833333,593.587647833333,593.587647833333,1543.80896666667,1104.16017083333,1708.96102291667,2105.97961635417,892.096423479167,593.587647833333,1104.16017083333,1309.33436666667,892.096423479167,593.587647833333,593.587647833333,892.096423479167,1543.80896666667,593.587647833333,1104.16017083333,593.587647833333,593.587647833333,593.587647833333,1543.80896666667,593.587647833333
"plasmenyl-PC 24:0"," [M+Na]+@4.48",9353.65248333333,1947.98210416667,5363.15487083333,3702.88476222917,6074.6298875,3152.55378541667,3367.35395625,7160.74577333333,3533.26275416667,4788.84555208333,3886.24983541667,5687.5228625,5037.02621591667,4431.5801955625,8380.37425208333,2956.38965208333,5964.098125,3533.26275416667,1708.96102291667,2454.35246389583,1543.80896666667,1309.33436666667,1947.98210416667,1708.96102291667,2679.58472916667,1947.98210416667,1309.33436666667,2454.35246389583,2814.290358875,2814.290358875,2274.71810547917,2274.71810547917,2454.35246389583,1708.96102291667,1708.96102291667,2679.58472916667,1104.16017083333,1708.96102291667,2105.97961635417,1708.96102291667,3367.35395625,3533.26275416667,2814.290358875,1947.98210416667,1543.80896666667,1104.16017083333,2454.35246389583,1104.16017083333
"plasmenyl-PE 18:0"," [M+Na]+@1.79",110340.330791667,39887.6631927083,119817.908875,70087.349375,101744.752875,74925.1893541667,43660.2222395833,115677.330875,90931.5903541667,64785.3328333333,80481.6275416667,115677.330875,107649.473770833,79503.6455208333,114033.618104167,57587.5398229167,100629.472854167,86440.493875,49993.4623229167,69306.7283541667,52000.5561458333,66285.647119375,59918.9448958333,53283.5131770833,49724.7607916667,36301.3078958333,54641.9437291667,56636.005875,44412.8627791667,59918.9448958333,82524.577875,86440.493875,49216.6025833333,48247.6582083333,61941.7941666667,43935.3072708333,51494.8755833333,35325.6508635417,90358.60821875,42164.6219166667,61941.7941666667,36985.6466770833,43660.2222395833,40094.60165625,45249.46711875,50898.3501458333,42164.6219166667,43385.1372083333
"plasmenyl-PE 20:0"," [M+Na]+@1.92",70833.587375,20652.5832645833,88328.4516041667,24856.5608154167,70833.587375,67188.4175833333,23587.3646729167,76428.0910858333,81845.5188958333,32320.8331875,61941.7941666667,74925.1893541667,75654.953375,61941.7941666667,96618.0979583333,26523.0429802083,77177.759875,67188.4175833333,37669.1065354167,61941.7941666667,35518.8674583333,31880.2057020833,36706.7804583333,52558.7783958333,31491.0594625,23896.8732708333,52000.5561458333,30022.8413104167,43935.3072708333,52558.7783958333,73548.6860625,73548.6860625,16060.272025,20381.8806229167,20381.8806229167,25967.2039708333,19115.4117291667,17966.8428285417,23896.8732708333,17713.37201125,18217.042298125,16918.440138125,21147.9798,9970.67592916667,16456.3332770833,15469.404285625,17455.5368979167,18439.56135
"plasmenyl-PE 22:0"," [M+Na]+@2.70",17966.8428285417,5037.02621591667,24240.4216354167,6074.6298875,20146.66125,16698.2329104167,6571.39565416667,13472.613525,13284.17076875,9353.65248333333,9188.67001875,22309.769875,13284.17076875,22899.858670625,23233.8706583333,7639.03570520833,19891.18345625,19891.18345625,11271.4891083333,18217.042298125,10481.4209958333,12733.7135229167,10929.9068270833,18674.26483125,10804.934955625,9188.67001875,12208.0570270833,10173.5356083333,10341.8598477708,17455.5368979167,17086.0433333333,22041.1550416667,7487.6791625,9970.67592916667,7897.77755979167,6571.39565416667,7487.6791625,5363.15487083333,7639.03570520833,9485.70386710417,5563.45152708333,6226.62668752083,4590.27787916667,3152.55378541667,7639.03570520833,6571.39565416667,5363.15487083333,6712.92034166667
"plasmenyl-PE 32:1"," [M+H]+@6.65",168578.480083333,80481.6275416667,228776.827854167,105478.261166667,114033.618104167,224222.190395833,81135.794125,160780.199875,265340.175,173720.010708333,211527.645625,215625.1535625,247168.375354167,131894.133770833,121385.01425,96618.0979583333,114033.618104167,114033.618104167,105478.261166667,118191.648479167,37264.5128958333,36301.3078958333,53476.7067916667,81135.794125,74338.4274791667,86440.493875,105478.261166667,44412.8627791667,40450.5103958333,52000.5561458333,92192.15425,79503.6455208333,153230.0098125,148761.655333333,106572.533145833,130540.979770833,57840.8919375,66285.647119375,77177.759875,56636.005875,95637.5254583333,70833.587375,106572.533145833,74338.4274791667,83442.3537291667,61230.7372083333,47125.753125,67188.4175833333
"plasmenyl-PE 33:1"," [M+H]+@7.01",29689.5431666667,47678.7511041667,48811.9424395833,28943.911,33753.5376708333,59215.9472708333,38819.6143145833,32320.8331875,29326.2607185417,31880.2057020833,38819.6143145833,40845.2382083333,25623.082,33753.5376708333,27178.2921166667,31125.6742291667,20146.66125,20652.5832645833,27589.69850625,27589.69850625,27868.1684854167,17086.0433333333,20652.5832645833,27868.1684854167,20652.5832645833,19115.4117291667,27868.1684854167,15625.6791254167,18902.8429770833,22309.769875,13617.5047666667,17713.37201125,50262.1638541667,37669.1065354167,41742.3810208333,35996.6929583333,32320.8331875,46056.3711902083,34761.9740416667,40094.60165625,41742.3810208333,39235.1869166667,33253.4282083333,39680.7247291667,61941.7941666667,34367.3447854167,25623.082,39680.7247291667
"plasmenyl-PE 34:1"," [M+H]+@7.23",3374869.32333333,2165078.83958333,3219384.37625,2264806.68870833,3064562.81791667,5207135.4625,2016898.649375,2780240.528125,3576552.668125,2780240.528125,3064562.81791667,3374869.32333333,3219384.37625,2911816.0125,2165078.83958333,2471398.25833333,2165078.83958333,2471398.25833333,2365270.17333333,2671641.55791667,1600816.26833333,1600816.26833333,1669430.43279167,2365270.17333333,2090641.86958333,1871071.78145833,2090641.86958333,1750732.02770833,2016898.649375,2165078.83958333,2365270.17333333,2365270.17333333,3576552.668125,3769904.218125,3064562.81791667,3374869.32333333,3219384.37625,2671641.55791667,3374869.32333333,2911816.0125,3219384.37625,2264806.68870833,2911816.0125,1871071.78145833,2911816.0125,2365270.17333333,2165078.83958333,3219384.37625
"plasmenyl-PE 34:1"," [M+Na]+@7.28",10929.9068270833,92192.15425,12521.1103520833,22309.769875,8380.37425208333,15866.414525,19891.18345625,8380.37425208333,10341.8598477708,14357.2209229167,13284.17076875,9188.67001875,9643.41125625,9353.65248333333,11271.4891083333,10173.5356083333,7639.03570520833,15253.59856375,148761.655333333,13284.17076875,20146.66125,15625.6791254167,16918.440138125,26801.7846875,26523.0429802083,129259.268333333,13793.9498520833,12733.7135229167,14897.7999666667,13955.2876958333,9807.16972916667,9643.41125625,27178.2921166667,13472.613525,15069.44705625,19115.4117291667,142519.639270833,108870.446270833,17713.37201125,7160.74577333333,195059.6044375,98488.9984166667,26801.7846875,133725.740541667,21420.783355625,188194.112895833,247168.375354167,15069.44705625
"plasmenyl-PE 34:2"," [M+H]+@6.87",336764.72075,372957.190208333,537359.801666667,404244.566666667,322626.111666667,631005.036354167,388219.817041667,341811.438895833,429112.1025,493910.028604167,477296.5580625,452582.675208333,381264.366666667,361526.916875,341811.438895833,399230.988541667,247168.375354167,291149.021291667,404244.566666667,367035.642,271119.96925,195059.6044375,251937.8936875,388219.817041667,437836.651041667,352193.677083333,444628.601041667,278186.300458333,274496.307375,291149.021291667,278186.300458333,265340.175,477296.5580625,419871.779375,399230.988541667,477296.5580625,317999.325729167,399230.988541667,388219.817041667,361526.916875,393735.844395833,347218.853979167,518917.9395625,322626.111666667,381264.366666667,367035.642,302650.984854167,393735.844395833
