Class	Carbon_Chain	Double_Bond	Adduct	RT	CV	Ctrl_BKS_2202	Ctrl_BKS_2203	Ctrl_BKS_2206	Ctrl_BKS_2211	HF_BKS_2214	HF_BKS_2216	HF_BKS_2217	HF_BKS_2218	Ctrl_BKS_db._2225	Ctrl_BKS_db._2226	Ctrl_BKS_db._2227	Ctrl_BKS_db._2231	HF_BKS_db._2239	HF_BKS_db._2241	HF_BKS_db._2242	HF_BKS_db._2243	Ctrl_BL6_2249	Ctrl_BL6_2250	Ctrl_BL6_2251	Ctrl_BL6_2252	HF_BL6_2260	HF_BL6_2261	HF_BL6_2262	HF_BL6_2266	Ctrl_BL6_db._2273	Ctrl_BL6_db._2274	Ctrl_BL6_db._2275	Ctrl_BL6_db._2279	HF_BL6_db._2286	HF_BL6_db._2287	HF_BL6_db._2288	HF_BL6_db._2289	Ctrl_BTBR_2292	Ctrl_BTBR_2293	Ctrl_BTBR_2297	Ctrl_BTBR_2298	HF_BTBR_2306	HF_BTBR_2307	HF_BTBR_2308	HF_BTBR_2309	Ctrl_BTBR_ob._2316	Ctrl_BTBR_ob._2317	Ctrl_BTBR_ob._2318	Ctrl_BTBR_ob._2320	HF_BTBR_ob._2329	HF_BTBR_ob._2331	HF_BTBR_ob._2333	HF_BTBR_ob._2334
plasmenyl-PE	40	6	 [M+H]+	7.17	4.6	279101.7597	252002.4484	308922.0619	352472.8775	697334.6274	359887.5975	559749.6145	448577.7205	346765.5881	319747.4666	346765.5881	346765.5881	441111.5015	494570.316	455176.598	470332.2955	367163.0112	340290.2038	379055.9334	385255.8602	346765.5881	352472.8775	346765.5881	367163.0112	485982.0772	279101.7597	243055.8124	390576.8543	308922.0619	298536.7414	303862.2993	402460.9178	227468.4857	303862.2993	159105.5653	235107.046	288690.7778	265119.8685	269598.8282	223317.979	231468.2405	308922.0619	288690.7778	335483.9618	274413.3305	192962.0032	238468.2906	325336.759
lysoPC	22	6	 [M+H]+	1.21	4.7	3295365.994	3160636.908	2339338.535	4013374.822	3160636.908	2465765.97	4013374.822	2983981.311	2835688.526	2465765.97	2339338.535	3295365.994	2339338.535	2339338.535	2983981.311	2711199.985	3295365.994	2983981.311	3596321.562	4812917.102	4158281.24	4362597.42	4158281.24	3295365.994	3880016.42	3160636.908	2465765.97	3596321.562	3748060.579	2983981.311	2983981.311	4158281.24	4013374.822	5634645.554	3880016.42	5634645.554	4564994.882	4564994.882	3880016.42	5053750.494	4564994.882	5999576.471	5999576.471	6727414.319	5634645.554	4564994.882	4013374.822	3880016.42
lysoPC	19	0	 [M+H]+	2.77	4.93	211857.5368	279101.7597	182854.636	325336.759	372710.2708	178510.2708	352472.8775	255727.4497	359887.5975	329618.1217	293647.0657	367163.0112	252002.4484	252002.4484	279101.7597	293647.0657	279101.7597	288690.7778	260385.4205	419167.707	274413.3305	346765.5881	188348.1868	359887.5975	165248.6492	215671.4797	201999.6098	188348.1868	414027.9106	279101.7597	283628.6279	252002.4484	335483.9618	325336.759	329618.1217	419167.707	308922.0619	293647.0657	215671.4797	279101.7597	319747.4666	367163.0112	372710.2708	319747.4666	329618.1217	419167.707	219634.6027	247667.6099
lysoPC	17	0	 [M+Na]+	1.81	4.95	303862.2993	546148.1982	559749.6145	633297.6342	710072.9634	586195.0754	419167.707	346765.5881	524711.8197	390576.8543	409040.8055	390576.8543	754323.8708	586195.0754	559749.6145	679700.1328	633297.6342	697334.6274	470332.2955	614369.6069	390576.8543	524711.8197	463022.4263	546148.1982	455176.598	315567.3201	710072.9634	395772.7509	470332.2955	359887.5975	346765.5881	329618.1217	359887.5975	385255.8602	485982.0772	395772.7509	390576.8543	340290.2038	390576.8543	409040.8055	315567.3201	395772.7509	359887.5975	385255.8602	315567.3201	546148.1982	419167.707	414027.9106
lysoPC	20	1	 [M+H]+	2.45	5.15	283628.6279	633297.6342	195773.8051	586195.0754	188348.1868	143238.2444	204773.7108	143238.2444	367163.0112	288690.7778	283628.6279	448577.7205	180707.3418	165248.6492	175881.7573	154915.5059	546148.1982	572463.2624	535024.4361	455176.598	215671.4797	315567.3201	195773.8051	243055.8124	352472.8775	395772.7509	293647.0657	470332.2955	367163.0112	227468.4857	211857.5368	265119.8685	402460.9178	535024.4361	448577.7205	546148.1982	185661.9489	227468.4857	171445.846	163690.5817	463022.4263	504090.1639	633297.6342	504090.1639	238468.2906	190636.9938	173839.0011	178510.2708
PC	36	5	 [M+H]+	5.63	5.21	2835688.526	2579586.391	1730893.744	2835688.526	1321518.681	679700.1328	2150310.29	1510977.876	2579586.391	2835688.526	1883214.521	3748060.579	1380119.109	978544.6528	1021216.089	732261.9102	4158281.24	3295365.994	4013374.822	3748060.579	2059032.925	2240937.845	3160636.908	1663149.824	3748060.579	4564994.882	1970232.117	4158281.24	1663149.824	1576862.835	1510977.876	2579586.391	2150310.29	3160636.908	2579586.391	3295365.994	754323.8708	871360.3524	783327.4494	710072.9634	5053750.494	3469989.306	4812917.102	3596321.562	805568.9706	504090.1639	783327.4494	1059989.004
MG	17	0	 [M+Li]+	3.21	5.28	35398.04461	62324.32462	66039.1908	72634.99393	98056.0822	74343.49208	47384.27633	51282.16087	62865.60055	60137.67249	45098.78587	39094.91666	93228.66841	73483.40295	73483.40295	61474.3726	77527.60804	85783.85021	59480.37711	72634.99393	61474.3726	77527.60804	62324.32462	63815.60297	68787.00396	60137.67249	112285.6304	62324.32462	108543.766	78590.41593	69529.13567	50831.41871	75093.50173	74343.49208	81625.74061	66039.1908	56263.50213	67279.79372	70262.89681	70262.89681	67963.63261	76718.57134	63815.60297	62865.60055	58766.58296	105909.3798	77527.60804	70262.89681
TG	54	3	 [M+NH4]+	10.63	5.3	4362597.42	2059032.925	2240937.845	1321518.681	679700.1328	3596321.562	1195413.329	1730893.744	1799576.667	1576862.835	2579586.391	1195413.329	1799576.667	1883214.521	936559.2972	1663149.824	754323.8708	783327.4494	1730893.744	871360.3524	2150310.29	754323.8708	1021216.089	871360.3524	1970232.117	1883214.521	2339338.535	2339338.535	902038.4319	1257489.017	1444798.626	936559.2972	2240937.845	1883214.521	1663149.824	1510977.876	1321518.681	1257489.017	1444798.626	1799576.667	2150310.29	1799576.667	1970232.117	2339338.535	1799576.667	1883214.521	1101212.473	1380119.109
PE	36	4	 [M+H]+	6.35	5.4	426654.8409	402460.9178	385255.8602	367163.0112	315567.3201	346765.5881	308922.0619	372710.2708	426654.8409	402460.9178	390576.8543	441111.5015	167212.0666	352472.8775	390576.8543	346765.5881	433828.2083	485982.0772	303862.2993	325336.759	359887.5975	379055.9334	315567.3201	346765.5881	293647.0657	367163.0112	572463.2624	274413.3305	192962.0032	315567.3201	279101.7597	335483.9618	219634.6027	215671.4797	319747.4666	255727.4497	231468.2405	238468.2906	279101.7597	238468.2906	372710.2708	252002.4484	243055.8124	192962.0032	165248.6492	150671.8615	190636.9938	211857.5368
lysoPC	18	0	 [M+H]+	2.31	5.43	20132159.19	20132159.19	16572924.29	20132159.19	22720360.5	29921518.56	26451287.46	26451287.46	20132159.19	20132159.19	22720360.5	22720360.5	22720360.5	20132159.19	20132159.19	22720360.5	16572924.29	20132159.19	16572924.29	20132159.19	22720360.5	26451287.46	22720360.5	29921518.56	16572924.29	16572924.29	16572924.29	13817681.24	22720360.5	22720360.5	22720360.5	22720360.5	20132159.19	22720360.5	22720360.5	22720360.5	26451287.46	26451287.46	32568279.96	26451287.46	22720360.5	22720360.5	20132159.19	16572924.29	29921518.56	29921518.56	22720360.5	22720360.5
PC	38	2	 [M+H]+	7.33	5.61	663682.3478	783327.4494	902038.4319	1021216.089	902038.4319	697334.6274	1101212.473	679700.1328	1195413.329	1257489.017	1152700.584	1321518.681	1444798.626	805568.9706	871360.3524	1059989.004	1510977.876	1444798.626	1321518.681	1321518.681	1059989.004	1195413.329	902038.4319	1152700.584	1152700.584	1257489.017	783327.4494	1444798.626	1970232.117	1510977.876	2150310.29	1799576.667	1152700.584	1510977.876	1152700.584	1321518.681	1101212.473	1059989.004	1321518.681	1021216.089	1576862.835	1576862.835	1799576.667	1444798.626	1510977.876	1257489.017	1510977.876	1444798.626
