"Sample","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266"
"lysoPE 14_0",1411.04692391368,818.182590978346,1123.46535027962,2296.76873423381,867.322201796512,867.322201796512,569.981663224656,503.297067667094
"MG 20_0",11145.78705092,12216.4647436599,7569.33270324337,7569.33270324337,26445.6498018445,17832.1854382187,14040.7586622347,8743.03737327956
"MG 16_0",209636.075455232,258509.846527005,121912.318370366,107262.312485813,430834.214148233,294671.854636573,209636.075455232,114832.463512575
"MG 17_0",3626.56543918095,5480.36106743619,5035.99303458581,4160.77931710736,6235.46847186208,6154.27078515524,7455.48388835241,5403.07213030986
"MG 18_0",605884.428076666,714911.878151464,738235.701981288,605884.428076666,1170172.54612086,977535.754080651,738235.701981288,656031.417080701
"MG 22_0",9884.69373829821,9646.40068994235,7122.75331455143,8099.14144085014,12781.7273109445,10866.8464510759,9197.27529763568,6154.27078515524
"MG 20_4",12618.8333493546,10333.3513768161,5563.09756279768,7376.93467832335,10585.4030459485,12216.4647436599,11273.4736028691,7294.55431427239
"MG 18_2",7122.75331455143,7194.96845122194,7017.19469566664,5718.39377688003,11145.78705092,12488.6839695275,7860.68074802649,5356.20958603735
"MG 19_0",1338.64304046164,1478.38811687831,1677.24310014025,753.882161980778,3283.39021609753,2445.17648560438,1808.20348206218,993.774257288947
"MG 21_0",709.339876200706,753.882161980778,569.981663224656,426.708547511286,1338.64304046164,1063.18474221352,867.322201796512,709.339876200706
"MG 23_0",1063.18474221352,426.708547511286,753.882161980778,709.339876200706,940.261813181366,1258.62638779867,1198.94675430264,426.708547511286
"PC 31_0",180760.130342769,186702.776833345,138334.780008591,141350.507760114,116292.48473204,117834.275494868,126906.029457438,129987.126107419
"PC 36_2",1110766.02950714,1049340.94581209,905287.045004015,937247.526570316,873649.246921088,873649.246921088,1049340.94581209,977535.754080651
"PC 44_2",173899.488566082,157347.172911954,129987.126107419,152548.141497764,88679.2392471334,71273.2768878392,97562.7801367842,101448.863644726
"PC 32_2",223524.973258297,184121.861896287,91651.5838497487,170896.657612624,65353.683728467,64201.4139458909,101448.863644726,80589.2574650181
"PC 40_2",285600.905882484,273593.712628702,334156.635012901,302985.693493846,190994.770565509,133617.563461576,195751.994832818,253046.948715379
"PC 29_0",35072.2571670287,40539.8678624307,21891.5537184833,27286.3180180708,16635.8568564016,17342.0981752716,22877.4895171125,13472.5799988513
"PC 38_4",342721.467376627,397778.30771661,430834.214148233,417740.909957642,358500.314910743,443608.815411446,387270.617647466,505819.673411506
"PC 43_2",41111.2411963647,58535.5165196886,60166.5128489118,66257.3182483344,51873.638520381,36067.1033115075,51022.0681513153,67312.5417816368
"PC 42_2",848209.171972885,1232916.63256369,873649.246921088,873649.246921088,656031.417080701,738235.701981288,848209.171972885,848209.171972885
"PC 36_4",1292322.62228349,1362378.17713652,1889416.98346053,1292322.62228349,977535.754080651,1736024.69956758,1292322.62228349,1232916.63256369
"PC 35_0",26658.0812070253,23859.3941254997,27478.2058426837,26551.8655044349,4708.76203337811,19203.3429422686,14899.3922041782,26975.039256907
"PC 28_0",52725.2571325448,48111.2995296212,19550.4786983602,34456.083497354,12031.4387587379,17679.5541886965,24524.5636861208,18529.4487020742
"PC 37_4",14256.5889273576,13688.4367662645,18688.3500713106,17679.5541886965,18688.3500713106,25721.1527974077,17832.1854382187,20335.218871122
"PC 40_6",68865.4159911298,91651.5838497487,154857.470859957,87005.7529160053,87005.7529160053,101448.863644726,67312.5417816368,103984.583455646
"PC 48_4",7998.19358554573,7122.75331455143,5718.39377688003,6414.07589437904,5849.40568966629,5403.07213030986,5035.99303458581,8542.10920207519
