"Class","Carbon","Chain","Adduct","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334"
"DG",33,0," [M+NH4]+@8.10",2623.71107660714,2301.18930267857,4129.22620732143,2962.86339982143,2200.30958714286,1208.25424607143,1958.08991857143,1208.25424607143,4233.94117535714,4440.50417821429,1429.82686803571,2301.18930267857,1429.82686803571,2738.26377142857,6547.23283035714,2200.30958714286,1801.38623892857,1208.25424607143,3062.60029232143,5707.80606535714,1583.11261982143,2623.71107660714,4347.66305482143,4003.08042589286,1583.11261982143,1583.11261982143,2200.30958714286,656.942895535714,4440.50417821429,4347.66305482143,656.942895535714,1801.38623892857,2301.18930267857,2301.18930267857,1009.10998678571,2200.30958714286,2524.25251839286,2623.71107660714,5083.32325839286,3062.60029232143,1958.08991857143,1801.38623892857,2409.38093892857,1583.11261982143,1583.11261982143,2853.8806975,4767.35150946429,4129.22620732143
"DG",25,2," [M+NH4]+@4.02",3797.53521178571,1958.08991857143,2111.11652232143,3797.53521178571,2524.25251839286,1958.08991857143,4129.22620732143,3698.57423714286,11515.6484035714,5932.3872675,8568.66695714286,4347.66305482143,1208.25424607143,1009.10998678571,1583.11261982143,3367.97632982143,4677.01265857143,6547.23283035714,4129.22620732143,9064.79783035714,2111.11652232143,1429.82686803571,9366.42718928572,12054.161475,8568.66695714286,1009.10998678571,10821.5161821429,5276.15300892857,9518.17948142857,3481.14064946429,6547.23283035714,5187.78708392857,10660.3970267857,9828.88380535714,8062.34949107143,5083.32325839286,1429.82686803571,656.942895535714,1429.82686803571,3797.53521178571,7288.34971535714,3797.53521178571,7019.53097964286,7019.53097964286,1009.10998678571,656.942895535714,1208.25424607143,1958.08991857143
"DG",38,6," [M+NH4]+@7.28",29604.2187464286,23535.6674,28136.8426732143,16062.4849892857,11187.2991785714,10821.5161821429,34346.9940660714,13160.214875,8885.06739660714,11324.7492232143,44400.4986964286,10296.9797839286,29256.8306071429,10147.4543035714,11664.5865464286,6074.70763767857,8709.31950178571,1429.82686803571,5510.25820196429,1958.08991857143,4859.26014035714,3698.57423714286,3286.37972392857,2301.18930267857,16562.38995,24878.3242321429,32697.9834678571,25187.8067964286,24648.4148571429,18849.0058946429,20896.0796607143,16062.4849892857,18589.3386625,12252.0707714286,15660.504375,13160.214875,18589.3386625,22996.4870714286,23535.6674,16562.38995,18849.0058946429,19250.3550410714,28136.8426732143,18324.2519410714,16062.4849892857,18324.2519410714,16562.38995,21870.113375
"DG",36,0," [M+NH4]+@8.86",8062.34949107143,11324.7492232143,12820.3079732143,7149.45778035714,7149.45778035714,8568.66695714286,7446.81342910714,5276.15300892857,12820.3079732143,19250.3550410714,11835.7087017857,15837.7024571429,12445.6085892857,8182.79665892857,11031.9292982143,8568.66695714286,9828.88380535714,23233.7167285714,13867.7270535714,13295.9136892857,4677.01265857143,8062.34949107143,8568.66695714286,5932.3872675,15000.8127196429,11664.5865464286,8568.66695714286,4859.26014035714,10480.6037157143,10017.8381107143,9666.19391607143,9366.42718928572,9828.88380535714,15660.504375,14025.1392089286,12961.7473964286,10660.3970267857,10147.4543035714,8453.61662321429,6173.28736053571,12820.3079732143,12820.3079732143,20701.8814285714,12961.7473964286,4003.08042589286,10660.3970267857,11031.9292982143,11031.9292982143
"DG",32,2," [M+NH4]+@7.06",6547.23283035714,2623.71107660714,5830.36731714286,2111.11652232143,2962.86339982143,4972.19124428571,5707.80606535714,2524.25251839286,4677.01265857143,3904.26020160714,5083.32325839286,3698.57423714286,3176.56450892857,6894.08267107143,3062.60029232143,3698.57423714286,1208.25424607143,4767.35150946429,1958.08991857143,4003.08042589286,1429.82686803571,2200.30958714286,1208.25424607143,3062.60029232143,4129.22620732143,4565.76887392857,4677.01265857143,1958.08991857143,1958.08991857143,3176.56450892857,2853.8806975,2853.8806975,2200.30958714286,1801.38623892857,2111.11652232143,2623.71107660714,1583.11261982143,3062.60029232143,4233.94117535714,3367.97632982143,656.942895535714,1009.10998678571,656.942895535714,2524.25251839286,3367.97632982143,1958.08991857143,1958.08991857143,1208.25424607143
"lysoPC",19,0," [M+H]+@2.77",190104.917589286,257841.348571429,164340.867678571,300330.617678571,322976.941964286,300330.617678571,263002.767857143,329361.089857143,252427.242857143,263002.767857143,230115.201964286,381549.305160714,151750.858928571,197317.689285714,190104.917589286,171733.162857143,300330.617678571,295686.620535714,295686.620535714,386893.902142857,285347.296428571,335816.517321429,342575.355107143,290126.623517857,342575.355107143,166881.198089286,316463.574178571,233684.990357143,243308.448035714,226122.400535714,252427.242857143,266987.788392857,252427.242857143,322976.941964286,169170.56625,329361.089857143,381549.305160714,257841.348571429,252427.242857143,220961.976607143,285347.296428571,266987.788392857,193773.984285714,257841.348571429,300330.617678571,381549.305160714,205717.823821429,233684.990357143
"lysoPC",20,4," [M+H]+@1.29",5549056.43392857,10316561.6160714,3981165.63392857,10316561.6160714,6336154.78392857,6336154.78392857,4720640.14285714,6336154.78392857,8413786.19642857,6336154.78392857,7750404.18214286,10316561.6160714,7750404.18214286,5549056.43392857,8413786.19642857,7750404.18214286,9353458.89285714,8413786.19642857,7750404.18214286,9353458.89285714,8413786.19642857,7750404.18214286,7750404.18214286,7750404.18214286,4720640.14285714,4720640.14285714,9353458.89285714,3646891.38928571,5107607.39642857,3147640.32142857,3981165.63392857,3404619.23928571,5549056.43392857,7750404.18214286,8413786.19642857,8413786.19642857,10316561.6160714,8413786.19642857,5549056.43392857,7750404.18214286,7750404.18214286,6336154.78392857,7750404.18214286,8413786.19642857,7750404.18214286,8413786.19642857,7750404.18214286,8413786.19642857
"lysoPC",17,0," [M+Na]+@1.81",281397.249821429,496519.185875,527834.730946428,583411.744732143,477320.170892857,353551.866446429,372047.992285714,353551.866446429,583411.744732143,638831.869375,428359.130321429,554847.643767857,414307.393392857,295686.620535714,657027.033392857,359016.831160714,322976.941964286,353551.866446429,443034.381428571,365996.245535714,281397.249821429,365996.245535714,329361.089857143,353551.866446429,638831.869375,527834.730946428,381549.305160714,322976.941964286,708525.935696429,540163.743267857,508610.486392857,626634.444821429,353551.866446429,477320.170892857,421091.437803571,496519.185875,428359.130321429,322976.941964286,311979.460892857,295686.620535714,359016.831160714,311979.460892857,359016.831160714,372047.992285714,285347.296428571,496519.185875,386893.902142857,381549.305160714
"lysoPC",22,6," [M+H]+@1.21",2707890.17321429,2917267.36071429,2194597.62678571,4262567.43214286,2917267.36071429,2377512.36607143,2194597.62678571,2707890.17321429,2917267.36071429,2917267.36071429,3147640.32142857,4262567.43214286,3646891.38928571,2917267.36071429,2707890.17321429,3147640.32142857,3981165.63392857,4720640.14285714,3646891.38928571,4720640.14285714,3404619.23928571,5107607.39642857,5107607.39642857,6336154.78392857,3147640.32142857,2377512.36607143,3404619.23928571,2377512.36607143,2524491.27857143,2524491.27857143,2707890.17321429,2707890.17321429,3646891.38928571,3646891.38928571,3646891.38928571,3147640.32142857,3646891.38928571,2707890.17321429,2707890.17321429,3646891.38928571,4262567.43214286,4262567.43214286,3646891.38928571,4262567.43214286,5107607.39642857,5107607.39642857,4262567.43214286,3981165.63392857
"lysoPC",18,0," [M+H]+@2.31",20361405.2857143,20361405.2857143,20361405.2857143,20361405.2857143,20361405.2857143,20361405.2857143,22976408.6964286,22976408.6964286,16300016.1428571,20361405.2857143,16300016.1428571,20361405.2857143,16300016.1428571,16300016.1428571,20361405.2857143,13227403.2142857,20361405.2857143,22976408.6964286,22976408.6964286,22976408.6964286,22976408.6964286,22976408.6964286,20361405.2857143,16300016.1428571,22976408.6964286,29771910.5178571,27030744.1428571,27030744.1428571,22976408.6964286,20361405.2857143,20361405.2857143,22976408.6964286,22976408.6964286,27030744.1428571,22976408.6964286,29771910.5178571,22976408.6964286,22976408.6964286,22976408.6964286,22976408.6964286,27030744.1428571,27030744.1428571,32242602.9285714,27030744.1428571,29771910.5178571,29771910.5178571,22976408.6964286,22976408.6964286
