"Lipid","Adduct","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334","QC","QC.1","QC.2","QC.3","QC.4","QC.5","QC.6"
"PC 34:1"," [M-Ac-H]-@6.64",1872070.17818182,2082336.26909091,2629032.78363636,2425731.10181818,3640982.18363636,2425731.10181818,2629032.78363636,1872070.17818182,1872070.17818182,2082336.26909091,2244690.44909091,1745886.05636364,2425731.10181818,2629032.78363636,2425731.10181818,3278018.17636364,2425731.10181818,2244690.44909091,2876386.51636364,2082336.26909091,2629032.78363636,2425731.10181818,2629032.78363636,2244690.44909091,1745886.05636364,1597384.78545455,1160500.59090909,1872070.17818182,1872070.17818182,2244690.44909091,1872070.17818182,2244690.44909091,1872070.17818182,1745886.05636364,1872070.17818182,1745886.05636364,1745886.05636364,1872070.17818182,2244690.44909091,1872070.17818182,1415509.70727273,1347442.71636364,1597384.78545455,1415509.70727273,2244690.44909091,1745886.05636364,2425731.10181818,1415509.70727273,1745886.05636364,1745886.05636364,1872070.17818182,1872070.17818182,1745886.05636364,1872070.17818182,1745886.05636364
"PC 34:2"," [M-Ac-H]-@6.21",4043858.86727273,4043858.86727273,4043858.86727273,4043858.86727273,4043858.86727273,4043858.86727273,3278018.17636364,5065877.74545455,2629032.78363636,2876386.51636364,2876386.51636364,4043858.86727273,4043858.86727273,4043858.86727273,3640982.18363636,4043858.86727273,3640982.18363636,3640982.18363636,3640982.18363636,3640982.18363636,2425731.10181818,4043858.86727273,4043858.86727273,4043858.86727273,4043858.86727273,4043858.86727273,5065877.74545455,4043858.86727273,4043858.86727273,4043858.86727273,4043858.86727273,4043858.86727273,3640982.18363636,4043858.86727273,3640982.18363636,4043858.86727273,5065877.74545455,5065877.74545455,7587327.81818182,5065877.74545455,4043858.86727273,4043858.86727273,4043858.86727273,4043858.86727273,4043858.86727273,3640982.18363636,5065877.74545455,4043858.86727273,3640982.18363636,3640982.18363636,3640982.18363636,3640982.18363636,3640982.18363636,4043858.86727273,5065877.74545455
"PC 34:3"," [M-Ac-H]-@5.69",729625.319580909,987064.701845455,1547844.27545455,1121681.53672727,693830.433112727,1049941.82490909,871739.129931818,871739.129931818,693830.433112727,926850.654572727,817916.298035454,871739.129931818,770693.744271818,1049941.82490909,500726.869164545,628618.572935455,523685.407779091,523685.407779091,693830.433112727,545915.318880909,399193.914272727,477067.713923636,500726.869164545,500726.869164545,770693.744271818,454122.651056364,500726.869164545,729625.319580909,594956.645551818,628618.572935455,628618.572935455,693830.433112727,545915.318880909,693830.433112727,628618.572935455,545915.318880909,628618.572935455,569269.681660909,729625.319580909,477067.713923636,434511.629342727,345542.774818182,434511.629342727,417120.705545455,434511.629342727,417120.705545455,500726.869164545,417120.705545455,569269.681660909,628618.572935455,545915.318880909,569269.681660909,594956.645551818,569269.681660909,693830.433112727
"PC 34:3"," [M-Ac-H]-@5.93",729625.319580909,987064.701845455,1547844.27545455,1121681.53672727,693830.433112727,1049941.82490909,871739.129931818,871739.129931818,693830.433112727,926850.654572727,817916.298035454,871739.129931818,770693.744271818,1049941.82490909,500726.869164545,628618.572935455,523685.407779091,523685.407779091,693830.433112727,545915.318880909,399193.914272727,477067.713923636,500726.869164545,500726.869164545,770693.744271818,454122.651056364,500726.869164545,729625.319580909,594956.645551818,628618.572935455,628618.572935455,693830.433112727,545915.318880909,693830.433112727,628618.572935455,545915.318880909,628618.572935455,569269.681660909,729625.319580909,477067.713923636,434511.629342727,345542.774818182,434511.629342727,417120.705545455,434511.629342727,417120.705545455,500726.869164545,417120.705545455,569269.681660909,628618.572935455,545915.318880909,569269.681660909,594956.645551818,569269.681660909,693830.433112727
"PC 34:4"," [M-Ac-H]-@5.47",66468.6728909091,69958.4958545455,57009.8259636364,76980.1354545455,49150.1218727273,64243.8006545454,49904.1102872727,52626.5637090909,66468.6728909091,82698.2120727273,74757.7000909091,61933.1436181818,65312.1200545455,74757.7000909091,40968.4490581818,64243.8006545454,37989.7489563636,45526.0605236364,43146.7638545455,37351.5887636364,34257.5131836364,36156.6902181818,26372.0165672727,30768.1272727273,47326.6418818182,18116.0346363636,43902.5757818182,43146.7638545455,43146.7638545455,37351.5887636364,34807.9464727273,33063.6316290909,58124.6517781818,44727.9883654545,65312.1200545455,41592.5119563636,44727.9883654545,43146.7638545455,35426.3408036364,52626.5637090909,20758.1983927273,21547.6614,16763.26976,19929.6244127273,30130.8315818182,10843.7392036364,14096.7378490909,16763.26976,43902.5757818182,33655.2162072727,38782.4138890909,40968.4490581818,39474.9633090909,49150.1218727273,39474.9633090909
"PC 35:0"," [M-Ac-H]-@7.47",12118.4005945455,13633.1121090909,7162.15114545455,23308.7433072727,8889.12027272727,13106.4799327273,9346.85608727273,6450.73831090909,9017.58217090909,9017.58217090909,9990.47905272727,15934.0585272727,10540.3549818182,7963.58558,231001.406363636,10540.3549818182,11371.2585218182,11724.04016,12520.5827454545,10143.9528345455,13836.4772727273,13633.1121090909,12118.4005945455,7652.70599272727,13236.2018363636,13236.2018363636,16454.7909436364,15413.1013036364,16763.26976,19107.8860654545,11549.2759618182,12307.9185381818,14096.7378490909,12737.5104981818,13633.1121090909,10540.3549818182,14984.6869636364,8419.50032909091,12307.9185381818,11371.2585218182,19517.7800563636,13106.4799327273,14681.0309272727,13106.4799327273,25275.5612727273,14096.7378490909,11371.2585218182,13236.2018363636,7801.94191454545,11549.2759618182,10355.0839872727,13633.1121090909,9846.83809636364,7963.58558,11549.2759618182
"PC 35:1"," [M-Ac-H]-@7.07",38782.4138890909,42410.7590545455,51649.7562181818,60988.4211163636,67610.8300363636,44727.9883654545,49150.1218727273,42410.7590545455,47326.6418818182,46157.4479872727,52626.5637090909,57009.8259636364,63221.2208,63221.2208,49150.1218727273,58124.6517781818,66468.6728909091,73335.3534727273,60988.4211163636,58943.4986,60988.4211163636,76980.1354545455,68622.9051272727,64243.8006545454,63221.2208,65312.1200545455,67610.8300363636,50922.1355636364,80580.2439818182,51649.7562181818,60180.1820472727,53916.5330545455,45526.0605236364,58943.4986,60180.1820472727,50922.1355636364,74757.7000909091,57009.8259636364,61933.1436181818,50922.1355636364,64243.8006545454,60180.1820472727,54993.2422181818,60988.4211163636,90554.2477090909,71886.0408909091,71886.0408909091,68622.9051272727,60180.1820472727,64243.8006545454,76980.1354545455,74757.7000909091,58943.4986,58124.6517781818,69958.4958545455
"PC 35:2"," [M-Ac-H]-@6.60",89554.7087272727,99862.3395272727,134060.288181818,153872.847618182,158893.114818182,150665.151781818,108507.611418182,91843.9096545455,83682.1603454546,89554.7087272727,94150.0360454545,116257.558672727,145693.208909091,132601.378654545,114597.354309091,138738.445772727,132601.378654545,135654.985227273,177459.656727273,127338.083345455,165679.200272727,162302.385,169167.009454545,181445.111,150665.151781818,212578.977727273,177459.656727273,134060.288181818,269006.216181818,150665.151781818,143925.925636364,150665.151781818,124290.362181818,125814.222763636,114597.354309091,162302.385,301532.232545455,242570.309090909,191562.511818182,142076.567454545,183178.331090909,155423.665445455,201426.649909091,160811.746363636,301532.232545455,209157.165090909,223622.827454545,256746.957909091,138738.445772727,150665.151781818,185851.793090909,131142.469127273,169167.009454545,158893.114818182,169167.009454545
"PC 35:2"," [M-Ac-H]-@6.91",89554.7087272727,93133.5716,73335.3534727273,95166.5004909091,158893.114818182,134060.288181818,71886.0408909091,91843.9096545455,83682.1603454546,89554.7087272727,94150.0360454545,116257.558672727,145693.208909091,132601.378654545,108507.611418182,138738.445772727,132601.378654545,135654.985227273,177459.656727273,121625.567363636,165679.200272727,162302.385,169167.009454545,181445.111,114597.354309091,212578.977727273,177459.656727273,117917.763036364,260124.072909091,111709.622727273,140227.209272727,121625.567363636,111709.622727273,125814.222763636,78600.5875454545,162302.385,301532.232545455,242570.309090909,191562.511818182,142076.567454545,179711.890909091,155423.665445455,201426.649909091,147460.492181818,301532.232545455,198668.458545455,209157.165090909,256746.957909091,138738.445772727,147460.492181818,185851.793090909,124290.362181818,169167.009454545,158893.114818182,169167.009454545
"PC 35:4"," [M-Ac-H]-@5.92",103947.338172727,138738.445772727,75868.9177727273,169167.009454545,149062.821981818,94150.0360454545,98913.8418818182,96565.9223636364,142076.567454545,122957.964772727,103947.338172727,135654.985227273,155423.665445455,138738.445772727,103947.338172727,149062.821981818,152268.9997,172988.032272727,149062.821981818,206671.003181818,201426.649909091,235165.365818182,162302.385,165679.200272727,96565.9223636364,94150.0360454545,85697.1204363636,81639.2280272727,116257.558672727,116257.558672727,101229.548072727,98913.8418818182,155423.665445455,181445.111,155423.665445455,152268.9997,155423.665445455,122957.964772727,152268.9997,132601.378654545,165679.200272727,145693.208909091,122957.964772727,177459.656727273,169167.009454545,129240.276236364,125814.222763636,145693.208909091,155423.665445455,142076.567454545,138738.445772727,138738.445772727,119771.6652,165679.200272727,158893.114818182
"PC 35:4"," [M-Ac-H]-@6.26",103947.338172727,138738.445772727,75868.9177727273,169167.009454545,149062.821981818,94150.0360454545,98913.8418818182,96565.9223636364,142076.567454545,122957.964772727,103947.338172727,135654.985227273,155423.665445455,138738.445772727,103947.338172727,149062.821981818,152268.9997,172988.032272727,149062.821981818,206671.003181818,201426.649909091,235165.365818182,162302.385,165679.200272727,96565.9223636364,94150.0360454545,85697.1204363636,81639.2280272727,116257.558672727,116257.558672727,101229.548072727,98913.8418818182,155423.665445455,181445.111,155423.665445455,152268.9997,155423.665445455,122957.964772727,152268.9997,132601.378654545,165679.200272727,145693.208909091,122957.964772727,177459.656727273,169167.009454545,129240.276236364,125814.222763636,145693.208909091,155423.665445455,142076.567454545,138738.445772727,138738.445772727,119771.6652,165679.200272727,158893.114818182
"PC 36:1"," [M-Ac-H]-@7.27",443076.330503636,390093.345636364,443076.330503636,534883.533467273,957108.236418182,680850.306672727,608321.032076364,443076.330503636,648916.113794545,648916.113794545,556947.104294545,465168.971609091,706810.559552727,648916.113794545,1017021.16727273,896593.072727273,846885.187136364,896593.072727273,788947.408934545,846885.187136364,1082862.48254545,957108.236418182,1017021.16727273,957108.236418182,425946.928181818,556947.104294545,443076.330503636,488966.456238182,788947.408934545,534883.533467273,390093.345636364,353515.473272727,443076.330503636,488966.456238182,534883.533467273,512487.282090909,896593.072727273,608321.032076364,581592.259027273,534883.533467273,648916.113794545,581592.259027273,680850.306672727,581592.259027273,896593.072727273,788947.408934545,752440.079609091,752440.079609091,752440.079609091,788947.408934545,752440.079609091,788947.408934545,896593.072727273,896593.072727273,1017021.16727273
"PC 36:2"," [M-Ac-H]-@6.48",114597.354309091,121625.567363636,114597.354309091,156974.483272727,140227.209272727,108507.611418182,86728.1322545455,99862.3395272727,150665.151781818,127338.083345455,127338.083345455,108507.611418182,111709.622727273,156974.483272727,167565.376909091,156974.483272727,102596.756618182,204184.841272727,167565.376909091,153872.847618182,150665.151781818,131142.469127273,143925.925636364,143925.925636364,105297.919727273,117917.763036364,114597.354309091,90554.2477090909,167565.376909091,97965.3442363636,108507.611418182,93133.5716,114597.354309091,114597.354309091,167565.376909091,121625.567363636,147460.492181818,167565.376909091,140227.209272727,121625.567363636,127338.083345455,102596.756618182,131142.469127273,121625.567363636,175207.422545455,179711.890909091,188525.255090909,163793.023636364,147460.492181818,137249.682272727,167565.376909091,175207.422545455,114597.354309091,134060.288181818,175207.422545455
"PC 36:2"," [M-Ac-H]-@6.81",2425731.10181818,1872070.17818182,2425731.10181818,1872070.17818182,2876386.51636364,2629032.78363636,2425731.10181818,2629032.78363636,1745886.05636364,1872070.17818182,1872070.17818182,2082336.26909091,2629032.78363636,2425731.10181818,2629032.78363636,2876386.51636364,2629032.78363636,2876386.51636364,3278018.17636364,2425731.10181818,3640982.18363636,2876386.51636364,3640982.18363636,3278018.17636364,2629032.78363636,3640982.18363636,4043858.86727273,2876386.51636364,3640982.18363636,2629032.78363636,2876386.51636364,2629032.78363636,2244690.44909091,2876386.51636364,2244690.44909091,3640982.18363636,4043858.86727273,3640982.18363636,4043858.86727273,3278018.17636364,3640982.18363636,3640982.18363636,3640982.18363636,3640982.18363636,7587327.81818182,3278018.17636364,4043858.86727273,3640982.18363636,3278018.17636364,3278018.17636364,3278018.17636364,3278018.17636364,3278018.17636364,3278018.17636364,3640982.18363636
"PC 36:3"," [M-Ac-H]-@5.79",34257.5131836364,30768.1272727273,30768.1272727273,37351.5887636364,34257.5131836364,34807.9464727273,28113.76454,28113.76454,17548.8040236364,16454.7909436364,22880.6122545455,21547.6614,36156.6902181818,36156.6902181818,30130.8315818182,26372.0165672727,33063.6316290909,33063.6316290909,21973.8504818182,26372.0165672727,21547.6614,32310.8818436364,26888.5792545455,40968.4490581818,37351.5887636364,35426.3408036364,45526.0605236364,37989.7489563636,66468.6728909091,33655.2162072727,28113.76454,28113.76454,27572.9905781818,26372.0165672727,28814.0675636364,25275.5612727273,54993.2422181818,50922.1355636364,63221.2208,28113.76454,35426.3408036364,52626.5637090909,52626.5637090909,39474.9633090909,74757.7000909091,63221.2208,63221.2208,50922.1355636364,51649.7562181818,40203.6584909091,49904.1102872727,46157.4479872727,27572.9905781818,36859.4703418182,42410.7590545455
"PC 36:3"," [M-Ac-H]-@6.35",680850.306672727,846885.187136364,1415509.70727273,957108.236418182,1160500.59090909,957108.236418182,752440.079609091,1160500.59090909,1498303.76545455,1597384.78545455,1597384.78545455,788947.408934545,1160500.59090909,1597384.78545455,1415509.70727273,1082862.48254545,1415509.70727273,1017021.16727273,1597384.78545455,1872070.17818182,1160500.59090909,2082336.26909091,2082336.26909091,1277478.01454545,896593.072727273,957108.236418182,680850.306672727,1017021.16727273,1597384.78545455,680850.306672727,1082862.48254545,1017021.16727273,1745886.05636364,1597384.78545455,1597384.78545455,957108.236418182,1872070.17818182,1415509.70727273,1277478.01454545,957108.236418182,896593.072727273,1160500.59090909,1017021.16727273,1347442.71636364,1597384.78545455,1082862.48254545,1347442.71636364,1017021.16727273,957108.236418182,1498303.76545455,1498303.76545455,1498303.76545455,1498303.76545455,1017021.16727273,1277478.01454545
"PC 36:4"," [M-Ac-H]-@6.00",2629032.78363636,2425731.10181818,1872070.17818182,2876386.51636364,2425731.10181818,2244690.44909091,2082336.26909091,2244690.44909091,3278018.17636364,2425731.10181818,2082336.26909091,3640982.18363636,3278018.17636364,2082336.26909091,2244690.44909091,2425731.10181818,3278018.17636364,3278018.17636364,2425731.10181818,3278018.17636364,2876386.51636364,3278018.17636364,2425731.10181818,2876386.51636364,1597384.78545455,1498303.76545455,2629032.78363636,2244690.44909091,2629032.78363636,1872070.17818182,2082336.26909091,1597384.78545455,4043858.86727273,3640982.18363636,5065877.74545455,3278018.17636364,2425731.10181818,2244690.44909091,2425731.10181818,2876386.51636364,2629032.78363636,2629032.78363636,2082336.26909091,3278018.17636364,2629032.78363636,2082336.26909091,1872070.17818182,2629032.78363636,2082336.26909091,2082336.26909091,2244690.44909091,2082336.26909091,2082336.26909091,2244690.44909091,2425731.10181818
"PC 36:5"," [M-Ac-H]-@5.61",390093.345636364,443076.330503636,353515.473272727,465168.971609091,443076.330503636,390093.345636364,308293.047454545,321176.399272727,465168.971609091,488966.456238182,488966.456238182,512487.282090909,425946.928181818,608321.032076364,285415.938545455,465168.971609091,337570.076363636,408294.482909091,425946.928181818,465168.971609091,534883.533467273,408294.482909091,581592.259027273,465168.971609091,204184.841272727,167565.376909091,239329.325272727,223622.827454545,337570.076363636,209157.165090909,167565.376909091,209157.165090909,269006.216181818,239329.325272727,353515.473272727,285415.938545455,321176.399272727,390093.345636364,269006.216181818,276343.669454545,170768.642,160811.746363636,183178.331090909,156974.483272727,179711.890909091,102596.756618182,175207.422545455,194599.768545455,308293.047454545,321176.399272727,321176.399272727,321176.399272727,294771.417636364,353515.473272727,353515.473272727
"PC 36:6"," [M-Ac-H]-@5.43",43146.7638545455,32310.8818436364,26372.0165672727,40203.6584909091,47326.6418818182,20758.1983927273,23830.6759872727,23830.6759872727,40968.4490581818,30768.1272727273,36156.6902181818,36156.6902181818,41592.5119563636,39474.9633090909,19517.7800563636,46157.4479872727,26372.0165672727,22880.6122545455,24385.52956,23830.6759872727,27572.9905781818,35426.3408036364,44727.9883654545,26888.5792545455,24385.52956,14096.7378490909,21130.3930763636,24826.0364181818,25275.5612727273,14984.6869636364,17792.0980981818,17792.0980981818,26372.0165672727,24385.52956,40968.4490581818,26372.0165672727,12520.5827454545,19929.6244127273,19107.8860654545,34807.9464727273,16174.2238418182,16454.7909436364,12118.4005945455,10703.09232,18353.8908218182,13236.2018363636,12520.5827454545,11371.2585218182,29402.5963909091,32310.8818436364,18353.8908218182,24826.0364181818,23830.6759872727,28814.0675636364,33655.2162072727
