Sample,Ctrl_BKS_2202,Ctrl_BKS_2203,Ctrl_BKS_2206,Ctrl_BKS_2211,HF_BKS_2214,HF_BKS_2216,HF_BKS_2217,HF_BKS_2218,Ctrl_BKS_db+_2225,Ctrl_BKS_db+_2226,Ctrl_BKS_db+_2227,Ctrl_BKS_db+_2231,HF_BKS_db+_2239,HF_BKS_db+_2241,HF_BKS_db+_2242,HF_BKS_db+_2243,Ctrl_BL6_2249,Ctrl_BL6_2250,Ctrl_BL6_2251,Ctrl_BL6_2252,HF_BL6_2260,HF_BL6_2261,HF_BL6_2262,HF_BL6_2266,Ctrl_BL6_db+_2273,Ctrl_BL6_db+_2274,Ctrl_BL6_db+_2275,Ctrl_BL6_db+_2279,HF_BL6_db+_2286,HF_BL6_db+_2287,HF_BL6_db+_2288,HF_BL6_db+_2289,Ctrl_BTBR_2292,Ctrl_BTBR_2293,Ctrl_BTBR_2297,Ctrl_BTBR_2298,HF_BTBR_2306,HF_BTBR_2307,HF_BTBR_2308,HF_BTBR_2309,Ctrl_BTBR_ob+_2316,Ctrl_BTBR_ob+_2317,Ctrl_BTBR_ob+_2318,Ctrl_BTBR_ob+_2320,HF_BTBR_ob+_2329,HF_BTBR_ob+_2331,HF_BTBR_ob+_2333,HF_BTBR_ob+_2334,Tissue_Test Pool_Positive_01,Tissue_Test Pool_Positive_02,Tissue_Test Pool_Positive_03,Tissue_Test Pool_Positive_04,Tissue_Test Pool_Positive_05,Tissue_Test Pool_Positive_06,Tissue_Test Pool_Positive_07
Label,Ctrl_BKS,Ctrl_BKS,Ctrl_BKS,Ctrl_BKS,HF_BKS,HF_BKS,HF_BKS,HF_BKS,Ctrl_BKS_db,Ctrl_BKS_db,Ctrl_BKS_db,Ctrl_BKS_db,HF_BKS_db,HF_BKS_db,HF_BKS_db,HF_BKS_db,Ctrl_BL6,Ctrl_BL6,Ctrl_BL6,Ctrl_BL6,HF_BL6,HF_BL6,HF_BL6,HF_BL6,Ctrl_BL6_db,Ctrl_BL6_db,Ctrl_BL6_db,Ctrl_BL6_db,HF_BL6_db,HF_BL6_db,HF_BL6_db,HF_BL6_db,Ctrl_BTBR,Ctrl_BTBR,Ctrl_BTBR,Ctrl_BTBR,HF_BTBR,HF_BTBR,HF_BTBR,HF_BTBR,Ctrl_BTBR_ob,Ctrl_BTBR_ob,Ctrl_BTBR_ob,Ctrl_BTBR_ob,HF_BTBR_ob,HF_BTBR_ob,HF_BTBR_ob,HF_BTBR_ob,QC,QC,QC,QC,QC,QC,QC
DG 30:0; [M+NH4]+@7.46,3416.12496,4494.792027,1129.25728,6863.306781,2653.342707,3907.276486,8476.81621,3136.996466,2879.228461,13110.0862,3145.306217,3575.395256,2694.86911,4608.406715,3501.278167,5698.75781,3458.113396,5500.542609,1846.794367,970.2147782,3136.85043,2785.812443,3126.078577,2358.340953,3802.027512,6605.789456,5260.346564,4637.541358,3024.429112,1451.598136,3390.020447,4007.201755,7834.552146,6274.25468,13250.58824,6532.870176,2268.046984,2249.697955,6530.535049,7230.552003,9819.32234,5638.342331,6090.965793,7389.980685,4388.453007,4156.899573,3211.987137,7049.464296,3036.241027,6743.798467,1487.866819,6765.431278,7100.280344,2818.963362,2121.449267
DG 30:1; [M+NH4]+@6.96,6601.492555,14295.369,1126.915875,19365.70465,6419.187139,3450.626736,3952.480482,2043.243529,7105.0879,13346.29781,12748.6476,4946.008378,4104.338876,3080.631149,3393.453394,1663.304581,13098.88048,12063.85126,3802.240327,6714.105041,3596.10561,6778.410667,6362.711316,2508.793186,6952.270882,6936.238805,10959.44009,21804.05701,2754.324545,5064.631779,1001.142514,1508.73616,12826.73483,12424.40559,41031.40548,13498.32501,1934.526726,1479.716055,4851.585245,1957.218462,17777.17483,7331.786587,6063.392927,15609.74096,2679.339318,3185.363906,2143.563752,8176.452148,5455.067239,6286.966497,7095.427786,6771.395147,6613.229669,8902.78874,8450.523414
DG 30:2; [M+NH4]+@6.49,5410.922299,2961.213206,6976.431186,15477.30684,4918.940439,1733.746026,2836.834898,3378.177459,12190.49822,18738.51687,14481.79469,5625.179707,5789.470655,5296.705105,6127.309728,11179.1945,19207.3477,14694.99168,3562.536513,7083.955318,9551.26414,6173.215336,11496.88167,2389.427827,8183.660993,9167.961334,8333.578627,29082.18319,2834.654558,9149.03377,8015.263382,14397.19457,16275.26305,10612.42164,45550.15244,8183.706801,3656.997079,1992.820714,5654.930236,3935.139817,27255.29179,6056.161334,5600.318095,12777.29742,2367.174484,6311.609901,3049.391149,8249.89485,12902.49254,6506.731837,14537.37296,12227.23585,9152.303975,9043.681563,12573.59966
DG 32:0; [M+NH4]+@7.99,61240.48626,48982.69017,46210.86696,124484.4086,53681.72637,79675.88753,138663.242,52208.5216,60649.1887,112380.6479,84095.9076,65616.37358,58768.52653,72022.36777,56443.68652,120626.2812,47158.20744,71832.65778,58036.40501,52094.92543,153033.958,134959.4415,114093.5233,67078.5044,108834.6832,149139.7442,87372.98334,102870.4443,133446.0156,104262.0458,73875.88936,80637.09731,161390.7295,105987.1594,130965.7185,99153.16599,73869.89496,71329.14593,134096.1166,133861.6691,96635.08182,170758.8566,117074.6341,154945.436,109658.3266,114527.2618,165638.4082,113178.8901,107256.7548,127030.3599,124072.3488,140748.0249,145939.598,127105.81,145656.9359
DG 32:1; [M+NH4]+@7.54,88925.3779,48164.085,55151.50927,98786.77578,46649.26849,9090.481199,28768.89848,49029.49676,81152.86632,133768.4697,119846.6011,73490.93691,42584.51482,56154.70572,52136.75664,90784.22869,106078.9719,62717.87826,28068.50314,56332.66464,28164.96657,48302.50405,80538.17527,22978.30754,47122.51006,35280.25262,51762.87482,112965.7906,30308.0797,61235.69698,29542.27487,52606.32389,91302.89532,99284.33172,250869.6776,85548.68922,34952.73061,18733.70142,78256.87046,41270.43078,143055.0398,46502.72906,47638.12157,110672.8072,48632.45779,55722.58933,36767.50039,81208.01665,56442.42418,53750.57509,64719.4843,55419.16229,66830.07296,69998.39974,54568.17779
DG 32:2; [M+NH4]+@7.09,94274.27649,40136.48746,48651.7795,142207.4359,36024.14396,4048.718815,29084.90868,37037.30589,75764.86612,194806.1674,146309.915,85198.5674,35197.06211,55971.61211,36115.75682,76901.90526,203551.1136,92063.88509,33400.25556,62529.29711,33644.46484,46353.71318,101505.6527,19827.94953,49192.84885,51807.12124,75685.13913,233603.0975,41761.66709,66183.40626,40867.56841,67041.72251,151576.0965,139543.2583,397979.4426,106966.5126,28948.85299,14181.59466,82587.64201,43462.29495,230672.8232,70194.93195,56337.48616,145918.9175,44601.30511,55613.56295,23010.37538,80314.52318,76752.50031,89799.47717,92166.24054,92597.36152,77178.56853,86561.95101,86456.23846
DG 32:3; [M+NH4]+@6.62,6782.886721,6792.415252,2171.143252,13606.67126,1658.972208,921.9241722,1613.764727,2832.916315,6041.344855,15324.04454,11969.32922,4673.704815,1080.425712,3883.09777,2192.185513,9616.411498,11890.35018,9953.098755,3645.271117,1966.159462,5020.297019,3069.11445,6752.703931,3044.269869,4270.204509,4521.15991,1803.742663,11368.16395,2589.094329,8860.635474,4585.379199,2589.715243,12460.35769,11298.52671,15790.45497,7086.285574,1081.692496,1658.806664,3826.478187,4606.767266,11159.37095,8061.606973,2306.991624,13899.83961,3200.808563,4962.073033,3890.81171,8245.352377,5036.786768,3341.765814,8737.651409,7360.233849,5537.824299,6537.117341,4623.017444
DG 32:4; [M+NH4]+@6.21,350.0877186,3661.592745,956.6825688,506.087174,993.3406503,746.354602,1752.890089,752.1277615,1821.939346,2377.580969,869.249179,631.8094968,515.0630052,2366.545274,1605.894543,2201.717103,1122.18017,5168.12504,2066.058154,4640.408386,4331.174774,2342.255531,4551.548942,1663.515583,1050.073593,1312.713339,N/A,9194.600711,2871.659667,5441.611344,645.2073557,3501.915761,1143.529134,3591.095859,3874.886045,1617.813061,N/A,N/A,1799.957624,556.6067262,2592.350381,2145.534021,867.5506833,3523.013108,3695.156295,1138.616401,426.8354859,1679.631405,861.8299304,1665.425548,4245.149052,2822.021444,1123.16025,2472.479618,3591.20757
DG 33:0; [M+NH4]+@8.26,9856.883661,8966.197673,6015.965426,16807.20276,10846.76987,11011.3859,22394.03242,9473.991002,7317.76786,17554.76103,18400.81237,12279.03582,14396.64656,11339.76031,7104.484865,16740.4426,8751.227113,14954.0672,6666.196487,8177.07229,22934.43493,14998.68752,18497.04872,6720.227086,19218.30103,32021.2978,10700.481,16592.09853,16708.80494,18750.66853,15061.2284,12012.4727,30034.5242,17781.8774,16102.58832,22944.34308,10752.9554,7972.944841,21057.4617,12800.79286,12025.55279,14191.65178,29034.81936,25683.20987,18451.21243,11125.9599,23996.12311,23979.57557,17776.09083,21844.76738,35414.24693,27673.3148,21549.655,34259.51355,24617.0511
DG 33:1; [M+NH4]+@7.81,12521.72932,3634.018836,5122.571841,9374.910806,9369.928272,5061.983413,1141.513013,6028.574623,14203.453,11230.83567,13478.73334,8944.554276,10611.79517,8149.46067,8597.816579,9873.759603,6122.267737,12129.64715,2198.835315,4282.380599,2273.755219,10308.70472,6620.444483,2842.216316,4219.897594,4525.312774,4942.997459,8892.028934,3941.89345,4641.217303,N/A,8665.002903,4460.994962,11845.77276,15897.33811,5754.911038,4354.541986,2556.20062,12644.34975,5318.244251,10210.35587,8919.509954,4130.228836,6624.502709,1729.143947,4928.283773,9596.680876,7822.542387,6646.77362,7295.556003,6906.067498,8098.165294,4709.498948,7223.405673,5909.365017
