"Sample","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334"
"DG 36_3",18589.3386625,23233.7167285714,26171.2539482143,33964.91875,33964.91875,31145.2635178571,26171.2539482143,25885.5997321429
"DG 34_1",14025.1392089286,19915.4671964286,15248.5211732143,25515.7566642857,21658.0276339286,24045.4217035714,24338.8607678571,31812.2950125
"DG 38_5",22996.4870714286,29604.2187464286,20184.7195535714,17905.7529821429,19915.4671964286,25187.8067964286,30426.4898571429,30426.4898571429
"DG 38_6",18849.0058946429,19250.3550410714,28136.8426732143,18324.2519410714,16062.4849892857,18324.2519410714,16562.38995,21870.113375
"DG 34_3",2853.8806975,1429.82686803571,4859.26014035714,3904.26020160714,2853.8806975,3481.14064946429,3062.60029232143,2853.8806975
"DG 36_0",12820.3079732143,12820.3079732143,20701.8814285714,12961.7473964286,4003.08042589286,10660.3970267857,11031.9292982143,11031.9292982143
"DG 40_7",7674.84652875,10821.5161821429,12252.0707714286,7149.45778035714,7818.80072071429,7019.53097964286,9518.17948142857,6894.08267107143
"DG 38_3",1583.11261982143,2738.26377142857,2301.18930267857,2409.38093892857,2738.26377142857,3176.56450892857,2200.30958714286,8709.31950178571
"DG 32_2",656.942895535714,1009.10998678571,656.942895535714,2524.25251839286,3367.97632982143,1958.08991857143,1958.08991857143,1208.25424607143
"lysoPC 18_1",5107607.39642857,5107607.39642857,4720640.14285714,3981165.63392857,6336154.78392857,5549056.43392857,4720640.14285714,5549056.43392857
"lysoPC 20_4",7750404.18214286,6336154.78392857,7750404.18214286,8413786.19642857,7750404.18214286,8413786.19642857,7750404.18214286,8413786.19642857
"lysoPC 20_1",166881.198089286,201258.031607143,157757.314821429,150075.023571429,217027.624642857,177587.820892857,161801.384107143,169170.56625
"lysoPC 22_6",4262567.43214286,4262567.43214286,3646891.38928571,4262567.43214286,5107607.39642857,5107607.39642857,4262567.43214286,3981165.63392857
"lysoPC 18_0",27030744.1428571,27030744.1428571,32242602.9285714,27030744.1428571,29771910.5178571,29771910.5178571,22976408.6964286,22976408.6964286
"lysoPC 24_1",25187.8067964286,22098.1082571429,22996.4870714286,25187.8067964286,25515.7566642857,21658.0276339286,21658.0276339286,24648.4148571429
"lysoPC 18_3",76376.5748392857,74354.0717321429,69235.555,74354.0717321429,70122.0761785714,60032.3102321429,93520.8039821429,87020.9964285714
"lysoPC 20_3",4720640.14285714,3981165.63392857,3981165.63392857,4720640.14285714,5549056.43392857,4720640.14285714,3981165.63392857,3646891.38928571
"lysoPC 20_5",381549.305160714,359016.831160714,459518.717321429,353551.866446429,508610.486392857,540163.743267857,599307.431678572,571729.962142857
"lysoPC 18_2",10316561.6160714,11631902.2053571,13227403.2142857,10316561.6160714,13227403.2142857,13227403.2142857,13227403.2142857,13227403.2142857
"lysoPC 20_0",273842.965982143,332588.803589286,314221.517535714,249827.216160714,404485.834919643,287736.959973214,455019.660625,260422.058214286
"lysoPC 20_2",180852.8255,137903.137857143,148082.963214286,161801.384107143,271658.989642857,174443.509642857,137903.137857143,201258.031607143
"lysoPC 16_1",129249.328392857,122175.508571429,136258.970214286,109734.807660714,134721.242857143,150075.023571429,122175.508571429,157757.314821429
"lysoPC 14_0",10821.5161821429,11515.6484035714,11187.2991785714,12252.0707714286,14590.6986964286,10017.8381107143,14251.4973392857,14025.1392089286
"lysoPC 22_0",101877.901339286,92328.8735892857,83724.0643392857,73265.899375,106251.872142857,60928.3265178571,84781.2899285714,79587.1851607143
"lysoPC 16_0",16300016.1428571,20361405.2857143,16300016.1428571,16300016.1428571,20361405.2857143,20361405.2857143,16300016.1428571,16300016.1428571
"lysoPC 22_1",32263.4358392857,27516.2858410714,21115.1249267857,28495.2293321429,30828.0614821429,24878.3242321429,22655.337375,25515.7566642857
"lysoPC 22_4",68428.0165178571,55809.6597678571,55809.6597678571,71418.1367142857,82936.7736785714,55809.6597678571,51078.9281285714,56548.0280714286
"lysoPC 24_0",123774.517142857,97910.0930892857,101877.901339286,101877.901339286,114718.668821429,68428.0165178571,82936.7736785714,103280.380357143
"lysoPC 22_5",6646.52262571429,16990.3754589286,9198.65279285714,9064.79783035714,8062.34949107143,7149.45778035714,8885.06739660714,9828.88380535714
"lysoPC 26_1",4129.22620732143,3176.56450892857,2962.86339982143,4129.22620732143,6295.60251607143,4859.26014035714,3286.37972392857,2111.11652232143
"lysoPC 22_2",7446.81342910714,4347.66305482143,7149.45778035714,4440.50417821429,11515.6484035714,4233.94117535714,6646.52262571429,6413.77860446429
"lysoPE 20_4",386893.902142857,342575.355107143,353551.866446429,381549.305160714,329361.089857143,348602.556071429,365996.245535714,290126.623517857
"lysoPE 18_2",120778.945660714,130993.285892857,151750.858928571,104925.049285714,166881.198089286,157757.314821429,151750.858928571,143734.935357143
"lysoPE 16_0",96672.7195,103280.380357143,106251.872142857,70122.0761785714,85871.8150892857,99141.5412678571,91027.3493928571,109734.807660714
"lysoPE 18_0",187151.798392857,205717.823821429,180852.8255,166881.198089286,197317.689285714,205717.823821429,193773.984285714,190104.917589286
"lysoPE 22_6",508610.486392857,496519.185875,428359.130321429,459518.717321429,311979.460892857,527834.730946428,518741.019642857,348602.556071429
"lysoPE 18_1",64172.3337857143,60928.3265178571,53084.9719464286,51863.2385178571,73265.899375,53603.7779642857,96672.7195,76376.5748392857
"lysoPE 22_5",42740.6879821429,34346.9940660714,23786.4344803571,33549.8261214286,29256.8306071429,35409.6194821429,39180.905925,30024.804525
"lysoPE 20_0",8182.79665892857,7818.80072071429,7818.80072071429,7288.34971535714,7674.84652875,8568.66695714286,4859.26014035714,8062.34949107143
"lysoPE 20_3",14590.6986964286,24878.3242321429,22344.0875178571,20466.9086928571,20701.8814285714,25515.7566642857,24648.4148571429,17905.7529821429
"lysoPE 20_5",2524.25251839286,4233.94117535714,4129.22620732143,3367.97632982143,4129.22620732143,6413.77860446429,4003.08042589286,3286.37972392857
"lysoPE 20_1",6413.77860446429,4440.50417821429,6894.08267107143,3176.56450892857,6646.52262571429,3797.53521178571,2853.8806975,7149.45778035714
"lysoPE 18_3",2738.26377142857,2301.18930267857,2853.8806975,1958.08991857143,2962.86339982143,2738.26377142857,5276.15300892857,2301.18930267857
"MG 18_2",4767.35150946429,4972.19124428571,6295.60251607143,5707.80606535714,6413.77860446429,9666.19391607143,12445.6085892857,5083.32325839286
"MG 18_1",10660.3970267857,15660.504375,11664.5865464286,12445.6085892857,13160.214875,15837.7024571429,14590.6986964286,10480.6037157143
"PC 34_2",43196343.75,39431359.6964286,43196343.75,43196343.75,39431359.6964286,43196343.75,43196343.75,43196343.75
"PC 34_3",3147640.32142857,3404619.23928571,3147640.32142857,2524491.27857143,2377512.36607143,2057660.45535714,3147640.32142857,3147640.32142857
"PC 36_2",34589102.4642857,34589102.4642857,39431359.6964286,36431957.5714286,43196343.75,39431359.6964286,39431359.6964286,39431359.6964286
"PC 32_2",136258.970214286,174443.509642857,120778.945660714,119141.037589286,125566.644553571,107961.024285714,153655.769107143,141663.135
"PC 38_4",95086.8434821429,76376.5748392857,125566.644553571,107961.024285714,60032.3102321429,129249.328392857,146110.468035714,123774.517142857
"PC 38_3",11631902.2053571,10316561.6160714,11631902.2053571,11631902.2053571,10316561.6160714,10316561.6160714,10316561.6160714,9353458.89285714
"PC 38_7",563288.802955357,508610.486392857,626634.444821429,708525.935696429,518741.019642857,322976.941964286,540163.743267857,694261.771982143
"PC 36_5",679997.608267857,788580.424071429,708525.935696429,638831.869375,729938.209285714,459518.717321429,708525.935696429,955879.297321429
"PC 36_4",32242602.9285714,22976408.6964286,22976408.6964286,29771910.5178571,22976408.6964286,27030744.1428571,29771910.5178571,29771910.5178571
"PC 38_6",39431359.6964286,36431957.5714286,34589102.4642857,34589102.4642857,32242602.9285714,34589102.4642857,34589102.4642857,36431957.5714286
"PC 36_3",139873.235125,109734.807660714,150075.023571429,137903.137857143,136258.970214286,217027.624642857,230115.201964286,164340.867678571
"PC 40_4",613608.007821429,599307.431678572,599307.431678572,485844.163392857,638831.869375,428359.130321429,638831.869375,626634.444821429
"PC 36_6",36743.522125,48140.8671607143,39180.905925,42270.1891785714,35409.6194821429,21870.113375,21115.1249267857,32263.4358392857
"PC 34_1",29771910.5178571,29771910.5178571,27030744.1428571,32242602.9285714,27030744.1428571,32242602.9285714,32242602.9285714,27030744.1428571
"PC 38_5",75446.9514642857,57274.9927142857,73265.899375,53084.9719464286,58590.797375,84781.2899285714,80728.0989821429,68428.0165178571
"PC 32_0",3646891.38928571,2707890.17321429,2917267.36071429,3646891.38928571,2707890.17321429,2377512.36607143,2917267.36071429,3404619.23928571
"PC 40_9",217027.624642857,153655.769107143,300330.617678571,201258.031607143,238608.613928571,407758.431857143,348602.556071429,285347.296428571
"PC 42_5",48140.8671607143,39180.905925,56548.0280714286,42740.6879821429,46570.3652142857,48140.8671607143,33549.8261214286,48140.8671607143
"PC 30_1",5083.32325839286,6173.28736053571,7958.53787553571,5276.15300892857,4859.26014035714,6646.52262571429,4233.94117535714,4003.08042589286
"PC 44_7",4565.76887392857,4003.08042589286,3698.57423714286,3062.60029232143,5083.32325839286,5380.08657803571,13696.6282857143,4677.01265857143
"PC 36_0",407758.431857143,381549.305160714,306250.888214286,377003.085,365996.245535714,311979.460892857,372047.992285714,496519.185875
"PC 34_4",73265.899375,58590.797375,78684.2205,68428.0165178571,59235.9577142857,36345.0238035714,69235.555,67625.6619821429
"PC 38_1",148082.963214286,177587.820892857,123774.517142857,164340.867678571,208476.134642857,161801.384107143,155129.416142857,148082.963214286
"PC 38_2",994300.145714286,955879.297321429,1211694.65464286,919618.595714286,1401515.98839286,1145645.24982143,1401515.98839286,1334914.06285714
"PC 40_8",1041433.58625,994300.145714286,816021.157142857,994300.145714286,994300.145714286,613608.007821429,626634.444821429,816021.157142857
"PC 42_10",353551.866446429,281397.249821429,197317.689285714,263002.767857143,263002.767857143,148082.963214286,136258.970214286,230115.201964286
"PC 40_7",1830197.00892857,1662327.25089286,1927700.38107143,1662327.25089286,1830197.00892857,1587400.85357143,1662327.25089286,1750917.09642857
"PC 36_1",9353458.89285714,9353458.89285714,8413786.19642857,7750404.18214286,11631902.2053571,9353458.89285714,11631902.2053571,11631902.2053571
"PC 42_8",89732.2299821428,61580.5224107143,85871.8150892857,75446.9514642857,88251.3293035714,58590.797375,60928.3265178571,91027.3493928571
"PC 42_11",39672.23125,35812.2215678571,43924.0483357143,44872.1232142857,49856.8851607143,30828.0614821429,31145.2635178571,40158.8461785714
"PC 40_6",69235.555,64910.1661964286,99141.5412678571,80728.0989821429,83724.0643392857,151750.858928571,127190.990535714,122175.508571429
"PC 40_5",19707.9837678571,16562.38995,18146.6995535714,17470.1654285714,13295.9136892857,9828.88380535714,37709.0024642857,28827.6476035714
"PC 42_9",67625.6619821429,49856.8851607143,96672.7195,60032.3102321429,92328.8735892857,122175.508571429,120778.945660714,107961.024285714
"PC 34_0",157757.314821429,119141.037589286,153655.769107143,159336.401428571,153655.769107143,247227.189464286,238608.613928571,180852.8255
"PC 42_7",100478.048964286,77587.5420535714,88251.3293035714,81740.4788392857,80728.0989821429,67625.6619821429,99141.5412678571,74354.0717321429
"PC 40_10",37210.6875,36345.0238035714,34346.9940660714,40740.1316785714,27166.2703839286,22655.337375,25187.8067964286,37210.6875
"PC 40_3",92328.8735892857,123774.517142857,117821.062892857,111261.935339286,187151.798392857,114718.668821429,123774.517142857,117821.062892857
"PC 42_6",134721.242857143,169170.56625,130993.285892857,132752.419464286,157757.314821429,146110.468035714,174443.509642857,97910.0930892857
"PC 42_3",10147.4543035714,13295.9136892857,9366.42718928572,10480.6037157143,19054.5808375,8453.61662321429,9666.19391607143,8885.06739660714
"PC 30_0",106251.872142857,79587.1851607143,114718.668821429,112896.958089286,112896.958089286,66790.6490892857,58590.797375,77587.5420535714
"PC 44_4",8885.06739660714,7446.81342910714,5630.22297285714,5380.08657803571,9666.19391607143,5083.32325839286,3698.57423714286,9518.17948142857
"PC 42_2",10296.9797839286,11835.7087017857,18849.0058946429,15837.7024571429,16305.6618767857,13696.6282857143,12646.7265160714,12646.7265160714
"PC 32_1",816021.157142857,886650.390178571,1041433.58625,886650.390178571,847475.440892857,816021.157142857,1082003.45821429,1401515.98839286
"PC 34_5",15124.6669464286,15343.8510955357,13060.9811357143,12733.5172446429,13589.7953883929,14510.1019223214,18235.4757473214,13782.1776696429
"PC 40_1",10017.8381107143,9518.17948142857,10480.6037157143,11187.2991785714,6894.08267107143,4003.08042589286,7019.53097964286,8182.79665892857
"PC 44_12",16562.38995,19054.5808375,14590.6986964286,16990.3754589286,16990.3754589286,12445.6085892857,13867.7270535714,10821.5161821429
"PC 40_0",6074.70763767857,5187.78708392857,3797.53521178571,6173.28736053571,5276.15300892857,7958.53787553571,5830.36731714286,4767.35150946429
"PC 42_4",77587.5420535714,45353.4926071429,67625.6619821429,55107.5350232143,87020.9964285714,49173.166625,35812.2215678571,51863.2385178571
