"Sample","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218"
"PC 36_1",4262567.43214286,5107607.39642857,6336154.78392857,6336154.78392857,8413786.19642857,8413786.19642857,10316561.6160714,9353458.89285714
"PC 42_8",58590.797375,82936.7736785714,25187.8067964286,100478.048964286,57274.9927142857,57274.9927142857,45353.4926071429,54373.6077857143
"PC 42_11",26171.2539482143,38739.4274821429,24878.3242321429,39180.905925,25515.7566642857,43924.0483357143,21395.8974232143,30426.4898571429
"PC 40_6",24045.4217035714,50560.2420107143,79587.1851607143,73265.899375,61580.5224107143,73265.899375,42270.1891785714,28827.6476035714
"PC 40_5",15248.5211732143,22098.1082571429,16758.3396607143,33964.91875,18146.6995535714,20466.9086928571,17205.0590267857,13295.9136892857
"PC 42_9",23786.4344803571,47138.1425892857,84781.2899285714,60928.3265178571,52560.8878035714,85871.8150892857,36743.522125,27516.2858410714
"PC 34_0",62397.9615714286,150075.023571429,230115.201964286,193773.984285714,171733.162857143,184039.758214286,111261.935339286,87020.9964285714
"PC 42_7",107961.024285714,187151.798392857,120778.945660714,164340.867678571,157757.314821429,137903.137857143,127190.990535714,111261.935339286
"PC 40_10",60928.3265178571,72407.9940714286,58039.6899285714,87020.9964285714,76376.5748392857,63343.01875,37210.6875,76376.5748392857
"PC 40_3",83724.0643392857,68428.0165178571,88251.3293035714,80728.0989821429,150075.023571429,150075.023571429,141663.135,141663.135
"PC 42_6",56548.0280714286,51078.9281285714,87020.9964285714,51863.2385178571,141663.135,139873.235125,125566.644553571,130993.285892857
"PC 42_3",8568.66695714286,7674.84652875,7674.84652875,12054.161475,11835.7087017857,18146.6995535714,18589.3386625,16758.3396607143
"PC 30_0",180852.8255,184039.758214286,155129.416142857,201258.031607143,247227.189464286,171733.162857143,150075.023571429,212703.797678571
"PC 44_4",8182.79665892857,8568.66695714286,5630.22297285714,8885.06739660714,8062.34949107143,6894.08267107143,8453.61662321429,10660.3970267857
"PC 42_2",12820.3079732143,12820.3079732143,11515.6484035714,9666.19391607143,11031.9292982143,6173.28736053571,13696.6282857143,18146.6995535714
"PC 32_1",2917267.36071429,3981165.63392857,4262567.43214286,3147640.32142857,3646891.38928571,5549056.43392857,3646891.38928571,4262567.43214286
"PC 34_5",31666.6567741071,33757.3724357143,41012.3543107143,32480.7096535714,29042.2391053571,27341.2781125,28316.0360026786,30986.6625
"PC 40_1",6074.70763767857,5630.22297285714,10821.5161821429,6769.99999642857,12646.7265160714,9828.88380535714,9064.79783035714,12252.0707714286
"PC 44_12",13160.214875,11187.2991785714,9666.19391607143,20896.0796607143,29604.2187464286,28495.2293321429,12252.0707714286,20701.8814285714
"PC 40_0",3698.57423714286,3062.60029232143,1009.10998678571,3598.08826178571,4347.66305482143,5630.22297285714,3598.08826178571,9666.19391607143
"PC 42_4",27852.3630714286,25515.7566642857,21870.113375,15837.7024571429,18589.3386625,24338.8607678571,21870.113375,17648.0953017857
"PC 44_5",7149.45778035714,6173.28736053571,6173.28736053571,5932.3872675,14429.5051482143,3698.57423714286,7958.53787553571,7674.84652875
"PC 44_9",2409.38093892857,1583.11261982143,5707.80606535714,2853.8806975,7674.84652875,3367.97632982143,5380.08657803571,2409.38093892857
