"Sample","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266"
"lysoPC 22_2",3698.57423714286,4129.22620732143,3797.53521178571,4233.94117535714,4972.19124428571,6074.70763767857,7818.80072071429,6547.23283035714
"lysoPE 20_4",393477.473428571,428359.130321429,485844.163392857,466485.172642857,386893.902142857,342575.355107143,359016.831160714,372047.992285714
"lysoPE 18_2",81740.4788392857,106251.872142857,88251.3293035714,84781.2899285714,68428.0165178571,64910.1661964286,70122.0761785714,106251.872142857
"lysoPE 16_0",106251.872142857,96672.7195,129249.328392857,106251.872142857,95086.8434821429,97910.0930892857,82936.7736785714,83724.0643392857
"lysoPE 18_0",143734.935357143,171733.162857143,150075.023571429,180852.8255,180852.8255,169170.56625,166881.198089286,122175.508571429
"lysoPE 22_6",496519.185875,527834.730946428,613608.007821429,554847.643767857,496519.185875,386893.902142857,377003.085,450520.603928571
"lysoPE 18_1",65810.4067678571,84781.2899285714,83724.0643392857,77587.5420535714,85871.8150892857,92328.8735892857,71418.1367142857,80728.0989821429
"lysoPE 22_5",36743.522125,53084.9719464286,51078.9281285714,38739.4274821429,41788.9912446429,30828.0614821429,34815.1407125,28495.2293321429
"lysoPE 20_0",5510.25820196429,6074.70763767857,6295.60251607143,6074.70763767857,7446.81342910714,5083.32325839286,9828.88380535714,6413.77860446429
"lysoPE 20_3",19915.4671964286,15660.504375,32697.9834678571,25187.8067964286,22098.1082571429,20184.7195535714,22996.4870714286,19250.3550410714
"lysoPE 20_5",6769.99999642857,6894.08267107143,6646.52262571429,7019.53097964286,10480.6037157143,5187.78708392857,8885.06739660714,6173.28736053571
"lysoPE 20_1",5830.36731714286,13295.9136892857,7818.80072071429,8709.31950178571,6295.60251607143,7560.55331428571,11835.7087017857,11835.7087017857
"lysoPE 18_3",1958.08991857143,2301.18930267857,2623.71107660714,2409.38093892857,2301.18930267857,1958.08991857143,2409.38093892857,1429.82686803571
"MG 18_2",4972.19124428571,2853.8806975,6894.08267107143,3698.57423714286,2524.25251839286,4767.35150946429,2962.86339982143,2623.71107660714
"MG 18_1",15248.5211732143,19915.4671964286,20184.7195535714,20896.0796607143,23786.4344803571,26496.8920107143,20701.8814285714,20701.8814285714
"PC 34_2",43196343.75,29771910.5178571,36431957.5714286,32242602.9285714,29771910.5178571,32242602.9285714,29771910.5178571,34589102.4642857
"PC 34_3",3404619.23928571,2917267.36071429,4720640.14285714,3981165.63392857,2917267.36071429,3147640.32142857,3147640.32142857,2917267.36071429
"PC 36_2",36431957.5714286,36431957.5714286,39431359.6964286,36431957.5714286,32242602.9285714,39431359.6964286,39431359.6964286,39431359.6964286
"PC 32_2",220961.976607143,243308.448035714,311979.460892857,295686.620535714,220961.976607143,290126.623517857,335816.517321429,238608.613928571
"PC 38_4",125566.644553571,103280.380357143,151750.858928571,114718.668821429,97910.0930892857,91027.3493928571,89732.2299821428,95086.8434821429
"PC 38_3",11631902.2053571,13227403.2142857,8413786.19642857,11631902.2053571,13227403.2142857,10316561.6160714,13227403.2142857,11631902.2053571
"PC 38_7",60928.3265178571,64172.3337857143,60928.3265178571,50560.2420107143,58039.6899285714,46570.3652142857,44400.4986964286,44872.1232142857
"PC 36_5",1927700.38107143,2524491.27857143,2524491.27857143,2917267.36071429,3981165.63392857,2707890.17321429,3646891.38928571,3404619.23928571
"PC 36_4",27030744.1428571,27030744.1428571,27030744.1428571,27030744.1428571,27030744.1428571,27030744.1428571,27030744.1428571,27030744.1428571
"PC 38_6",34589102.4642857,32242602.9285714,32242602.9285714,43196343.75,39431359.6964286,29771910.5178571,34589102.4642857,29771910.5178571
"PC 36_3",171733.162857143,148082.963214286,190104.917589286,159336.401428571,132752.419464286,143734.935357143,83724.0643392857,164340.867678571
"PC 40_4",638831.869375,955879.297321429,626634.444821429,788580.424071429,886650.390178571,994300.145714286,919618.595714286,708525.935696429
"PC 36_6",78684.2205,114718.668821429,93520.8039821429,120778.945660714,109734.807660714,123774.517142857,153655.769107143,125566.644553571
"PC 34_1",39431359.6964286,34589102.4642857,43196343.75,29771910.5178571,34589102.4642857,34589102.4642857,36431957.5714286,36431957.5714286
"PC 38_5",139873.235125,120778.945660714,136258.970214286,100478.048964286,120778.945660714,111261.935339286,101877.901339286,104925.049285714
"PC 32_0",2707890.17321429,3981165.63392857,3147640.32142857,3147640.32142857,2707890.17321429,2524491.27857143,2524491.27857143,2707890.17321429
"PC 40_9",281397.249821429,365996.245535714,381549.305160714,281397.249821429,276026.942321429,257841.348571429,247227.189464286,263002.767857143
"PC 42_5",27852.3630714286,41284.5769428571,37709.0024642857,36345.0238035714,45353.4926071429,53084.9719464286,41788.9912446429,58590.797375
"PC 30_1",15439.1810178571,18589.3386625,14429.5051482143,16758.3396607143,15837.7024571429,17470.1654285714,28495.2293321429,13482.9624910714
"PC 44_7",4767.35150946429,7446.81342910714,7674.84652875,6894.08267107143,5380.08657803571,3367.97632982143,6074.70763767857,5707.80606535714
"PC 36_0",316463.574178571,372047.992285714,335816.517321429,372047.992285714,359016.831160714,381549.305160714,353551.866446429,208476.134642857
"PC 34_4",122175.508571429,177587.820892857,159336.401428571,190104.917589286,159336.401428571,184039.758214286,177587.820892857,174443.509642857
