"Class","Carbon","Double_bond","Adduct","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334"
"DG","34","4"," [M+NH4]+@6.83",25140.6987545294,12859.732335181,32856.9614001071,32856.9614001071,26384.9106305458,32856.9614001071,24440.1162705759,18520.3363245616,17674.5104604884,32856.9614001071,35029.180799929,19565.0653679824,22368.5936166911,20917.2201021667,20110.2922438145,16398.9150415773,15763.3687217144,6212.89145658457,7588.59786689119,10940.7823372663,10940.7823372663,10940.7823372663,9807.58199609661,11514.8733047935,14136.5796460737,30343.1142901674,27466.5295318216,23994.8989578161,17931.284221945,20917.2201021667,21955.3065881794,26384.9106305458,17289.7904010003,19058.258001601,17931.284221945,20110.2922438145,24440.1162705759,8590.10472840768,16137.634013348,27466.5295318216,26954.2584921167,10828.7381983571,3640.97872960073,7921.04733750395,19282.3501521796,10114.6473977691,7717.57215669645,13573.8301418147
"DG","37","2"," [M+NH4]+@8.34",23994.8989578161,12185.5819323399,20917.2201021667,15290.4228561396,16137.634013348,18166.6226030207,29098.7429507766,15290.4228561396,11970.1854289872,51163.9308922764,21359.6461597065,26384.9106305458,25840.7899752339,16137.634013348,19058.258001601,23994.8989578161,54129.4581072229,24440.1162705759,28820.2915305852,11883.0535993216,25840.7899752339,10617.2889325545,35356.0511854785,28220.663034298,30343.1142901674,10940.7823372663,10441.8264587194,25840.7899752339,8590.10472840768,9003.97914838529,12185.5819323399,15763.3687217144,10713.8014338532,25140.6987545294,19282.3501521796,17931.284221945,25840.7899752339,9315.48313178483,7588.59786689119,12371.1538903283,13933.4216065439,9116.96634196858,7521.65635821746,5234.7527711077,35356.0511854785,11746.80878921,10617.2889325545,11746.80878921
"DG","38","1"," [M+NH4]+@8.93",31044.5978948227,21955.3065881794,28820.2915305852,16923.0401716664,13933.4216065439,30343.1142901674,49734.025777868,23285.0086005339,20917.2201021667,73104.0557603158,34344.8502303868,49734.025777868,31780.529422496,32856.9614001071,16923.0401716664,9929.8943000495,97796.0749756159,35356.0511854785,34344.8502303868,25840.7899752339,23994.8989578161,21359.6461597065,59201.6588274221,30343.1142901674,31044.5978948227,6827.72317715027,9003.97914838529,39263.3205847908,16923.0401716664,23285.0086005339,26384.9106305458,35356.0511854785,20917.2201021667,36018.5583491844,34344.8502303868,36018.5583491844,55951.1004690342,25840.7899752339,35356.0511854785,34344.8502303868,36018.5583491844,19282.3501521796,24440.1162705759,9929.8943000495,31780.529422496,35356.0511854785,16923.0401716664,51163.9308922764
"DG","42","6"," [M+NH4]+@8.13",9235.46056029495,22806.8163709131,13439.3075427741,5078.54572133119,9929.8943000495,10114.6473977691,16137.634013348,12859.732335181,8253.97862949947,42603.1113185256,15290.4228561396,19058.258001601,17931.284221945,30343.1142901674,12617.9747302927,11633.1525248554,60851.666002477,8881.26991652829,10441.8264587194,5553.65304921028,5806.58241784265,15290.4228561396,6986.65352454895,7446.47496056903,10042.6537131761,4156.4876883499,5450.01206490267,9430.7525966114,14781.3594675502,9503.48399080236,10713.8014338532,16398.9150415773,11746.80878921,33432.963019786,37606.8448428336,26384.9106305458,32856.9614001071,14421.4546845661,8253.97862949947,16923.0401716664,15576.6245390726,14136.5796460737,7830.0347096027,12859.732335181,9929.8943000495,17289.7904010003,20917.2201021667,24440.1162705759
"DG","26","2"," [M+NH4]+@5.06",2855.25124036555,1099.35468823432,1448.70921663382,2819.37281518542,982.897086953587,1422.03743606239,1129.8513077015,2463.72976106722,1310.71857019807,1610.30246045259,1517.57027202074,1160.54267482823,2178.01478957907,6944.29567652905,1578.23701615733,2194.55021318974,2990.93669150468,756.675442748719,982.897086953587,835.146637849803,967.493285690812,756.675442748719,698.43541324027,1202.8325934515,1640.88491618403,816.88161587436,2914.5716884683,5078.54572133119,1032.09039381935,1356.2504283063,1376.14463056216,1181.43716573132,816.88161587436,556.009742992647,982.897086953587,1008.0225270837,1310.71857019807,967.493285690812,556.009742992647,2954.96209743807,1310.71857019807,1066.27728321814,680.550564802879,835.146637849803,1784.75471519342,1356.2504283063,1558.90651857971,1659.52222452611
"DG","30","0"," [M+NH4]+@7.36",16137.634013348,8651.41735427099,13573.8301418147,9632.81766929046,13013.8554366387,13265.0160448372,13933.4216065439,9116.96634196858,10617.2889325545,19565.0653679824,11883.0535993216,11389.5918535874,9929.8943000495,9929.8943000495,7830.0347096027,17289.7904010003,29098.7429507766,8461.29006782076,22368.5936166911,16398.9150415773,17289.7904010003,5256.26325178087,27466.5295318216,22806.8163709131,18166.6226030207,5677.53512080746,8031.41988129279,10617.2889325545,9315.48313178483,8253.97862949947,7717.57215669645,8352.8966901949,6212.89145658457,11883.0535993216,11389.5918535874,16398.9150415773,12859.732335181,3757.47925791549,6112.19420364619,4658.99882366799,11514.8733047935,5734.19565769063,4851.37058862409,4033.57837199241,17289.7904010003,7446.47496056903,5734.19565769063,4917.30150840707
"DG","42","5"," [M+NH4]+@8.45",4690.18976199036,6944.29567652905,5734.19565769063,3307.77124437562,2133.5277537567,3073.38796754991,6615.97621860381,5806.58241784265,2651.01698708592,9430.7525966114,5169.20242420531,4690.18976199036,8253.97862949947,6568.74646067273,3512.76359261794,3871.3772013047,12859.732335181,4387.32715422547,4851.37058862409,1841.90731019952,3548.58298124476,6827.72317715027,4690.18976199036,3055.71176991106,4690.18976199036,2216.95286968574,3640.97872960073,5450.01206490267,4809.58357481659,3512.76359261794,4363.53746106577,5597.29459016579,4851.37058862409,11286.2522497817,12617.9747302927,10940.7823372663,11389.5918535874,6376.40094562033,3757.47925791549,7347.37161177832,6568.74646067273,3933.98877819309,3757.47925791549,2855.25124036555,4690.18976199036,4851.37058862409,4315.69286789868,10828.7381983571
"DG","33","2"," [M+NH4]+@7.31",25840.7899752339,26384.9106305458,23994.8989578161,20917.2201021667,21359.6461597065,33432.963019786,26954.2584921167,21955.3065881794,22368.5936166911,31780.529422496,29098.7429507766,23285.0086005339,25140.6987545294,23994.8989578161,17674.5104604884,21359.6461597065,25840.7899752339,17674.5104604884,25140.6987545294,25140.6987545294,22806.8163709131,24440.1162705759,31780.529422496,27466.5295318216,24440.1162705759,20489.9222612137,12371.1538903283,33432.963019786,20110.2922438145,18166.6226030207,31780.529422496,40473.1871602372,22806.8163709131,34344.8502303868,33432.963019786,29098.7429507766,41464.3178917538,19565.0653679824,25140.6987545294,30343.1142901674,36831.9509883591,22806.8163709131,25140.6987545294,19058.258001601,31044.5978948227,32856.9614001071,30343.1142901674,28820.2915305852
"DG","40","1"," [M+NH4]+@9.33",5078.54572133119,6986.65352454895,6415.46529542456,2746.29622424888,3582.78283814596,6018.64947411107,14421.4546845661,6212.89145658457,9632.81766929046,8253.97862949947,8098.19161660726,8590.10472840768,3968.82427597725,5078.54572133119,4481.91145131831,2888.20130516259,9929.8943000495,6376.40094562033,7099.42489676729,2165.41334899486,4523.81938229584,3381.53356686189,9929.8943000495,6986.65352454895,4315.69286789868,951.55816296729,1744.8986397575,7588.59786689119,2933.8102000047,4523.81938229584,5597.29459016579,5169.20242420531,4566.45164615393,4071.23124662213,5003.92710488384,3442.63663383301,4658.99882366799,7446.47496056903,6212.89145658457,6568.74646067273,5234.7527711077,2746.29622424888,4156.4876883499,2324.59129354116,4071.23124662213,5450.01206490267,3825.95664015282,14136.5796460737
"DG","42","2"," [M+NH4]+@9.32",4606.09519097871,2792.16641440127,5003.92710488384,2497.42925529389,2888.20130516259,4315.69286789868,8098.19161660726,5894.31053216795,5078.54572133119,4315.69286789868,3724.27361308008,4566.45164615393,4266.05355737087,5499.30928878379,3381.53356686189,6271.41537921545,7181.06267139208,3178.84755895613,2763.26955216501,2651.01698708592,2599.2538413481,2082.10089015757,5351.22997895585,2914.5716884683,3340.27121100111,1578.23701615733,2384.9094953177,6481.37711101783,1517.57027202074,1659.52222452611,1823.57856873329,1967.98764251771,2349.87217094041,1992.79957348893,2775.60599579203,1593.08427456051,3148.91292249763,4156.4876883499,3442.63663383301,3442.63663383301,3098.33124903292,2253.41289796525,1861.51048336748,1422.03743606239,2296.18709518999,2819.37281518542,2933.8102000047,4033.57837199241
