"Lipid","Adduct","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334","QC","QC.1","QC.2","QC.3","QC.4","QC.5","QC.6"
"CL 74:9"," [M-2H](2-)@5.84",17507.9758197095,21811.9030810522,37031.6151083174,13363.4445679901,10853.1213565757,13876.793595145,15601.5695296592,23035.2848964181,32541.3497288567,25925.7423747668,25925.7423747668,25062.284156691,20223.4292349347,15931.8586400006,17507.9758197095,15601.5695296592,20514.1237999657,39753.2669034259,29964.1546712459,35667.5435096764,12751.153725333,21086.8526912281,16751.1926686631,15931.8586400006,27529.3850202183,22158.3532952268,23373.314098716,29964.1546712459,17302.2458155468,16515.3439193926,24616.4322783122,25062.284156691,24616.4322783122,25925.7423747668,24616.4322783122,26313.9159310132,12358.2645876077,16208.6130793991,15345.8988513416,19030.0475696646,33089.2200165463,25925.7423747668,19302.1112464844,24616.4322783122,17507.9758197095,19862.4935558531,13876.793595145,21811.9030810522,16515.3439193926,22158.3532952268,20746.6150297789,21446.4485969016,28482.514167071,20746.6150297789,20223.4292349347
"CL 76:2"," [M-2H](2-)@3.80",845.850645225801,1568.52055271757,1373.23925325051,1810.10979448577,845.850645225801,845.850645225801,2965.18177246721,845.850645225801,1373.23925325051,1373.23925325051,1568.52055271757,1045.87865918198,1045.87865918198,845.850645225801,549.57330418908,845.850645225801,1045.87865918198,2313.84172956998,1713.03307509823,1810.10979448577,4184.69175041108,2668.09332669709,845.850645225801,549.57330418908,2098.03097835884,3458.07748400679,1373.23925325051,2965.18177246721,2773.91224205307,549.57330418908,1045.87865918198,549.57330418908,2773.91224205307,2965.18177246721,845.850645225801,2182.94380393466,2313.84172956998,2862.23759150775,2313.84172956998,2313.84172956998,2555.66042200797,7058.13048967822,4613.18521493084,4884.69233519555,3059.62383423222,1810.10979448577,4613.18521493084,1373.23925325051,2421.56955059548,2862.23759150775,2182.94380393466,1373.23925325051,3266.55563709806,2668.09332669709,2098.03097835884
"CL 78:0"," [M-2H](2-)@7.01",5928.85669735992,8110.13279501548,13876.793595145,9093.87970856546,9395.66994899383,10853.1213565757,9563.77982648063,8814.47368964092,12592.5251171284,17045.5239896322,10241.2889150012,13180.3502068322,11028.6904885808,7639.07739673514,9754.61316183831,7639.07739673514,7818.54857559949,7195.93766480019,9093.87970856546,3161.69174191271,12358.2645876077,5928.85669735992,5051.1792247438,6372.29735398687,3732.48207701898,6815.41497814529,5051.1792247438,4508.39218302632,8625.25146929395,3563.60496531518,5051.1792247438,5194.87737512212,13876.793595145,11561.5719533692,10241.2889150012,13876.793595145,8310.42259335373,11171.9478555076,8625.25146929395,10673.8243261561,7058.13048967822,18213.9992264873,15129.4839237294,18213.9992264873,7499.1073540432,7195.93766480019,10673.8243261561,7195.93766480019,9754.61316183831,9220.82713010208,7499.1073540432,7499.1073540432,8441.74201884678,10448.3722544323,5928.85669735992
"CL 78:12"," [M-2H](2-)@5.80",4781.57060390132,4508.39218302632,8625.25146929395,6648.90620544533,3956.27180614966,5051.1792247438,5561.4229882619,2773.91224205307,7818.54857559949,4508.39218302632,9754.61316183831,5412.02058138438,4383.59365387204,2668.09332669709,4884.69233519555,7058.13048967822,6071.79522141724,5051.1792247438,3563.60496531518,4781.57060390132,3732.48207701898,10673.8243261561,3361.27529169851,3956.27180614966,8310.42259335373,4264.78974533633,10075.4593686747,13363.4445679901,4700.81622837753,6486.19124158297,6939.99498851855,5803.66164343117,4781.57060390132,7818.54857559949,5561.4229882619,3818.10381542193,10673.8243261561,4508.39218302632,7340.04752523535,4383.59365387204,10448.3722544323,6815.41497814529,5194.87737512212,10241.2889150012,5051.1792247438,5292.76506939898,4884.69233519555,6372.29735398687,4613.18521493084,4700.81622837753,5051.1792247438,5412.02058138438,7499.1073540432,5051.1792247438,6815.41497814529
"CL 78:2"," [M-2H](2-)@7.01",1373.23925325051,2668.09332669709,1713.03307509823,1890.33504103927,549.57330418908,1713.03307509823,2773.91224205307,4613.18521493084,845.850645225801,845.850645225801,3161.69174191271,2313.84172956998,1206.65163036771,1206.65163036771,2421.56955059548,1890.33504103927,1206.65163036771,1045.87865918198,2098.03097835884,2182.94380393466,1373.23925325051,1890.33504103927,549.57330418908,1206.65163036771,1713.03307509823,1373.23925325051,845.850645225801,3266.55563709806,1890.33504103927,1373.23925325051,3637.67333924293,2773.91224205307,1890.33504103927,1568.52055271757,1713.03307509823,2098.03097835884,3161.69174191271,1206.65163036771,1713.03307509823,2182.94380393466,1045.87865918198,1890.33504103927,2668.09332669709,1810.10979448577,549.57330418908,3637.67333924293,2668.09332669709,549.57330418908,1987.2847168514,1206.65163036771,1987.2847168514,2421.56955059548,1713.03307509823,1568.52055271757,845.850645225801
"CL 78:3"," [M-2H](2-)@7.15",41416.8562476669,39753.2669034259,75321.2745069666,20514.1237999657,42088.4290996434,41416.8562476669,31473.6033999022,53149.726979024,49426.6205339038,38292.5297965228,47956.0388727718,54873.3666745243,37628.3782584958,32541.3497288567,50346.7914513033,35088.6516005608,37628.3782584958,43835.9015892823,37628.3782584958,44959.177637981,26664.9913337597,27122.9843369021,19549.0215960337,26313.9159310132,35667.5435096764,35088.6516005608,41416.8562476669,36354.9159964298,31966.9144735463,27529.3850202183,46023.4676001149,35667.5435096764,31473.6033999022,39753.2669034259,28813.3682882116,42950.0723808611,25925.7423747668,24616.4322783122,28813.3682882116,29964.1546712459,35667.5435096764,36354.9159964298,36354.9159964298,31966.9144735463,22384.0875118869,33089.2200165463,28015.7074069478,30453.768698317,40439.0956549891,35088.6516005608,36354.9159964298,42950.0723808611,46023.4676001149,40439.0956549891,40439.0956549891
"CL 78:4"," [M-2H](2-)@7.12",19302.1112464844,13876.793595145,27122.9843369021,14251.0994921284,15129.4839237294,17942.6912581263,13876.793595145,19030.0475696646,20223.4292349347,18807.806355581,18547.9058154345,18807.806355581,25502.8161411351,18213.9992264873,22683.9534825369,14251.0994921284,23373.314098716,17699.2993023895,24616.4322783122,22158.3532952268,23373.314098716,15931.8586400006,18547.9058154345,19302.1112464844,20746.6150297789,19030.0475696646,24139.7853219615,20746.6150297789,19030.0475696646,20514.1237999657,22384.0875118869,24139.7853219615,25502.8161411351,14519.0980148526,17507.9758197095,12751.153725333,15601.5695296592,10448.3722544323,16515.3439193926,14251.0994921284,12969.1129568108,12969.1129568108,17942.6912581263,14793.2707969094,17699.2993023895,18547.9058154345,11979.0763139976,13876.793595145,24616.4322783122,26664.9913337597,19549.0215960337,22158.3532952268,16208.6130793991,17699.2993023895,19302.1112464844
"CL 78:9"," [M-2H](2-)@6.46",196405.97373739,162570.298686561,275364.201280237,137437.325029733,162570.298686561,145016.709992722,152676.412220418,196405.97373739,236462.798086906,179588.806763646,215478.758671877,352712.93922573,236462.798086906,145016.709992722,162570.298686561,114501.403857177,215478.758671877,327808.334469712,275364.201280237,352712.93922573,162570.298686561,137437.325029733,171723.685831767,145016.709992722,215478.758671877,179588.806763646,196405.97373739,236462.798086906,171723.685831767,145016.709992722,236462.798086906,236462.798086906,179588.806763646,196405.97373739,171723.685831767,236462.798086906,110471.618496811,110471.618496811,110471.618496811,114501.403857177,215478.758671877,196405.97373739,145016.709992722,171723.685831767,119770.52509178,171723.685831767,137437.325029733,215478.758671877,196405.97373739,196405.97373739,196405.97373739,196405.97373739,215478.758671877,236462.798086906,215478.758671877
"CL 80:1"," [M-2H](2-)@6.38",40439.0956549891,41416.8562476669,39753.2669034259,31473.6033999022,35667.5435096764,58992.9160693775,61872.0374209438,49426.6205339038,44959.177637981,33089.2200165463,39108.3406714006,78464.2237823794,27122.9843369021,33089.2200165463,40439.0956549891,58992.9160693775,28015.7074069478,82608.8010967724,47003.7793471147,61872.0374209438,63655.6787194194,53149.726979024,46023.4676001149,70730.1969357087,56431.8450899166,137437.325029733,53149.726979024,75321.2745069666,81036.791517283,44959.177637981,68608.4430136956,50346.7914513033,37628.3782584958,61872.0374209438,43835.9015892823,78464.2237823794,92740.7642906418,68608.4430136956,70730.1969357087,70730.1969357087,103388.286888888,130880.863713196,92740.7642906418,145016.709992722,78464.2237823794,99764.8783642799,124855.216015847,81036.791517283,35667.5435096764,56431.8450899166,40439.0956549891,46023.4676001149,63655.6787194194,47956.0388727718,58992.9160693775
"CL 80:9"," [M-2H](2-)@6.16",4884.69233519555,4184.69175041108,6939.99498851855,5412.02058138438,4383.59365387204,7195.93766480019,12592.5251171284,8625.25146929395,11561.5719533692,10075.4593686747,19302.1112464844,7340.04752523535,3361.27529169851,6372.29735398687,4184.69175041108,4184.69175041108,2555.66042200797,8949.7948344467,6939.99498851855,6939.99498851855,8625.25146929395,5292.76506939898,5687.96720897325,3732.48207701898,6648.90620544533,7639.07739673514,2313.84172956998,11755.0603845064,7639.07739673514,5194.87737512212,6486.19124158297,8110.13279501548,10448.3722544323,10673.8243261561,5687.96720897325,9754.61316183831,6486.19124158297,8625.25146929395,4383.59365387204,16751.1926686631,12358.2645876077,7499.1073540432,8625.25146929395,9093.87970856546,11979.0763139976,11381.1307880834,14519.0980148526,7499.1073540432,7340.04752523535,5292.76506939898,7340.04752523535,7639.07739673514,4508.39218302632,8441.74201884678,6242.55160387247
