Class	Carbon	Saturation	Adduct	RT	CV	Ctrl_BKS_2202	Ctrl_BKS_2203	Ctrl_BKS_2206	Ctrl_BKS_2211	HF_BKS_2214	HF_BKS_2216	HF_BKS_2217	HF_BKS_2218	Ctrl_BKS_db._2225	Ctrl_BKS_db._2226	Ctrl_BKS_db._2227	Ctrl_BKS_db._2231	HF_BKS_db._2239	HF_BKS_db._2241	HF_BKS_db._2242	HF_BKS_db._2243	Ctrl_BL6_2249	Ctrl_BL6_2250	Ctrl_BL6_2251	Ctrl_BL6_2252	HF_BL6_2260	HF_BL6_2261	HF_BL6_2262	HF_BL6_2266	Ctrl_BL6_db._2273	Ctrl_BL6_db._2274	Ctrl_BL6_db._2275	Ctrl_BL6_db._2279	HF_BL6_db._2286	HF_BL6_db._2287	HF_BL6_db._2288	HF_BL6_db._2289	Ctrl_BTBR_2292	Ctrl_BTBR_2293	Ctrl_BTBR_2297	Ctrl_BTBR_2298	HF_BTBR_2306	HF_BTBR_2307	HF_BTBR_2308	HF_BTBR_2309	Ctrl_BTBR_ob._2316	Ctrl_BTBR_ob._2317	Ctrl_BTBR_ob._2318	Ctrl_BTBR_ob._2320	HF_BTBR_ob._2329	HF_BTBR_ob._2331	HF_BTBR_ob._2333	HF_BTBR_ob._2334
DG	40	4	 [M+NH4]+	8.36	6.95	68298.17249	98557.19432	80066.34535	39834.89317	45493.05971	107468.8216	142232.8889	86223.11032	63864.7143	139021.7109	82948.86678	61052.90851	31538.73448	94574.46651	154261.2976	112859.1332	354468.4915	193405.1402	201285.9781	175350.6324	251879.4766	303491.3665	213169.1569	369095.6904	143016.5832	112155.7164	84745.74018	336605.0814	166230.0404	137285.1469	138687.5169	172715.1775	121312.4041	162321.5607	74202.754	81263.53835	149435.8047	165655.9104	89016.27718	151796.3047	178162.4411	163325.464	93415.6172	104916.5252	98040.09929	115994.1461	272010.1924	121677.485
DG	34	0	 [M+NH4]+	8.41	7.35	91682.17147	79095.56838	74296.69565	73533.91721	162297.0924	278033.4306	469338.078	337010.5661	86803.36533	98646.05593	71645.53208	74512.89627	175761.3425	155675.1278	304283.9467	125475.2885	137839.1196	81478.07269	121125.127	100315.0191	235831.7865	200658.9257	236217.0756	273822.0204	109343.0442	48094.80451	107698.7545	271321.494	196748.5238	189003.1409	153722.415	211044.697	126897.8843	238321.9399	105336.9215	182658.4749	263314.0351	271783.3711	256998.0759	180097.4066	278396.741	300367.7498	165556.0792	212502.9707	155102.9673	218327.4265	304170.8517	209059.4944
DG	33	2	 [M+NH4]+	7.31	7.39	276316.9398	357089.4274	297330.3532	133491.1766	108052.0146	142180.8015	326176.4028	176215.5859	229947.9712	474072.9763	205989.9982	317627.2264	28139.53458	456089.4831	484707.9473	454748.1101	976874.5381	494978.8478	294240.1974	455769.3744	484706.3939	536622.1816	372944.6135	1246211.059	283994.1425	263562.7615	111800.965	429253.354	259048.4103	258754.2186	298921.0314	594792.9906	254104.2398	737878.1846	239530.3653	185151.0915	240087.98	231907.2447	201304.0784	299134.8769	531367.1631	465779.3077	155479.4036	242625.5214	152823.0808	395141.7037	440842.9737	232415.4999
DG	42	10	 [M+NH4]+	7.08	7.52	97379.9977	248496.1001	140155.7213	89849.46848	80702.82087	107342.388	100956.4212	145756.8591	33800.43426	104737.1141	90489.22034	30410.98981	18413.1808	76041.87074	109681.7238	126798.6974	333170.8516	265550.8752	182071.2247	172894.1458	208182.1797	240254.0293	170400.6912	594996.0226	190586.4671	70918.06507	69638.56118	126815.7045	65607.79262	82678.74205	127936.2038	190736.8598	48931.42537	119653.768	30811.38397	40818.81266	133866.7454	67520.05679	92961.96006	34273.54563	225032.8404	69621.68287	19247.90143	56187.45799	52916.30821	101589.4901	190112.3262	74941.31194
DG	42	6	 [M+NH4]+	8.13	8.71	40100.82172	89305.30447	34426.81418	34590.81973	23327.28669	27161.33625	51442.6719	79088.80293	49294.0034	122475.7943	80144.95074	38001.40056	26953.30298	66229.8152	93630.952	88579.09465	324380.6631	113100.0006	114263.8523	111147.9826	227881.8556	273960.4992	183395.4389	466324.9971	146001.4776	112047.9549	58665.24431	345544.5431	71214.88396	45373.5845	89584.31692	106541.9504	66355.82964	77688.78168	29294.87165	28231.74173	87933.24831	60851.02001	64441.73177	69875.8088	116241.4186	49341.32432	40206.72092	68330.14273	82785.81507	118630.1121	199929.5898	113693.8326
DG	44	10	 [M+NH4]+	7.52	8.73	64784.3522	84415.33912	65636.42327	66187.88614	49712.21779	108184.3137	98180.59757	122465.208	48557.29167	77356.17582	101732.6116	63830.75895	19450.52543	95497.60981	148105.3601	108573.2693	156669.5731	111579.6886	118860.9254	152571.5361	193575.0834	231661.4205	179129.0092	345930.6193	114503.5839	96204.24541	61500.32106	87193.46839	109521.2053	100812.5912	104656.5773	118440.1294	72116.06777	61625.89305	65733.3307	55622.94586	190049.2665	189359.1074	142929.0314	63108.08666	243975.5651	65712.36631	48618.66148	55283.51323	97542.62858	168274.2554	256255.8039	161453.914
DG	26	2	 [M+NH4]+	5.06	9.36	14467.23254	6887.29655	26538.82747	4181.40692	7777.873398	29366.24116	44920.53872	10528.24017	5602.508201	5239.164156	18719.14826	7597.935131	7302.555972	10999.2801	7955.346171	3408.585598	7698.784634	7120.071536	5520.416508	16125.92425	2470.677148	4891.614501	2889.451685	4685.11505	43431.86654	11053.60172	8385.957211	11863.63765	8568.547767	3749.587636	23016.09444	3358.732948	3092.682947	2885.566694	3306.025694	4185.117382	6312.376129	7570.203368	7172.108828	5445.817405	5472.30397	2062.989642	3606.943396	5551.569365	4884.357734	9533.414316	11497.30254	4324.248192
DG	30	0	 [M+NH4]+	7.36	9.61	96112.43338	109324.953	58952.32832	55569.18461	33418.3318	48270.66041	42218.52102	63692.16541	78516.448	124406.4633	49137.00546	53392.46002	20822.7111	47905.88346	59316.73002	61187.58702	160575.1136	97265.97405	81350.03413	62226.2461	89691.99973	86747.03805	157049.6053	188776.6232	61187.97845	68302.04444	92412.81255	249288.6284	22835.50215	44961.05438	27309.09745	131654.6075	60213.5663	262538.5445	101607.5862	94357.1399	51177.06065	33418.46256	23685.52576	118881.067	51148.45237	212303.9692	123452.1435	118760.5269	29610.99323	32988.06772	38094.66179	51194.31478
DG	37	2	 [M+NH4]+	8.34	11.1	165462.9364	163296.5197	93985.2935	68767.36209	82384.77884	60296.96172	100703.7328	60664.92434	117183.6942	272598.2912	102895.5727	67812.79704	26276.4987	71870.74484	109400.1666	108277.4225	292201.3479	186253.9025	213792.1471	153727.0315	204869.3425	178452.728	146574.0231	327486.2044	102905.645	148990.7502	113227.7429	315740.8697	65472.19742	72670.16827	74063.25727	131884.821	187180.9967	364695.711	89878.59852	154475.346	88860.96168	54297.01252	32191.43548	267419.1795	115579.1072	303676.9956	143692.2976	216275.2111	49027.99857	57673.30315	91160.64315	77417.38339
DG	39	4	 [M+NH4]+	8.22	11.13	11141.40483	2773.568748	19352.27589	7960.547296	3466.657198	20953.60764	20049.32551	5814.909672	5928.822736	24830.77892	7693.224646	3732.422571	2963.491602	39774.52977	69836.79746	25769.46775	189443.6119	224171.5379	107070.2296	16113.46437	141713.9878	96029.21881	60885.63245	114582.8602	18109.11	42097.2466	36249.19487	235521.3901	11002.35187	64713.09347	12633.62111	60359.3943	200712.4564	306333.9482	37250.15921	43818.81008	22194.79262	74183.61889	14202.39569	132949.9824	49280.9555	161295.8338	30151.40731	89204.39927	7215.331138	27455.19488	39275.8295	60143.70074
