Sample,Ctrl_BTBR_ob._2316,Ctrl_BTBR_ob._2317,Ctrl_BTBR_ob._2318,Ctrl_BTBR_ob._2320,HF_BTBR_ob._2329,HF_BTBR_ob._2331,HF_BTBR_ob._2333,HF_BTBR_ob._2334
Label,CT,CT,CT,CT,HF,HF,HF,HF
lysoPC 22_0,93228.66841,125176.1639,116697.0135,74343.49208,116697.0135,67279.79372,93228.66841,88043.69169
lysoPC 20_0,236781.7041,343512.6383,296081.8098,281356.0896,444828.9467,317650.5173,490257.3911,276747.6168
lysoPC 16_0,16572924.29,16572924.29,16572924.29,20132159.19,20132159.19,20132159.19,16572924.29,16572924.29
lysoPC 14_0,24185.59889,25586.96834,31278.51402,33596.98543,15036.46516,9840.48043,14659.6055,15141.36863
lysoPC 23_0,17909.73884,18748.49434,18047.13162,15842.89017,12739.65203,12504.02192,12185.61467,24385.60147
lysoPC 15_0,25105.8749,37486.80802,33596.98543,35398.04461,36684.92517,42772.6566,34992.82183,36684.92517
lysoPC 18_2,8854191.581,9448189.586,9448189.586,10200694.31,13817681.24,12375982.44,13817681.24,13817681.24
lysoPC 24_0,99253.61496,119906.8328,136306.8441,113828.8226,125176.1639,75967.0516,89936.46118,112285.6304
lysoPC 21_0,12979.3006,12739.65203,15842.89017,11180.78743,9773.279469,7092.994729,12979.3006,12739.65203
lysoPC 22_4,107168.8845,139917.3118,208187.0013,132719.3114,91934.16296,60137.67249,56946.4925,62324.32462
lysoPC 17_2,2472.498077,2781.873525,2595.139951,3881.786259,2512.862581,3216.649245,1710.410366,1554.711954
lysoPC 25_0,7537.2898,8131.752512,6474.257656,2645.413033,1554.711954,3031.450982,4016.577954,3582.050538
lysoPC 22_2,6077.802298,6709.258468,8405.57343,7537.2898,12185.61467,4902.023842,7416.388262,7035.657714
lysoPE 20_4,426654.8409,372710.2708,390576.8543,402460.9178,367163.0112,385255.8602,395772.7509,315567.3201
lysoPE 18_2,78590.41593,75093.50173,79546.63876,116697.0135,185661.9489,171445.846,163690.5817,152849.7562
lysoPE 16_0,105909.3798,109913.347,94232.12223,94232.12223,95406.13851,107168.8845,99253.61496,118505.8912
lysoPE 18_0,201999.6098,185661.9489,188348.1868,134274.7868,219634.6027,215671.4797,208187.0013,195773.8051
lysoPE 22_6,546148.1982,419167.707,409040.8055,485982.0772,340290.2038,586195.0754,572463.2624,372710.2708
lysoPE 20_0,8405.57343,5812.552331,10534.71001,7416.388262,8334.700628,8748.179596,5190.510311,8748.179596
lysoPE 19_0,2738.547094,9939.261685,1748.457733,4650.845335,3881.786259,5090.382455,4295.419316,3494.481661
MG 17_0,67963.63261,76718.57134,63815.60297,62865.60055,58766.58296,105909.3798,77527.60804,70262.89681
MG 18_2,2434.029605,5617.916074,3793.99308,3416.561226,7160.903879,9685.688123,12276.58421,5343.930802
MG 24_4,7160.903879,6122.550176,7657.291207,5241.93972,6709.258468,5617.916074,12739.65203,5617.916074
PC 34_2,29921518.56,32568279.96,29921518.56,34992439.41,40453359.54,44118529.06,44118529.06,44118529.06
PC 36_2,32568279.96,40453359.54,40453359.54,40453359.54,44118529.06,40453359.54,40453359.54,40453359.54
PC 32_2,243055.8124,319747.4666,367163.0112,265119.8685,136306.8441,116697.0135,165248.6492,150671.8615
PC 38_4,108543.766,102937.9447,101759.5467,105909.3798,67963.63261,141893.6934,157057.3649,132719.3114
PC 38_2,1576862.835,1576862.835,1799576.667,1444798.626,1510977.876,1257489.017,1510977.876,1444798.626
PC 40_4,978544.6528,1101212.473,1021216.089,783327.4494,710072.9634,470332.2955,710072.9634,697334.6274
PC 38_6,40453359.54,29921518.56,34992439.41,29921518.56,32568279.96,34992439.41,34992439.41,37119392.18
PC 36_4,26451287.46,26451287.46,26451287.46,26451287.46,22720360.5,26451287.46,29921518.56,29921518.56
PC 36_6,119906.8328,136306.8441,169286.6276,137964.9384,39094.91666,21987.46826,22775.57884,34652.8868
PC 32_0,3295365.994,3160636.908,3160636.908,2983981.311,3295365.994,2240937.845,2835688.526,3160636.908
PC 33_2,269598.8282,269598.8282,319747.4666,223317.979,414027.9106,325336.759,385255.8602,379055.9334
PC 35_2,1663149.824,1883214.521,2059032.925,2059032.925,3469989.306,1970232.117,2339338.535,2711199.985
PC 37_6,88043.69169,83520.44303,77527.60804,81625.74061,115325.4208,88043.69169,95406.13851,94232.12223
PC 41_6,169286.6276,180707.3418,190636.9938,129772.2715,161594.8899,147412.984,121651.7206,129772.2715
PC 36_0,395772.7509,414027.9106,385255.8602,231468.2405,402460.9178,340290.2038,402460.9178,546148.1982
PC 40_8,1970232.117,2059032.925,2240937.845,1970232.117,1101212.473,679700.1328,697334.6274,902038.4319
PC 35_4,167212.0666,223317.979,165248.6492,152849.7562,145214.2617,89029.54398,118505.8912,149132.6279
PC 33_0,41886.7757,56263.50213,60137.67249,55085.44644,60729.6923,44612.9401,43664.69969,61474.3726
PC 37_4,1510977.876,1510977.876,1510977.876,1576862.835,1576862.835,1321518.681,1321518.681,1883214.521
PC 37_2,1152700.584,1257489.017,1321518.681,1195413.329,1021216.089,1101212.473,1021216.089,871360.3524
PC 34_4,173839.0011,198869.5974,198869.5974,190636.9938,67279.79372,39468.63973,76718.57134,75093.50173
PC 42_10,1059989.004,1059989.004,1059989.004,1021216.089,283628.6279,161594.8899,147412.984,243055.8124
PC 40_6,68787.00396,71107.42821,66724.03274,58766.58296,93228.66841,165248.6492,137964.9384,131313.273
PC 42_8,180707.3418,143238.2444,152849.7562,147412.984,98056.0822,64562.88981,67963.63261,99253.61496
PC 40_10,90804.37134,112285.6304,123260.2711,102937.9447,30439.74708,22960.96628,27327.41077,39803.74731
PC 39_6,478840.0514,586195.0754,614369.6069,647224.5341,754323.8708,783327.4494,633297.6342,805568.9706
PC 34_0,165248.6492,178510.2708,115325.4208,182854.636,167212.0666,265119.8685,252002.4484,188348.1868
PC 39_4,559749.6145,572463.2624,572463.2624,514327.2106,419167.707,335483.9618,340290.2038,485982.0772
PC 42_6,118505.8912,190636.9938,159105.5653,109913.347,173839.0011,159105.5653,185661.9489,105909.3798
PC 35_0,31278.51402,61474.3726,48879.55911,34652.8868,38717.9035,27576.27292,15431.1458,46534.24218
PC 31_0,21605.10297,30439.74708,13088.60108,26361.83476,8131.752512,17004.28626,15295.01654,22167.48397
PC 30_0,163690.5817,167212.0666,175881.7573,161594.8899,123260.2711,74343.49208,66039.1908,85783.85021
PC 44_4,10017.06457,12276.58421,7790.699455,8897.11934,10017.06457,5666.30516,4055.588097,9939.261685
PC 39_2,42772.6566,38717.9035,66039.1908,21605.10297,34992.82183,39803.74731,33279.99224,29492.68102
PC 39_8,14440.74817,7725.758721,10350.89603,10017.06457,4700.208221,5451.162248,9120.369282,6657.315225
PC 42_2,10714.47226,19436.00247,14802.05629,10799.2918,17004.28626,13088.60108,12377.28522,13696.90122
PC 41_4,19603.71903,30741.45545,35398.04461,16721.11124,24185.59889,19775.81246,23976.90912,18047.13162
PC 44_12,34652.8868,60137.67249,62865.60055,41493.90284,17462.81276,11663.63733,14323.59808,11663.63733
PC 19_2,7472.041327,10991.5564,14922.74669,16136.42632,5398.484208,10285.46389,8486.601532,6709.258468
PC 25_4,12069.98941,19986.14002,6300.773746,20223.29354,6077.802298,7657.291207,8961.107886,9840.48043
PC 40_0,3661.093152,5772.693787,4448.178867,5666.30516,5812.552331,7978.330093,6357.426088,4992.326724
PC 42_4,66724.03274,70262.89681,45581.41301,29176.90976,96551.43198,52765.47469,38345.67711,56263.50213
plasmenyl-PC 18_0,633297.6342,599148.0973,647224.5341,679700.1328,298536.7414,274413.3305,192962.0032,288690.7778
plasmenyl-PC 38_0,101759.5467,110956.0216,83520.44303,86952.37795,132719.3114,82642.56897,63815.60297,113828.8226
plasmenyl-PC 20_0,40886.60664,41689.87648,69895.05337,57875.91607,25223.32479,20315.5163,9806.822388,19356.92717
plasmenyl-PC 24_0,3455.706846,4591.523028,4805.54944,1321.141083,1515.414593,1748.457733,1748.457733,1787.589375
PE 36_4,372710.2708,252002.4484,243055.8124,192962.0032,165248.6492,150671.8615,190636.9938,211857.5368
PE 38_6,379055.9334,208187.0013,195773.8051,204773.7108,188348.1868,211857.5368,327470.4436,258045.9252
PE 34_2,100528.7877,88043.69169,73483.40295,67279.79372,89029.54398,102937.9447,182854.636,143238.2444
PE 40_6,82642.56897,51811.35023,59480.37711,36384.64296,56946.4925,126941.8804,159105.5653,72634.99393
PE 34_0,39468.63973,38345.67711,25105.8749,42378.23472,35707.01503,71107.42821,84729.37693,49879.06417
PE 38_4,535024.4361,335483.9618,433828.2083,329618.1217,514327.2106,463022.4263,805568.9706,679700.1328
PE 36_2,134274.7868,128454.0993,141893.6934,149132.6279,269598.8282,180707.3418,283628.6279,329618.1217
PE 32_0,1877.023498,1041.247314,3455.706846,2367.867489,1000.805195,2004.754499,4244.342675,2004.754499
PE 39_6,7929.778275,5343.930802,9939.261685,7869.852807,6834.590277,6474.257656,8748.179596,7929.778275
PE 36_0,5241.93972,3295.568832,4992.326724,3455.706846,5090.382455,10440.77393,2738.547094,6903.119698
