"Sample","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334"
"DG 38_2",15320.5179280477,8837.01907379447,15714.0671322331,22544.1877704726,15903.1636719416,11546.1641882785,27286.3180180708,22544.1877704726
"DG 38_6",12618.8333493546,8099.14144085014,10084.5243079081,16250.1035465472,11840.9053550274,8643.23297631198,9081.68863387421,9884.69373829821
"DG 38_0",74499.5627401666,253046.948715379,162650.431708373,165784.569108554,93023.381499912,113564.066355539,180760.130342769,80589.2574650181
"DG 40_0",35588.2730403146,133617.563461576,91651.5838497487,84918.4763312966,57845.1879812337,53353.6202968467,91651.5838497487,43127.956453077
"DG 30_1",6414.07589437904,4591.8598427265,3082.74948686888,8940.03285088057,1580.02568520813,1627.74608298836,1747.80890679262,2847.53188855849
"DG 44_2",2847.53188855849,2296.76873423381,4066.41069116318,2902.82107368187,4286.3938586557,1532.09554720426,2089.28813686937,3393.8336610994
"DG 42_3",2805.82042661492,2445.17648560438,3714.17338211416,4349.42677600596,3515.55305378852,4420.77640356408,4066.41069116318,6673.20576055493
"DG 42_4",3818.53011743654,2670.79515161868,3998.54115068617,3515.55305378852,3172.08257104545,4532.17699145362,4532.17699145362,7376.93467832335
"DG 42_0",2764.03066801077,14256.5889273576,11684.1084991369,4772.42405507662,12031.4387587379,12031.4387587379,9744.92372465852,6608.62976664637
"DG 44_6",4772.42405507662,8743.03737327956,7860.68074802649,8195.52863417798,6813.54548410478,11840.9053550274,10458.9206785961,10217.9101496267
"DG 44_1",503.297067667094,2395.43871185329,2847.53188855849,1992.22622139065,1338.64304046164,3130.44089174333,1677.24310014025,818.182590978346
"DG 30_2",10333.3513768161,3626.56543918095,2805.82042661492,7122.75331455143,1258.62638779867,2995.74208859765,2395.43871185329,2902.82107368187
"lysoPC 16_0",430834.214148233,285600.905882484,430834.214148233,294671.854636573,430834.214148233,367151.564201145,273593.712628702,367151.564201145
"lysoPC 18_2",41493.4848411557,24318.9240043805,19550.4786983602,25378.2584819943,53353.6202968467,52725.2571325448,35072.2571670287,58535.5165196886
"lysoPC 20_3",126906.029457438,33305.8925619482,57845.1879812337,31366.7141337358,32962.545244116,38664.5565837041,18688.3500713106,47317.5833278387
"lysoPC 20_4",52725.2571325448,19390.5442069508,30235.1958660684,23159.7373864312,24318.9240043805,23720.7146673046,12031.4387587379,29559.6127479216
"lysoPC 22_6",116292.48473204,32962.545244116,64201.4139458909,28187.2005027653,28581.5931744224,34190.1335949228,16250.1035465472,50116.3302176068
"lysoPC 16_1",22124.5566343064,12618.8333493546,17027.9137424237,13146.3545478315,13688.4367662645,13472.5799988513,8376.80072429699,12332.1794405939
"lysoPC 18_1",253046.948715379,168295.152220327,273593.712628702,154857.470859957,285600.905882484,204933.035648811,160324.769336452,273593.712628702
"lysoPC 18_0",334156.635012901,195751.994832818,246152.157378492,209636.075455232,334156.635012901,387270.617647466,294671.854636573,349702.387293389
"lysoPC 22_0",48784.8995749478,38664.5565837041,44920.290820394,32627.1825471288,52725.2571325448,39077.7767939668,30553.0861994212,49328.283990755
"lysoPC 20_0",19718.7150950917,14472.8153843723,17983.8299036484,12031.4387587379,21581.1265728941,17832.1854382187,13872.4731269625,16635.8568564016
"lysoPC 14_0",5356.20958603735,3443.64112843136,5239.63454479781,3232.93503835219,3998.54115068617,3043.53122756663,2618.5692247546,3232.93503835219
"lysoPC 24_1",8643.23297631198,9081.68863387421,9646.40068994235,6813.54548410478,7860.68074802649,7569.33270324337,4772.42405507662,7569.33270324337
"lysoPC 20_1",9413.31698330455,4772.42405507662,9980.98145413166,5035.99303458581,7376.93467832335,5563.09756279768,3393.8336610994,7998.19358554573
"lysoPC 22_5",14256.5889273576,2716.3062741143,4772.42405507662,4099.0418512615,4219.33294412033,4772.42405507662,2445.17648560438,4160.77931710736
"lysoPC 22_1",5035.99303458581,3283.39021609753,4591.8598427265,3172.08257104545,3626.56543918095,3338.7624604319,2764.03066801077,3714.17338211416
"lysoPC 20_2",5183.99948461113,4932.64129284711,4932.64129284711,6097.54149632318,6414.07589437904,4708.76203337811,4932.64129284711,7017.19469566664
"lysoPC 26_0",5296.8660515496,4640.22791190902,6608.62976664637,5083.0431779587,7998.19358554573,5296.8660515496,5403.07213030986,5183.99948461113
"lysoPC 24_0",173899.488566082,126906.029457438,147710.638309571,87005.7529160053,147710.638309571,152548.141497764,71273.2768878392,157347.172911954
"lysoPC 20_5",1854.63901314069,867.322201796512,1198.94675430264,1198.94675430264,2193.16301258689,2395.43871185329,2902.82107368187,3283.39021609753
"lysoPC 26_1",2052.81109483146,1992.22622139065,2347.39096477112,1338.64304046164,2764.03066801077,1992.22622139065,1580.02568520813,1992.22622139065
"lysoPE 18_1",223524.973258297,200904.581953389,253046.948715379,152548.141497764,246152.157378492,173899.488566082,170896.657612624,236581.254552268
"lysoPE 22_6",44920.290820394,19028.7732969402,26658.0812070253,17342.0981752716,20562.9661931337,20723.8087261491,11546.1641882785,20562.9661931337
"lysoPE 20_4",16635.8568564016,9884.69373829821,13872.4731269625,12781.7273109445,13872.4731269625,15903.1636719416,10333.3513768161,15320.5179280477
"lysoPE 16_1",6813.54548410478,3998.54115068617,6414.07589437904,4066.41069116318,5785.05303214301,3955.27834533381,3443.64112843136,5950.32139780381
"lysoPE 22_4",5950.32139780381,5183.99948461113,7294.55431427239,2805.82042661492,5718.39377688003,5239.63454479781,6154.27078515524,5785.05303214301
"lysoPE 18_2",18898.0750906925,17679.5541886965,6154.27078515524,13688.4367662645,13146.3545478315,16461.9185105772,33305.8925619482,11034.533699935
