Class	Carbon_Chain	Double_Bond	Adduct	RT	CV	Ctrl_BKS_2202	Ctrl_BKS_2203	Ctrl_BKS_2206	Ctrl_BKS_2211	HF_BKS_2214	HF_BKS_2216	HF_BKS_2217	HF_BKS_2218	Ctrl_BKS_db._2225	Ctrl_BKS_db._2226	Ctrl_BKS_db._2227	Ctrl_BKS_db._2231	HF_BKS_db._2239	HF_BKS_db._2241	HF_BKS_db._2242	HF_BKS_db._2243	Ctrl_BL6_2249	Ctrl_BL6_2250	Ctrl_BL6_2251	Ctrl_BL6_2252	HF_BL6_2260	HF_BL6_2261	HF_BL6_2262	HF_BL6_2266	Ctrl_BL6_db._2273	Ctrl_BL6_db._2274	Ctrl_BL6_db._2275	Ctrl_BL6_db._2279	HF_BL6_db._2286	HF_BL6_db._2287	HF_BL6_db._2288	HF_BL6_db._2289	Ctrl_BTBR_2292	Ctrl_BTBR_2293	Ctrl_BTBR_2297	Ctrl_BTBR_2298	HF_BTBR_2306	HF_BTBR_2307	HF_BTBR_2308	HF_BTBR_2309	Ctrl_BTBR_ob._2316	Ctrl_BTBR_ob._2317	Ctrl_BTBR_ob._2318	Ctrl_BTBR_ob._2320	HF_BTBR_ob._2329	HF_BTBR_ob._2331	HF_BTBR_ob._2333	HF_BTBR_ob._2334
PC	32	0	 [M-Ac-H]-	6.83	5.78	183135.0713	198076.619	169145.9357	231277.8511	173075.2555	249459.2657	255977.5241	173075.2555	169145.9357	249459.2657	183135.0713	193314.5815	160744.0402	187271.3489	154573.2128	213043.7072	202237.4007	231277.8511	224415.4907	249459.2657	269827.2102	295198.1686	269827.2102	243562.944	231277.8511	295198.1686	231277.8511	262780.6788	249459.2657	249459.2657	193314.5815	249459.2657	231277.8511	213043.7072	231277.8511	255977.5241	224415.4907	224415.4907	277180.9596	262780.6788	243562.944	255977.5241	208064.0869	269827.2102	286042.0742	286042.0742	277180.9596	255977.5241
plasmenyl-PE	40	6	 [M-H]-	7.27	5.92	193314.5815	237615.0777	255977.5241	187271.3489	193314.5815	286042.0742	237615.0777	249459.2657	249459.2657	237615.0777	255977.5241	255977.5241	286042.0742	243562.944	249459.2657	349028.5987	286042.0742	340419.6561	330687.3162	277180.9596	362930.2648	349028.5987	399193.1837	277180.9596	340419.6561	277180.9596	399193.1837	317345.8279	317345.8279	399193.1837	362930.2648	349028.5987	255977.5241	237615.0777	269827.2102	219359.9415	262780.6788	249459.2657	340419.6561	286042.0742	237615.0777	224415.4907	224415.4907	237615.0777	237615.0777	340419.6561	231277.8511	277180.9596
PG	36	0	 [M-H]-	6.91	6.02	94865.32867	114703.9856	148509.7191	114703.9856	112271.0412	151459.0678	148509.7191	134108.776	158299.2645	144407.7677	131769.7383	160744.0402	134108.776	137699.8923	142172.3174	121966.2598	173075.2555	158299.2645	193314.5815	151459.0678	187271.3489	134108.776	173075.2555	108647.9956	202237.4007	198076.619	249459.2657	202237.4007	173075.2555	183135.0713	160744.0402	158299.2645	164736.2904	148509.7191	137699.8923	148509.7191	108647.9956	134108.776	121966.2598	151459.0678	121966.2598	169145.9357	142172.3174	158299.2645	134108.776	158299.2645	126585.2327	151459.0678
lysoPE	18	0	 [M-H]-	2.54	6.25	82659.53858	66626.60489	68237.60186	85754.42052	91635.1864	53529.73057	53529.73057	74897.30045	60222.51596	58633.9278	62239.19593	73270.37003	78597.97508	72026.48717	65460.59059	64218.04209	94865.32867	69214.02834	74038.55448	94865.32867	64218.04209	72026.48717	69214.02834	101952.9651	51211.77435	61080.5871	61080.5871	85754.42052	70766.09793	64218.04209	80034.70033	101952.9651	78597.97508	87289.82942	99870.77939	74897.30045	126585.2327	94865.32867	90112.14407	74038.55448	91635.1864	81197.12197	85754.42052	82659.53858	97755.68716	88440.59246	104720.9588	81197.12197
PI	38	6	 [M-H]-	5.13	6.43	64218.04209	33698.88921	21216.73523	38978.40919	53529.73057	20485.6101	18903.63174	22823.52205	24443.49166	28445.85814	27289.4918	29187.5893	21458.56925	33299.66793	41763.24572	30971.01992	22823.52205	22236.78714	22562.85753	22562.85753	26863.8002	19210.44861	29578.30946	48765.75132	22562.85753	29854.63031	22019.2577	14083.63015	30654.64416	32108.5288	19746.18393	16342.99024	22562.85753	20210.82603	34486.44887	26227.74215	47875.14756	34486.44887	43233.77598	25548.00069	24056.3064	27619.98167	26227.74215	20210.82603	19958.86136	16342.99024	20485.6101	22236.78714
PS	38	4	 [M-H]-	5.78	6.75	246511.1048	159521.6524	118527.0973	210553.897	205150.7438	156436.2386	123217.4586	127894.6009	127894.6009	166941.1131	118527.0973	132939.2571	94055.72141	149984.3935	135904.3341	176246.7266	132939.2571	240589.0108	181276.6345	159521.6524	159521.6524	205150.7438	159521.6524	210553.897	176246.7266	221887.7161	190292.9652	210553.897	181276.6345	149984.3935	130486.8537	139936.1048	159521.6524	181276.6345	195695.6003	190292.9652	246511.1048	200157.0099	205150.7438	221887.7161	181276.6345	181276.6345	162740.1653	162740.1653	159521.6524	130486.8537	166941.1131	200157.0099
PC	30	0	 [M-Ac-H]-	6.16	6.79	340419.6561	148509.7191	269827.2102	106441.6223	249459.2657	160744.0402	90112.14407	286042.0742	277180.9596	173075.2555	231277.8511	277180.9596	224415.4907	183135.0713	295198.1686	144407.7677	255977.5241	219359.9415	187271.3489	243562.944	88440.59246	112271.0412	121966.2598	144407.7677	114703.9856	88440.59246	106441.6223	198076.619	106441.6223	124468.6574	144407.7677	134108.776	183135.0713	173075.2555	179418.1977	164736.2904	112271.0412	91635.1864	112271.0412	114703.9856	129203.9691	101952.9651	99870.77939	76051.81674	117467.8653	80034.70033	61080.5871	131769.7383
PC	44	2	 [M-Ac-H]-	9.27	7.08	54190.84016	61080.5871	76051.81674	56398.89426	52917.41117	37962.37174	54190.84016	72026.48717	68237.60186	66626.60489	55057.96983	72026.48717	62239.19593	27619.98167	63251.252	51211.77435	56398.89426	59405.41907	64218.04209	77176.67139	40538.17571	46609.26087	52917.41117	57853.41224	54190.84016	51744.76755	54190.84016	50301.80924	22019.2577	49543.08057	69214.02834	62239.19593	43684.48164	47875.14756	37061.64455	33698.88921	28445.85814	47253.25167	31817.61754	27289.4918	27289.4918	31817.61754	37061.64455	36722.38174	32475.62351	29854.63031	29187.5893	32475.62351
plasmenyl-PE	34	2	 [M-H]-	6.89	7.11	384811.8202	428828.1276	766043.556	317345.8279	340419.6561	462469.0345	306650.4245	598637.3348	557575.5473	462469.0345	462469.0345	677220.2516	716530.6762	462469.0345	462469.0345	399193.1837	399193.1837	330687.3162	399193.1837	462469.0345	208064.0869	142172.3174	255977.5241	193314.5815	249459.2657	231277.8511	295198.1686	243562.944	208064.0869	255977.5241	255977.5241	286042.0742	428828.1276	399193.1837	462469.0345	462469.0345	173075.2555	255977.5241	362930.2648	306650.4245	349028.5987	340419.6561	262780.6788	317345.8279	243562.944	295198.1686	255977.5241	317345.8279
PA	38	2	 [M-H]-	6.37	7.18	32108.5288	47253.25167	33698.88921	24952.29761	27943.93445	39944.90819	65460.59059	44257.25187	38487.4435	39478.68574	31444.32881	38978.40919	14823.47311	18090.31269	17513.89417	30654.64416	25802.76769	34868.88019	20948.5407	22823.52205	20671.57952	32871.56418	55057.96983	8610.65656	32871.56418	18903.63174	22562.85753	47253.25167	20485.6101	20948.5407	32871.56418	36155.06256	29578.30946	55057.96983	39478.68574	47253.25167	23079.49762	25548.00069	43684.48164	47875.14756	24952.29761	11973.36019	30187.63244	22562.85753	40538.17571	74897.30045	28445.85814	36155.06256
