Class	Carbon_Chain	Double_Bond	Adduct	RT	CV	Ctrl_BKS_2202	Ctrl_BKS_2203	Ctrl_BKS_2206	Ctrl_BKS_2211	HF_BKS_2214	HF_BKS_2216	HF_BKS_2217	HF_BKS_2218	Ctrl_BKS_db._2225	Ctrl_BKS_db._2226	Ctrl_BKS_db._2227	Ctrl_BKS_db._2231	HF_BKS_db._2239	HF_BKS_db._2241	HF_BKS_db._2242	HF_BKS_db._2243	Ctrl_BL6_2249	Ctrl_BL6_2250	Ctrl_BL6_2251	Ctrl_BL6_2252	HF_BL6_2260	HF_BL6_2261	HF_BL6_2262	HF_BL6_2266	Ctrl_BL6_db._2273	Ctrl_BL6_db._2274	Ctrl_BL6_db._2275	Ctrl_BL6_db._2279	HF_BL6_db._2286	HF_BL6_db._2287	HF_BL6_db._2288	HF_BL6_db._2289	Ctrl_BTBR_2292	Ctrl_BTBR_2293	Ctrl_BTBR_2297	Ctrl_BTBR_2298	HF_BTBR_2306	HF_BTBR_2307	HF_BTBR_2308	HF_BTBR_2309	Ctrl_BTBR_ob._2316	Ctrl_BTBR_ob._2317	Ctrl_BTBR_ob._2318	Ctrl_BTBR_ob._2320	HF_BTBR_ob._2329	HF_BTBR_ob._2331	HF_BTBR_ob._2333	HF_BTBR_ob._2334
PE	38	2	 [M-H]-	6.85	14.61834076	119982.8572	129736.4263	161339.4004	100579.0198	154827.4909	255064.0148	239726.0767	148818.3361	224565.4536	172959.6396	126478.1106	126478.1106	161339.4004	189774.7148	217607.5728	165330.4278	119982.8572	129736.4263	145092.7703	126478.1106	141947.4305	172959.6396	100579.0198	185319.0296	165330.4278	161339.4004	239726.0767	135948.5432	217607.5728	269209.8003	211808.4967	217607.5728	145092.7703	151877.4445	217607.5728	157863.8492	211808.4967	189774.7148	261656.1762	176183.5263	277666.6725	185319.0296	206576.1815	206576.1815	195587.263	255064.0148	206576.1815	285331.3856
lysoPE	22	6	 [M-H]-	1.27	14.67434433	3149082.437	3149082.437	2204230.328	3149082.437	1420934.234	2204230.328	1495382.093	1347644.771	1752041.237	1884142.961	1593875.512	2071027.113	1277901.582	1593875.512	2204230.328	1420934.234	2204230.328	2204230.328	2397282.423	3149082.437	1277901.582	1884142.961	1752041.237	1884142.961	1347644.771	1884142.961	600135.1464	1752041.237	1593875.512	973049.2436	1752041.237	1420934.234	2204230.328	2071027.113	2622599.385	2622599.385	1495382.093	1752041.237	1752041.237	1884142.961	1752041.237	1884142.961	1884142.961	2071027.113	1495382.093	1884142.961	1593875.512	1495382.093
PE	36	4	 [M-H]-	6.26	15.00650212	915688.7427	699357.3332	458267.7713	442053.7089	412099.6951	813892.8526	631398.3349	535414.8897	560118.9824	667296.8302	699357.3332	726341.4071	303721.3261	394976.0653	699357.3332	442053.7089	576225.0459	560118.9824	535414.8897	458267.7713	667296.8302	576225.0459	699357.3332	631398.3349	576225.0459	699357.3332	868820.4649	576225.0459	425329.8557	726341.4071	699357.3332	726341.4071	631398.3349	631398.3349	773549.1703	631398.3349	576225.0459	631398.3349	600135.1464	726341.4071	726341.4071	631398.3349	631398.3349	535414.8897	412099.6951	458267.7713	535414.8897	477595.9055
PC	38	8	 [M-Ac-H]-	5.25	15.13614587	27239.10304	42763.40042	45578.92886	49280.41387	46229.57295	46229.57295	45578.92886	46229.57295	35775.94702	26785.40807	37907.38456	20714.5404	61526.44933	47662.42034	27239.10304	37226.26664	58809.84777	44834.81588	39529.5429	34261.59846	28771.74832	36241.9376	31799.10539	34796.6138	25072.32527	52328.77234	40215.51767	17608.5517	19757.56908	27239.10304	19190.54105	20714.5404	59864.47171	28218.77216	28771.74832	30296.39733	26785.40807	61526.44933	18067.9094	25072.32527	1112.605235	21366.63529	872.5539861	15078.57384	38950.18571	31799.10539	22447.91099	46948.21139
PC	40	4	 [M-Ac-H]-	7.42	15.41821952	62362.18914	92379.73069	43389.83524	70896.25117	25500.73895	36241.9376	62362.18914	54095.23537	78173.57034	88404.09597	76532.17844	58048.37328	154827.4909	66504.19901	66504.19901	66504.19901	81214.54244	88404.09597	73737.41715	100579.0198	108334.541	98648.44982	133052.6389	92379.73069	62362.18914	51617.311	15078.57384	65492.33089	123246.812	114416.0428	82828.79401	119982.8572	60634.15062	95556.84185	65492.33089	34261.59846	67361.61477	82828.79401	67361.61477	90217.77615	42283.69278	51617.311	37565.28192	50391.32316	135948.5432	68686.60327	148818.3361	98648.44982
PI	34	2	 [M-H]-	5.35	15.53875879	43389.83524	46948.21139	70896.25117	50062.54275	82828.79401	81214.54244	75184.02256	86575.4731	25072.32527	43389.83524	45578.92886	44143.85588	96584.48461	96584.48461	58809.84777	81214.54244	26785.40807	38950.18571	27715.83374	43389.83524	46948.21139	50062.54275	45578.92886	72107.91103	29243.00786	33638.17968	90217.77615	27715.83374	30801.65174	30296.39733	33638.17968	24214.705	78173.57034	23526.17736	24214.705	18937.57755	43389.83524	117019.0448	52328.77234	64291.4863	15459.18542	16011.11228	18247.44131	14395.79471	54883.45543	70896.25117	51617.311	103236.3216
PE	32	0	 [M-H]-	6.72	16.15813952	12449.79421	9356.884638	13859.87196	12170.68741	8645.201698	8455.581121	11025.18956	9356.884638	7643.747137	11402.24045	16011.11228	23526.17736	13164.51431	12885.31326	11503.46367	9571.54774	9356.884638	10678.13175	9571.54774	6679.558576	8168.724542	8085.25307	12449.79421	6283.677562	10799.50907	11503.46367	22134.47042	8168.724542	11178.68926	10678.13175	7547.911274	6780.993869	11287.81578	9143.624601	12024.09727	8734.681569	8168.724542	6590.941923	6925.183054	8261.451098	11503.46367	5836.569767	9466.940015	8645.201698	9895.472313	14395.79471	11749.61957	10545.31346
PE	35	2	 [M-H]-	6.71	16.36909742	31259.28029	12281.26295	38950.18571	13164.51431	32334.84937	54095.23537	31259.28029	46948.21139	21366.63529	21750.47093	36241.9376	38950.18571	22447.91099	34796.6138	46229.57295	40878.69511	14201.88184	19757.56908	17401.05611	20034.94554	22447.91099	21045.67153	20034.94554	19757.56908	17608.5517	22812.68529	41602.14373	15248.15361	25951.28394	32334.84937	50062.54275	31259.28029	15627.52049	13288.47583	20714.5404	12024.09727	28218.77216	23526.17736	38950.18571	26785.40807	13859.87196	12024.09727	11749.61957	17186.64427	13859.87196	20327.14467	29755.87153	21750.47093
PE	36	0	 [M-H]-	7.17	16.96098537	33638.17968	58048.37328	46948.21139	32967.89905	45578.92886	61526.44933	35248.01076	35775.94702	38478.45817	37226.26664	37226.26664	27239.10304	57019.28813	50722.2628	51617.311	46229.57295	31799.10539	35248.01076	32967.89905	35775.94702	35775.94702	34261.59846	34796.6138	41602.14373	35775.94702	34261.59846	82828.79401	29243.00786	58809.84777	52328.77234	38478.45817	38950.18571	46229.57295	39529.5429	42763.40042	33638.17968	40878.69511	31799.10539	43389.83524	37907.38456	32334.84937	26785.40807	22447.91099	34261.59846	37907.38456	85084.45278	63262.08124	46229.57295
PC	31	0	 [M-Ac-H]-	6.21	17.3955439	32967.89905	41602.14373	42283.69278	57019.28813	35248.01076	52328.77234	38950.18571	31259.28029	29755.87153	30296.39733	30801.65174	28218.77216	53165.75427	50062.54275	39529.5429	36241.9376	45578.92886	33638.17968	36241.9376	42763.40042	26360.88313	35775.94702	42763.40042	37907.38456	40215.51767	21750.47093	64291.4863	41602.14373	51617.311	59864.47171	46948.21139	30801.65174	43389.83524	42283.69278	50062.54275	38950.18571	45578.92886	28218.77216	50062.54275	48509.98818	35248.01076	33638.17968	36241.9376	35775.94702	63262.08124	58809.84777	66504.19901	52328.77234
