"Class","Carbon","Chain","Adduct","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334"
"TG","52","0"," [M+Na]+@10.67",22344.0875178571,15660.504375,17205.0590267857,12252.0707714286,21395.8974232143,23786.4344803571,13295.9136892857,14590.6986964286,5830.36731714286,15660.504375,10821.5161821429,7019.53097964286,18589.3386625,14251.4973392857,26496.8920107143,18589.3386625,21658.0276339286,14025.1392089286,12646.7265160714,18589.3386625,12961.7473964286,25187.8067964286,21870.113375,22996.4870714286,4859.26014035714,40740.1316785714,20896.0796607143,19707.9837678571,37709.0024642857,17648.0953017857,13696.6282857143,15837.7024571429,16758.3396607143,11664.5865464286,14429.5051482143,16305.6618767857,31812.2950125,19508.9562589286,17905.7529821429,16990.3754589286,17648.0953017857,21870.113375,20466.9086928571,19250.3550410714,23786.4344803571,26496.8920107143,17470.1654285714,19707.9837678571
"TG","57","7"," [M+NH4]+@10.39",11031.9292982143,18589.3386625,9064.79783035714,8321.50644589286,5630.22297285714,10480.6037157143,6894.08267107143,6173.28736053571,2409.38093892857,4129.22620732143,6074.70763767857,11031.9292982143,5187.78708392857,10660.3970267857,8453.61662321429,7446.81342910714,6295.60251607143,4859.26014035714,10017.8381107143,11664.5865464286,6769.99999642857,12820.3079732143,7288.34971535714,11324.7492232143,5276.15300892857,8885.06739660714,9064.79783035714,7149.45778035714,6074.70763767857,1208.25424607143,4972.19124428571,6547.23283035714,11515.6484035714,7019.53097964286,10017.8381107143,5707.80606535714,8453.61662321429,8321.50644589286,5630.22297285714,10147.4543035714,11664.5865464286,15837.7024571429,7288.34971535714,7958.53787553571,8568.66695714286,22098.1082571429,12054.161475,16562.38995
"TG","60","3"," [M+NH4]+@11.38",7288.34971535714,2962.86339982143,3481.14064946429,2409.38093892857,6413.77860446429,3176.56450892857,10480.6037157143,9518.17948142857,1429.82686803571,3598.08826178571,4972.19124428571,3286.37972392857,3698.57423714286,3904.26020160714,5083.32325839286,10296.9797839286,7446.81342910714,5932.3872675,5083.32325839286,3176.56450892857,2962.86339982143,3598.08826178571,4129.22620732143,3481.14064946429,2962.86339982143,6173.28736053571,2111.11652232143,5380.08657803571,5630.22297285714,7674.84652875,4440.50417821429,1208.25424607143,656.942895535714,656.942895535714,1429.82686803571,2111.11652232143,3176.56450892857,1009.10998678571,2111.11652232143,3904.26020160714,3286.37972392857,2409.38093892857,3481.14064946429,6074.70763767857,2111.11652232143,7818.80072071429,1429.82686803571,2200.30958714286
"TG","54","1"," [M+NH4]+@11.06",129249.328392857,30828.0614821429,59235.9577142857,31145.2635178571,79587.1851607143,81740.4788392857,106251.872142857,93520.8039821429,27852.3630714286,25515.7566642857,39180.905925,37709.0024642857,64172.3337857143,77587.5420535714,78684.2205,150075.023571429,114718.668821429,104925.049285714,82936.7736785714,60032.3102321429,79587.1851607143,146110.468035714,119141.037589286,137903.137857143,16758.3396607143,208476.134642857,63343.01875,73265.899375,100478.048964286,76376.5748392857,71418.1367142857,68428.0165178571,88251.3293035714,24045.4217035714,73265.899375,67625.6619821429,81740.4788392857,75446.9514642857,88251.3293035714,68428.0165178571,83724.0643392857,104925.049285714,100478.048964286,122175.508571429,103280.380357143,123774.517142857,57274.9927142857,101877.901339286
"TG","49","0"," [M+NH4]+@10.68",2962.86339982143,12445.6085892857,14779.4399142857,29604.2187464286,17648.0953017857,28136.8426732143,10147.4543035714,7288.34971535714,13482.9624910714,19707.9837678571,12961.7473964286,14429.5051482143,16062.4849892857,23535.6674,42270.1891785714,17205.0590267857,15660.504375,22655.337375,24045.4217035714,16062.4849892857,15439.1810178571,19054.5808375,8182.79665892857,15439.1810178571,25885.5997321429,28136.8426732143,13295.9136892857,7019.53097964286,22655.337375,22098.1082571429,19054.5808375,16562.38995,8568.66695714286,12646.7265160714,7149.45778035714,19707.9837678571,24648.4148571429,24878.3242321429,17470.1654285714,12961.7473964286,17470.1654285714,8062.34949107143,13482.9624910714,24045.4217035714,20184.7195535714,24338.8607678571,21395.8974232143,26496.8920107143
"TG","54","8"," [M+NH4]+@9.79",276026.942321429,117821.062892857,136258.970214286,61580.5224107143,70122.0761785714,62397.9615714286,114718.668821429,80728.0989821429,32697.9834678571,57274.9927142857,69235.555,69235.555,62397.9615714286,68428.0165178571,41284.5769428571,43291.4779107143,64910.1661964286,36743.522125,68428.0165178571,30828.0614821429,40158.8461785714,22996.4870714286,24878.3242321429,37709.0024642857,81740.4788392857,117821.062892857,116331.312910714,217027.624642857,49173.166625,112896.958089286,91027.3493928571,95086.8434821429,55809.6597678571,56548.0280714286,84781.2899285714,61580.5224107143,44400.4986964286,71418.1367142857,68428.0165178571,79587.1851607143,58039.6899285714,93520.8039821429,81740.4788392857,57274.9927142857,62397.9615714286,74354.0717321429,75446.9514642857,72407.9940714286
"TG","62","11"," [M+NH4]+@10.30",35812.2215678571,13696.6282857143,3598.08826178571,13160.214875,8453.61662321429,15248.5211732143,21658.0276339286,19915.4671964286,19915.4671964286,9518.17948142857,9064.79783035714,16305.6618767857,20466.9086928571,11187.2991785714,30426.4898571429,17905.7529821429,18849.0058946429,27852.3630714286,15248.5211732143,18324.2519410714,26837.4808035714,16562.38995,15439.1810178571,23233.7167285714,5932.3872675,12445.6085892857,16062.4849892857,8568.66695714286,19250.3550410714,10660.3970267857,13160.214875,13696.6282857143,23535.6674,17905.7529821429,42270.1891785714,17905.7529821429,26171.2539482143,22655.337375,9828.88380535714,20896.0796607143,45353.4926071429,52560.8878035714,48620.6934642857,37210.6875,48140.8671607143,57274.9927142857,40740.1316785714,64910.1661964286
"TG","56","10"," [M+NH4]+@9.70",112896.958089286,28827.6476035714,33964.91875,31812.2950125,23786.4344803571,35812.2215678571,53084.9719464286,41284.5769428571,16990.3754589286,25885.5997321429,26171.2539482143,46570.3652142857,17470.1654285714,19915.4671964286,8182.79665892857,13160.214875,18589.3386625,11187.2991785714,32263.4358392857,12820.3079732143,15248.5211732143,9828.88380535714,11187.2991785714,11187.2991785714,46570.3652142857,37709.0024642857,62397.9615714286,95086.8434821429,32263.4358392857,53084.9719464286,56548.0280714286,41788.9912446429,33964.91875,25187.8067964286,50560.2420107143,38222.1059642857,41284.5769428571,27516.2858410714,22655.337375,38739.4274821429,43291.4779107143,53603.7779642857,65810.4067678571,45353.4926071429,41284.5769428571,41788.9912446429,58039.6899285714,39180.905925
"TG","57","5"," [M+NH4]+@10.70",7560.55331428571,4972.19124428571,6646.52262571429,2200.30958714286,4129.22620732143,5707.80606535714,9198.65279285714,3598.08826178571,2111.11652232143,1801.38623892857,1958.08991857143,1958.08991857143,4233.94117535714,2962.86339982143,4347.66305482143,9366.42718928572,4129.22620732143,4347.66305482143,9198.65279285714,6646.52262571429,10296.9797839286,5510.25820196429,6547.23283035714,8709.31950178571,2200.30958714286,12054.161475,4859.26014035714,7446.81342910714,5083.32325839286,4129.22620732143,4347.66305482143,4347.66305482143,6074.70763767857,2623.71107660714,2853.8806975,4003.08042589286,5380.08657803571,1801.38623892857,1009.10998678571,4129.22620732143,4440.50417821429,8568.66695714286,1801.38623892857,4347.66305482143,12646.7265160714,12252.0707714286,7446.81342910714,6646.52262571429
"TG","53","5"," [M+NH4]+@10.18",52560.8878035714,42740.6879821429,33549.8261214286,14429.5051482143,22098.1082571429,16305.6618767857,37709.0024642857,24878.3242321429,9064.79783035714,8182.79665892857,24045.4217035714,17905.7529821429,19508.9562589286,22996.4870714286,23233.7167285714,17470.1654285714,23786.4344803571,13696.6282857143,22344.0875178571,11324.7492232143,15660.504375,15248.5211732143,16562.38995,25515.7566642857,13482.9624910714,48140.8671607143,35409.6194821429,52560.8878035714,23535.6674,37709.0024642857,17905.7529821429,36743.522125,21115.1249267857,16305.6618767857,24338.8607678571,14590.6986964286,20184.7195535714,30426.4898571429,40158.8461785714,22996.4870714286,28827.6476035714,46053.4322303571,27166.2703839286,30828.0614821429,31145.2635178571,30024.804525,23786.4344803571,20466.9086928571
"TG","64","13"," [M+NH4]+@10.21",8321.50644589286,3797.53521178571,1208.25424607143,1009.10998678571,656.942895535714,2962.86339982143,4767.35150946429,3062.60029232143,4347.66305482143,2301.18930267857,1009.10998678571,2853.8806975,3286.37972392857,7149.45778035714,9198.65279285714,1958.08991857143,2738.26377142857,6413.77860446429,3698.57423714286,6295.60251607143,6894.08267107143,6769.99999642857,4440.50417821429,5187.78708392857,1801.38623892857,4003.08042589286,3481.14064946429,1801.38623892857,2962.86339982143,2738.26377142857,4677.01265857143,3176.56450892857,7019.53097964286,4767.35150946429,7958.53787553571,2853.8806975,3598.08826178571,2738.26377142857,4003.08042589286,8885.06739660714,12252.0707714286,17648.0953017857,15837.7024571429,6413.77860446429,17205.0590267857,15248.5211732143,12820.3079732143,12252.0707714286
"TG","55","8"," [M+NH4]+@9.95",16062.4849892857,3481.14064946429,11664.5865464286,6173.28736053571,7288.34971535714,8709.31950178571,7560.55331428571,5187.78708392857,3367.97632982143,4767.35150946429,7446.81342910714,1429.82686803571,2200.30958714286,4972.19124428571,3797.53521178571,656.942895535714,5932.3872675,4233.94117535714,4767.35150946429,4565.76887392857,2409.38093892857,2301.18930267857,4767.35150946429,2962.86339982143,8062.34949107143,26496.8920107143,8182.79665892857,7958.53787553571,10660.3970267857,6547.23283035714,6646.52262571429,1958.08991857143,5932.3872675,3904.26020160714,6173.28736053571,5630.22297285714,8321.50644589286,5510.25820196429,4347.66305482143,5380.08657803571,12961.7473964286,7958.53787553571,9064.79783035714,8453.61662321429,7149.45778035714,7674.84652875,7560.55331428571,4859.26014035714
