"Lipid","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309"
"DG 36_0",9772.53663392857,15874.1222107143,14400.1318625,13098.9696714286,10652.7044571429,10133.1685892857,8372.5780875,6315.46978571429
"DG 40_7",9978.52117321429,7701.63170017857,11020.5853321429,7497.03831660714,6661.72394821428,16072.8131107143,13599.2526607143,8372.5780875
"DG 32_2",2181.38010482143,1772.08722303571,2072.90318839286,2726.94451017857,1772.08722303571,3047.14357803571,4217.19304410714,3456.08772910714
"DG 38_3",2840.1576325,5088.60001303571,6180.84948053571,2840.1576325,11555.0169464286,3880.28439107143,6439.62519160714,2283.52759196429
"lysoPC 18_1",5078044.01785714,7900753.74285714,7900753.74285714,7900753.74285714,7900753.74285714,5078044.01785714,5078044.01785714,5078044.01785714
"lysoPC 20_5",315138.221821429,1195.77037946429,412194.21525,453906.612607143,769351.43425,580827.072089286,502953.747839286,376836.891214286
"lysoPC 20_3",4212536.26607143,5078044.01785714,4212536.26607143,4212536.26607143,3653398.16071429,2801262.88214286,2801262.88214286,4212536.26607143
"lysoPC 20_2",134815.647321429,296685.858607143,134815.647321429,187605.219642857,366483.281767857,187605.219642857,162160.035892857,187605.219642857
"lysoPC 16_1",11201.2329928571,15673.4276482143,10652.7044571429,3456.08772910714,13414.3489392857,13414.3489392857,11367.4251125,6661.72394821428
"lysoPC 18_2",356514.397125,438294.818267857,244054.326071429,537086.656732143,740974.119267857,519282.5495,484745.8935,324681.287678571
"lysoPC 20_0",23315.2417571429,37552.3767678571,27642.1983946429,27253.9484821429,29619.9902357143,25146.6001785714,28417.0586892857,25146.6001785714
"lysoPC 24_0",105862.877928571,114352.266696429,114352.266696429,139107.900982143,100624.498053571,91582.2723821429,91582.2723821429,109260.486
