"Lipid","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243"
"lysoPE 20_3",32711.4972857143,38668.3322857143,14739.9143785714,21368.9445339286,7990.22304464286,17724.6697839286,25146.6001785714,16072.8131107143
"lysoPE 20_4",10652.7044571429,13414.3489392857,8648.21050196429,13414.3489392857,7839.17797125,12299.3981696429,17936.5455178571,7839.17797125
"lysoPE 20_5",5844.98421946429,8372.5780875,6661.72394821428,8961.33935714286,2726.94451017857,5934.35367571429,3149.46716821429,4981.35488607143
"lysoPE 22_6",19149.8252196429,25505.1708607143,9772.53663392857,15453.0258392857,6439.62519160714,12732.5940125,7597.96034285714,16331.7739839286
"lysoPE 20_1",9464.67715821428,7497.03831660714,7990.22304464286,6551.378575,3456.08772910714,7839.17797125,8372.5780875,5631.42895357143
"lysoPE 18_3",2610.50864875,6078.22740089286,3149.46716821429,6180.84948053571,4855.38819928571,2610.50864875,4543.34497678571,3880.28439107143
"MG 18_2",3688.59157071429,6922.36611035714,16331.7739839286,5398.0321,38131.7161321429,9464.67715821428,2072.90318839286,4855.38819928571
"MG 18_1",16331.7739839286,16567.6682892857,52724.8140535714,16567.6682892857,100624.498053571,26892.403625,11919.7666446429,27253.9484821429
"PC 36_1",10375737.5071429,7900753.74285714,7900753.74285714,7900753.74285714,10375737.5071429,10375737.5071429,5078044.01785714,10375737.5071429
"PC 36_6",275623.213214286,346000.597321429,162160.035892857,225561.56,218579.666142857,195603.946214286,202271.0279625,134815.647321429
"PC 40_3",336896.543375,275623.213214286,263434.931428571,180820.683571429,180820.683571429,180820.683571429,58747.1725892857,187605.219642857
"PC 38_7",2502717.17142857,2502717.17142857,1961062.5375,2172575.53660714,1344523.83910714,1455147.53910714,519282.5495,1565259.17232143
"PC 30_1",44423.4569464286,39125.4085535714,29956.5594839286,31635.0711428571,26555.1806428571,29205.3635535714,34705.7523928571,32236.8801964286
"PC 36_0",366483.281767857,296685.858607143,225561.56,346000.597321429,225561.56,187605.219642857,81470.3392857143,209614.510892857
"PC 40_5",34054.3606964286,30472.3221589286,16769.8830410714,35910.3636071429,24123.8243571429,27642.1983946429,55074.1213928571,38668.3322857143
"PC 42_9",63853.8299321429,51035.1771285714,37003.3471071429,44423.4569464286,39125.4085535714,46974.5335535714,59633.1933982143,45078.8297857143
"PC 40_6",54177.6545053571,63853.8299321429,50324.3570714286,54177.6545053571,45078.8297857143,45078.8297857143,68793.4987857143,46974.5335535714
"PC 32_1",5078044.01785714,3653398.16071429,2502717.17142857,3653398.16071429,4212536.26607143,4212536.26607143,4212536.26607143,4212536.26607143
