"Sample","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218"
"lysoPC 18_1",5078044.01785714,10375737.5071429,10375737.5071429,10375737.5071429,10375737.5071429,10375737.5071429,5078044.01785714,10375737.5071429
"lysoPC 20_5",366483.281767857,424657.462660714,453906.612607143,606468.134892857,537086.656732143,606468.134892857,336896.543375,438294.818267857
"lysoPC 20_3",1961062.5375,2801262.88214286,2172575.53660714,4212536.26607143,2801262.88214286,2502717.17142857,1961062.5375,2801262.88214286
"lysoPC 20_2",114352.266696429,202271.0279625,58747.1725892857,263434.931428571,86236.0747321428,102952.236285714,78680.0341964286,134815.647321429
"lysoPC 16_1",29619.9902357143,54177.6545053571,32711.4972857143,55779.1466964286,51795.0621428571,39125.4085535714,21075.5921428571,52724.8140535714
"lysoPC 18_2",324681.287678571,402282.127178571,424657.462660714,740974.119267857,606468.134892857,691980.601357143,412194.21525,484745.8935
"lysoPC 20_0",15874.1222107143,21849.6822410714,18178.1888875,12525.6698714286,22746.1475357143,19652.5736517857,26195.5927696429,32236.8801964286
"lysoPC 24_0",59633.1933982143,82903.4760714286,68793.4987857143,134815.647321429,77117.3579964286,82903.4760714286,63853.8299321429,114352.266696429
"lysoPC 22_4",42558.8972821429,68793.4987857143,31635.0711428571,75241.3308392857,45819.6608571429,28788.7575339286,27253.9484821429,48079.1544821429
"lysoPC 18_3",10652.7044571429,17206.6745767857,20152.4907142857,15673.4276482143,14739.9143785714,12888.5737714286,11919.7666446429,16567.6682892857
"lysoPC 20_1",47246.8989098214,46114.6702053571,22257.8777491071,46692.1065535714,32984.98015,26375.38670625,20710.3070089286,79307.7802303571
"lysoPC 16_0",28012.4682160714,40242.4034642857,25505.1708607143,49582.7215642857,29205.3635535714,20815.1330178571,28788.7575339286,33258.4630142857
"lysoPC 22_5",12888.5737714286,8816.23721785714,7186.05634642857,19652.5736517857,3149.46716821429,6078.22740089286,3260.58485017857,10487.4956032143
"lysoPC 26_1",5520.08360160714,2502.46226125,3880.28439107143,3456.08772910714,2072.90318839286,5520.08360160714,1772.08722303571,4217.19304410714
"lysoPC 22_2",3260.58485017857,4314.71070089286,2726.94451017857,4415.97215875,3880.28439107143,5398.0321,4665.46998178571,4415.97215875
