"Sample","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309"
"PC 42_11",7149.98832484369,13510.288389398,13180.8142668834,9457.06140130954,12635.7637753574,34869.4934917118,22122.286032615,17417.3638930097
"PC 38_3",1344746.17238693,3630410.70849431,2876646.96950745,3630410.70849431,3354188.31645269,3471770.91700051,3354188.31645269,3127646.13736274
"PC 32_3",21716.9374580112,18653.8622896869,23696.9896538028,16254.5599799933,20786.3918220843,44779.6960547522,36276.3300613752,38794.2625867384
"PC 42_2",11463.9837683774,13180.8142668834,11850.8956648633,13510.288389398,12595.2879669237,24565.479577935,21281.716105718,14696.9302536588
"PC 36_5",41040.9749646158,59923.9218195733,70028.1124047034,50170.3769829691,41648.3585519013,93824.3805573624,61080.6159934839,89829.9594643393
"PC 44_4",11275.622571761,11766.433221824,14129.1047476765,16117.4974673831,13339.4186942186,18812.488512923,14544.4548822239,8513.7481196235
"PC 40_3",70028.1124047034,112611.025065258,117151.06355283,109779.628932065,114611.226029598,242761.467785837,216701.615215464,151525.528020157
"PC 40_10",21000.2609012931,21000.2609012931,19516.8618973552,20649.6422341141,18812.488512923,16742.6095476278,16650.4609520606,19734.4956973106
"PC 42_10",219895.798058679,279726.070307564,312313.446709965,239649.141858628,269054.501519072,976513.466727858,528928.358604734,493331.907936879
"PC 36_0",20472.7100910555,25826.4289464022,31586.1301321739,30050.1632857825,25826.4289464022,52125.4570300496,44779.6960547522,25826.4289464022
"PC 42_8",9745.72162595804,18812.488512923,16117.4974673831,17227.026328746,15441.3314525348,20472.7100910555,19986.3389730458,16254.5599799933
"PC 42_3",11057.8169252351,12483.9920387019,15941.6762991514,12774.047051995,8813.69018530194,23405.7501917733,19153.5206912724,19516.8618973552
"PC 38_2",773996.423332135,743475.798229849,844084.566491932,720459.261598743,808430.961338688,3354188.31645269,2417071.8535538,2361033.38820366
"PC 38_1",99853.8759968656,133578.194443024,138838.766552366,135773.332899154,136485.38936018,279726.070307564,239649.141858628,178098.597961836
"PC 40_9",89054.874745338,108259.564861215,115924.669786895,76973.0616912095,101195.44502001,269054.501519072,155985.897132277,138838.766552366
"PC 30_2",4561.97948587872,7188.74804537574,9745.72162595804,7149.98832484369,8723.0067720296,12635.7637753574,12960.1580578633,18415.4383711671
"PC 40_2",35341.5189546025,37236.1889931239,44779.6960547522,41648.3585519013,35147.1963522091,90872.1535862592,83607.4237730397,83607.4237730397
"PC 36_6",151525.528020157,297147.382170884,283900.147748847,236098.534861412,242761.467785837,439588.312701574,297147.382170884,242761.467785837
"PC 44_5",4297.32765293452,10438.2833045293,10043.2766494492,10277.655315727,5095.39148358637,14129.1047476765,9157.37485495905,10956.5558441073
"PC 42_4",8618.70487840286,17417.3638930097,15759.6582710285,17063.1665377589,13968.6818038262,35341.5189546025,37622.2355018158,21891.214775356
"PC 38_9",7092.48104035762,7679.39019365722,6811.53938918706,10217.7567972871,6704.6400958362,7351.88585211156,6420.40335731058,8451.02017039113
"PC 38_8",43168.2229758679,61080.6159934839,71095.2014850835,52956.3951662452,41371.2783282,115924.669786895,62697.4706732821,50916.1746091036
"PC 44_7",4421.47396917124,2565.04978497635,4520.52712664271,3681.18608394247,3348.80427639111,6302.67907815243,6370.12295766941,4875.8041486049
"PC 30_3",1256.08208159224,1256.08208159224,1210.96009800957,1019.81290876325,975.513669419313,1107.56407097716,1019.81290876325,1572.0345417168
"PC 36_4",20132.9424723763,8154.35757026881,6704.6400958362,2039.71323146747,6841.56958640409,18415.4383711671,15185.1170197429,30940.6936529974
