"Sample","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243"
"DG 32_2",63912.7748038651,159807.161182971,117151.06355283,82430.4668837162,69075.0141810134,69075.0141810134,119146.889017984,114611.226029598
"DG 40_7",246780.912515554,1273086.0311756,893324.137877715,863411.857229731,1415950.67866297,1034506.77533707,541996.314239799,541996.314239799
"DG 32_1",428208.362204687,976513.466727858,639095.094773155,616746.36040637,550866.251529508,463279.810590199,581443.631605996,828167.217423425
"DG 38_3",106739.081221889,541996.314239799,250662.54663703,324367.258046751,224515.234726437,230335.205077582,171549.19389106,182013.062898843
"DG 42_5",2684.16899592295,9252.29667955813,5537.39891337781,4520.52712664271,8154.35757026881,6537.23053843069,3576.13659047438,4016.36413085536
"DG 42_8",14996.1771760577,44779.6960547522,34869.4934917118,34869.4934917118,39345.2861958027,44779.6960547522,29275.2218724974,26025.0430099942
"DG 44_10",11463.9837683774,23183.7528204903,18812.488512923,19402.2718164687,21499.8675767849,19842.3013124,12595.2879669237,15941.6762991514
"DG 26_2",1340.42363876208,1638.48253188433,1638.48253188433,1131.52388753819,2178.42247754476,6811.53938918706,1666.51494721697,2312.02383160553
"DG 32_3",7486.03814800902,6704.6400958362,13083.5577641879,9457.06140130954,5370.9411307013,7092.48104035762,7799.28331799802,7238.96136822344
"DG 36_5",95091.3174870818,114611.226029598,209728.588613599,113815.049295875,125864.35974696,115924.669786895,73961.3872605396,104241.280521005
"DG 38_5",355430.55585346,893324.137877715,828167.217423425,668899.818579714,668899.818579714,808430.961338688,498921.355512567,639095.094773155
"DG 40_3",23696.9896538028,35341.5189546025,31286.7108140912,25038.7220317533,25826.4289464022,24774.4929782752,20132.9424723763,9640.2457246382
"DG 34_4",19734.4956973106,31586.1301321739,35341.5189546025,20132.9424723763,22122.286032615,21716.9374580112,20786.3918220843,16742.6095476278
"DG 38_1",23405.7501917733,72698.9541535975,34528.7216254758,44024.0922561105,30050.1632857825,34130.6693822138,18050.1628732226,10043.2766494492
"DG 30_0",10956.5558441073,20132.9424723763,11619.1247947076,11133.2459059991,9852.99982527622,9567.20449731463,8298.33160095459,18281.2092683311
"DG 40_2",18653.8622896869,48260.1465277245,30670.7043265908,28375.8745004672,17417.3638930097,20472.7100910555,19153.5206912724,9157.37485495905
"DG 42_6",8451.02017039113,40164.9571390481,17417.3638930097,19516.8618973552,18050.1628732226,31286.7108140912,13180.8142668834,11707.0603577913
"DG 36_0",3348.80427639111,6936.11213049948,5696.39136030385,5061.32673980389,2312.02383160553,3041.7934725039,2868.05496409185,3421.90257155507
"DG 42_2",5061.32673980389,4251.26451468607,3980.09283918553,4449.80068863028,4104.47432342739,5413.99020214328,3421.90257155507,6811.53938918706
"DG 40_1",9901.71460703127,8513.7481196235,8298.33160095459,8298.33160095459,3915.41370986772,4977.01692965908,4375.30349670509,2941.20182745196
"DG 38_6",420031.33529828,1162176.38646214,976513.466727858,1034506.77533707,808430.961338688,1273086.0311756,863411.857229731,1772184.27558777
"DG 36_6",7351.88585211156,8154.35757026881,20132.9424723763,11427.4024649282,12960.1580578633,9252.29667955813,2969.9778247057,4251.26451468607
"DG 44_9",1433.12521682734,6302.67907815243,2329.66083760412,2057.41867699427,3061.73304483105,3793.73605084512,3061.73304483105,2590.36775579567
"DG 30_2",2831.78157646371,4816.92661576776,4596.3214433127,4297.32765293452,3698.46239328225,3576.13659047438,3114.51201113667,3487.41852007017
"DG 30_3",1666.51494721697,1776.60150112924,1934.98229291972,1501.14260139955,1840.33635477347,1501.14260139955,997.628592971291,2422.58127522665
"DG 38_0",2137.90127913935,1501.14260139955,1990.50457950183,2537.35150865498,251.43706519062,1810.23191887863,1279.04801721954,441.681076871718
"DG 30_1",3947.68276337239,11619.1247947076,7092.48104035762,7913.38091911515,3980.09283918553,5641.91454082801,7989.04291578823,7405.07584755638
"DG 42_3",2463.85235090243,2111.16915565378,2490.0870873841,1870.8452708952,1317.34897814317,1912.63394023087,2201.01173635389,3296.42027279908
"DG 32_6",441.681076871718,1160.42517823827,754.802255867638,1776.60150112924,729.635614895388,2347.1043421304,1433.12521682734,1256.08208159224
"DG 26_1",893.949083022708,172.875667470148,283.927080665847,223.545293198864,283.927080665847,283.927080665847,172.875667470148,324.751165357629
"DG 28_2",1990.50457950183,2201.01173635389,2018.09652912973,1713.15670890654,1279.04801721954,4251.26451468607,1481.60246230716,2664.79874083962
"DG 40_9",1019.81290876325,3760.1105090174,4977.01692965908,4064.43123530729,4520.52712664271,4064.43123530729,1393.33289572531,2018.09652912973
"DG 44_8",2362.98400548809,3041.7934725039,1256.08208159224,2347.1043421304,2787.46456758213,2422.58127522665,2724.5793195552,1416.2229744169
"DG 44_6",821.027429908824,2329.66083760412,1617.97932022628,1279.04801721954,1083.11737226478,2329.66083760412,729.635614895388,1501.14260139955
"DG 42_1",3698.46239328225,3190.39601988978,1699.64212798452,1107.56407097716,1481.60246230716,2083.4343941525,1556.38587675031,4046.41168477418
"lysoPC 18_1",743475.798229849,1344746.17238693,1070383.96283891,1415950.67866297,828167.217423425,1220538.32809233,952415.001755678,952415.001755678
"lysoPC 18_3",30050.1632857825,41648.3585519013,37880.7574159998,36276.3300613752,26025.0430099942,46295.5868290625,26507.7173171222,13083.5577641879
"lysoPC 16_0",3861215.29778433,3861215.29778433,3738273.8547349,3630410.70849431,4357197.78400929,4879775.52485589,3471770.91700051,2596807.49799822
"lysoPC 18_2",1034506.77533707,863411.857229731,773996.423332135,844084.566491932,863411.857229731,1509678.80795524,893324.137877715,508954.688689991
"lysoPC 16_1",129757.033367477,155985.897132277,125864.35974696,141691.439941726,95091.3174870818,136485.38936018,131330.344833363,65985.9527328861
"lysoPC 22_6",475072.255866054,1094226.2079901,743475.798229849,773996.423332135,976513.466727858,1126925.96936975,568689.760447028,428208.362204687
"lysoPC 20_1",17322.1951108778,55767.4270065638,42486.3697721669,45994.3055056291,21804.0761166836,33678.4491957781,19571.9944538653,11095.5314156171
"lysoPC 18_0",3738273.8547349,4879775.52485589,3354188.31645269,4357197.78400929,3630410.70849431,4357197.78400929,2678086.71346041,2876646.96950745
"lysoPC 20_3",77939.4761919844,294471.614786708,161913.223851172,184394.056512352,102499.731965587,242761.467785837,155985.897132277,95091.3174870818
"lysoPC 14_0",7405.07584755638,8298.33160095459,5164.46357938691,7188.74804537574,4596.3214433127,9305.37965226405,6370.12295766941,3150.94665301451
"lysoPC 20_4",1094226.2079901,2519262.74101024,1300876.63591984,1300876.63591984,1509678.80795524,1891315.00930159,844084.566491932,844084.566491932
"lysoPC 20_0",70028.1124047034,58522.2469545577,57251.6074609001,61881.1508715951,44024.0922561105,49095.6636716867,46295.5868290625,19734.4956973106
"lysoPC 20_2",15441.3314525348,29695.7172764468,18173.1943736526,30050.1632857825,15185.1170197429,30670.7043265908,27279.5745919317,20132.9424723763
"lysoPC 24_0",22122.286032615,24103.5313144553,23405.7501917733,19153.5206912724,23183.7528204903,23183.7528204903,24565.479577935,17227.026328746
"lysoPC 22_0",14354.0048367405,9457.06140130954,11766.433221824,11012.8127589136,11133.2459059991,11707.0603577913,16650.4609520606,7989.04291578823
"lysoPC 22_4",13083.5577641879,16117.4974673831,8154.35757026881,9965.75793731266,7679.39019365722,14696.9302536588,11057.8169252351,8154.35757026881
"lysoPC 26_1",922.188627786189,1433.12521682734,975.513669419313,1256.08208159224,997.628592971291,922.188627786189,1617.97932022628,1107.56407097716
"lysoPC 24_1",4064.43123530729,3137.22308896939,3348.80427639111,3061.73304483105,2724.5793195552,3190.39601988978,4331.75192124648,3576.13659047438
"lysoPC 22_1",283.927080665847,362.637362261131,468.12906795181,441.681076871718,223.545293198864,324.751165357629,468.12906795181,251.43706519062
"lysoPC 24_4",362.637362261131,1416.2229744169,821.027429908824,639.648945546397,1160.42517823827,681.870895512177,512.224221536547,661.701726194008
"lysoPE 20_4",269054.501519072,493331.907936879,399638.407278493,297147.382170884,279726.070307564,420031.33529828,154467.700290747,203605.199452851
"lysoPE 18_0",30670.7043265908,61881.1508715951,39865.0783604276,25295.5130480684,37236.1889931239,33158.4929006148,11619.1247947076,36276.3300613752
"lysoPE 18_1",115924.669786895,227119.100088581,178098.597961836,167284.443858467,133578.194443024,147639.332734624,111158.332499694,242761.467785837
"lysoPE 22_6",80019.2865962125,239649.141858628,167284.443858467,115924.669786895,138838.766552366,151525.528020157,77939.4761919844,155985.897132277
"lysoPE 18_2",31834.6772680668,27559.8037176293,28375.8745004672,22554.6299610122,23405.7501917733,28680.2377966882,22833.0337552682,35147.1963522091
"lysoPE 16_0",224515.234726437,279726.070307564,230335.205077582,178098.597961836,197258.633944881,141691.439941726,135773.332899154,250662.54663703
"lysoPE 20_0",4449.80068863028,4421.47396917124,3608.07627784769,3915.41370986772,3017.81609681193,2801.83256587401,3460.63880356535,2396.60695986736
"lysoPE 20_5",2664.79874083962,6131.99802999944,3681.18608394247,4375.30349670509,2831.78157646371,3892.40519672107,3150.94665301451,2684.16899592295
"lysoPE 16_1",11766.433221824,10277.655315727,8618.70487840286,10335.0614774214,7351.88585211156,7351.88585211156,8618.70487840286,8813.69018530194
"lysoPE 20_1",4816.92661576776,11707.0603577913,6704.6400958362,8235.17158255477,6370.12295766941,5858.54372244989,5095.39148358637,6704.6400958362
"lysoPE 18_3",1279.04801721954,1256.08208159224,1730.47750624051,1294.782669757,1617.97932022628,1666.51494721697,1535.70259365792,1187.46186529535
"lysoPE 22_4",3793.73605084512,4064.43123530729,3137.22308896939,2787.46456758213,3608.07627784769,2565.04978497635,2362.98400548809,4875.8041486049
"lysoPE 20_2",2222.78484828685,3698.46239328225,2178.42247754476,3348.80427639111,2222.78484828685,2986.72547879943,1796.44019095061,2072.40265456603
"MG 18_1",23183.7528204903,53942.0594615606,38254.2056444587,41648.3585519013,45693.0241821957,40164.9571390481,31286.7108140912,43516.6518434638
"MG 18_2",13968.6818038262,15759.6582710285,12265.7524091103,13083.5577641879,15759.6582710285,13681.1088522039,9305.37965226405,10956.5558441073
"MG 16_0",4714.57132214172,6670.95130253294,5588.00734598558,4714.57132214172,7238.96136822344,6204.20539970562,4714.57132214172,6131.99802999944
"MG 20_4",5285.23665755958,5641.91454082801,5061.32673980389,9567.20449731463,9082.4888278898,10217.7567972871,7913.38091911515,8513.7481196235
"MG 18_0",2083.4343941525,2266.5747589312,1810.23191887863,2072.40265456603,2707.36013913356,1638.48253188433,1317.34897814317,1966.56407740869
"MG 22_4",729.635614895388,754.802255867638,535.373865591017,853.57897892234,1235.15002263905,562.188632767996,709.834246840461,853.57897892234
"MG 18_4",1368.90333501256,1340.42363876208,1776.60150112924,821.027429908824,782.544456556459,1713.15670890654,1840.33635477347,729.635614895388
"MG 20_2",512.224221536547,1019.81290876325,562.188632767996,801.32014527493,639.648945546397,709.834246840461,488.550869887022,562.188632767996
"MG 16_1",1596.21239451326,3538.48345389949,2312.02383160553,2201.01173635389,2072.40265456603,1481.60246230716,3348.80427639111,2898.12549182328
"PC 34_3",7427774.99633669,7427774.99633669,7427774.99633669,7427774.99633669,7427774.99633669,7427774.99633669,7427774.99633669,4152883.96004135
"PC 38_7",4152883.96004135,3738273.8547349,3861215.29778433,3861215.29778433,4152883.96004135,3471770.91700051,4357197.78400929,1034506.77533707
"PC 34_4",1220538.32809233,828167.217423425,1344746.17238693,893324.137877715,893324.137877715,893324.137877715,1094226.2079901,312313.446709965
"PC 36_1",4879775.52485589,5570843.99885273,6319225.94346054,5570843.99885273,5838334.37089802,5570843.99885273,5570843.99885273,6319225.94346054
"PC 44_12",37622.2355018158,24565.479577935,23183.7528204903,38794.2625867384,34130.6693822138,43168.2229758679,39865.0783604276,22358.7957710269
"PC 32_0",3354188.31645269,2596807.49799822,2745991.01928605,2745991.01928605,3241192.62060232,3630410.70849431,2745991.01928605,3354188.31645269
"PC 40_8",2519262.74101024,2306544.70134524,1772184.27558777,2417071.8535538,2361033.38820366,2596807.49799822,1891315.00930159,612451.217127404
"PC 36_2",6319225.94346054,4548799.77765387,5268696.54947492,6319225.94346054,6319225.94346054,6319225.94346054,6319225.94346054,7427774.99633669
"PC 36_3",5838334.37089802,5268696.54947492,5838334.37089802,5838334.37089802,5570843.99885273,5838334.37089802,5838334.37089802,5838334.37089802
"PC 40_5",612451.217127404,616746.36040637,559311.052346091,606113.21030197,606113.21030197,773996.423332135,625636.822827445,668899.818579714
"PC 32_2",1415950.67866297,647113.793806319,863411.857229731,828167.217423425,773996.423332135,844084.566491932,2306544.70134524,498921.355512567
"PC 38_5",3241192.62060232,3581928.81366308,3471770.91700051,3354188.31645269,3581928.81366308,3861215.29778433,3354188.31645269,3940207.45922362
"PC 40_6",2678086.71346041,2361033.38820366,2361033.38820366,2596807.49799822,2519262.74101024,2417071.8535538,2105833.86715036,2262226.30154771
