"Sample","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218"
"lysoPC 18_3",33158.4929006148,14696.9302536588,33158.4929006148,30940.6936529974,22554.6299610122,32628.5052858994,44024.0922561105,34130.6693822138
"lysoPC 16_0",4357197.78400929,2745991.01928605,4548799.77765387,4357197.78400929,3241192.62060232,3861215.29778433,3738273.8547349,4548799.77765387
"lysoPC 18_2",1034506.77533707,828167.217423425,1034506.77533707,952415.001755678,581443.631605996,952415.001755678,1415950.67866297,1344746.17238693
"lysoPC 16_1",216701.615215464,38254.2056444587,187207.809750757,167284.443858467,129757.033367477,151525.528020157,171549.19389106,114611.226029598
"lysoPC 22_6",616746.36040637,606113.21030197,616746.36040637,475072.255866054,493331.907936879,694046.244752706,844084.566491932,625636.822827445
"lysoPC 20_1",31436.4204731325,12867.1025549291,36819.3121489962,18880.7340955662,16029.5868832673,28890.8491016367,24669.9862781051,19459.5668569119
"lysoPC 18_0",4152883.96004135,4548799.77765387,3354188.31645269,2876646.96950745,2262226.30154771,2678086.71346041,4152883.96004135,3861215.29778433
"lysoPC 20_3",113815.049295875,101195.44502001,89054.874745338,40530.7723909027,64347.7833401961,85119.4370989657,151525.528020157,93824.3805573624
"lysoPC 14_0",11850.8956648633,2941.20182745196,11057.8169252351,8867.30103392666,7006.97272119885,8451.02017039113,8867.30103392666,6841.56958640409
"lysoPC 20_4",1220538.32809233,1415950.67866297,1344746.17238693,559311.052346091,952415.001755678,1034506.77533707,1300876.63591984,1126925.96936975
"lysoPC 20_0",39345.2861958027,42683.5292181251,47727.9679118561,48260.1465277245,27279.5745919317,50170.3769829691,79042.4947477102,80019.2865962125
"lysoPC 20_2",25038.7220317533,25038.7220317533,26025.0430099942,7799.28331799802,19516.8618973552,17063.1665377589,23696.9896538028,17647.5742413616
"lysoPC 24_0",18812.488512923,15185.1170197429,16650.4609520606,13794.9987875219,11275.622571761,15185.1170197429,17417.3638930097,19986.3389730458
"lysoPC 22_0",10438.2833045293,9305.37965226405,8298.33160095459,10043.2766494492,9457.06140130954,11524.5059639606,13510.288389398,12635.7637753574
"lysoPC 22_4",13339.4186942186,13681.1088522039,12774.047051995,6537.23053843069,9852.99982527622,9745.72162595804,11707.0603577913,11850.8956648633
"lysoPC 26_1",1131.52388753819,709.834246840461,729.635614895388,729.635614895388,1043.86007020296,1107.56407097716,709.834246840461,853.57897892234
"lysoPC 24_1",2549.9478142938,1210.96009800957,3326.11617920981,2850.89184530722,2850.89184530722,3213.95288849175,2537.35150865498,3369.68378296375
"lysoPC 22_1",512.224221536547,535.373865591017,401.357430113191,324.751165357629,223.545293198864,587.828837963357,251.43706519062,401.357430113191
"lysoPC 24_4",441.681076871718,1617.97932022628,1083.11737226478,562.188632767996,562.188632767996,1131.52388753819,587.828837963357,604.512858606365
"lysoPE 20_4",399638.407278493,191781.315366133,388549.653473836,219895.798058679,209728.588613599,297147.382170884,300594.491324654,312313.446709965
"lysoPE 18_0",46295.5868290625,38794.2625867384,37622.2355018158,33583.9252853003,17647.5742413616,37024.2216409409,37024.2216409409,30940.6936529974
"lysoPE 18_1",246780.912515554,182013.062898843,227119.100088581,141691.439941726,115924.669786895,184394.056512352,184394.056512352,169004.920664712
"lysoPE 22_6",167284.443858467,131330.344833363,167284.443858467,127762.761999658,106739.081221889,155985.897132277,169004.920664712,159807.161182971
"lysoPE 18_2",42683.5292181251,33583.9252853003,38794.2625867384,37024.2216409409,20649.6422341141,35944.0614955863,49095.6636716867,49095.6636716867
"lysoPE 16_0",294471.614786708,169004.920664712,255176.613725738,191781.315366133,161913.223851172,246780.912515554,236098.534861412,263009.855006669
"lysoPE 20_0",3250.01598520178,2831.78157646371,2633.70282567467,3576.13659047438,2039.71323146747,4297.32765293452,6936.11213049948,5246.73262411114
"lysoPE 20_5",4596.3214433127,1810.23191887863,3190.39601988978,2240.20328686215,2312.02383160553,4352.74720008174,5061.32673980389,3576.13659047438
"lysoPE 16_1",15759.6582710285,4740.58120621564,16117.4974673831,10827.3663226472,11363.6719494148,14996.1771760577,14852.7118496099,10827.3663226472
"lysoPE 20_1",6841.56958640409,8389.90272731045,6131.99802999944,5413.99020214328,3811.92709393377,4651.07417388974,8658.72376166879,7596.55931957331
"lysoPE 18_3",1666.51494721697,1481.60246230716,1713.15670890654,1699.64212798452,1713.15670890654,2329.66083760412,2347.1043421304,2201.01173635389
"lysoPE 22_4",4816.92661576776,6064.23020432577,5339.89556407679,2362.98400548809,2347.1043421304,3947.68276337239,4740.58120621564,4297.32765293452
"lysoPE 20_2",2801.83256587401,3608.07627784769,3460.63880356535,1368.90333501256,1481.60246230716,2312.02383160553,2490.0870873841,2101.85438883992
"MG 18_1",31834.6772680668,24565.479577935,29695.7172764468,22554.6299610122,21716.9374580112,23696.9896538028,29695.7172764468,29275.2218724974
"MG 18_2",10956.5558441073,14354.0048367405,11766.433221824,12635.7637753574,7486.03814800902,11012.8127589136,16117.4974673831,15441.3314525348
"MG 16_0",5588.00734598558,6704.6400958362,4977.01692965908,3061.73304483105,3608.07627784769,4421.47396917124,4875.8041486049,3760.1105090174
"MG 20_4",4651.07417388974,7296.91110402939,5588.00734598558,5004.0916647346,3947.68276337239,4449.80068863028,4780.75993694419,7405.07584755638
"MG 18_0",1840.33635477347,3041.7934725039,1934.98229291972,2057.41867699427,1317.34897814317,1699.64212798452,1796.44019095061,2083.4343941525
"MG 22_4",535.373865591017,1393.33289572531,488.550869887022,535.373865591017,535.373865591017,562.188632767996,562.188632767996,1131.52388753819
"MG 18_4",1368.90333501256,1840.33635477347,1617.97932022628,2039.71323146747,1840.33635477347,997.628592971291,1501.14260139955,1083.11737226478
"MG 20_2",639.648945546397,922.188627786189,1043.86007020296,401.357430113191,283.927080665847,535.373865591017,324.751165357629,468.12906795181
"MG 16_1",1776.60150112924,1019.81290876325,2240.20328686215,1666.51494721697,1535.70259365792,2153.55732639854,2222.78484828685,1256.08208159224
"PC 34_3",7427774.99633669,5838334.37089802,7427774.99633669,7427774.99633669,7427774.99633669,7427774.99633669,7427774.99633669,7427774.99633669
"PC 38_7",3630410.70849431,1509678.80795524,3861215.29778433,3581928.81366308,3581928.81366308,3738273.8547349,3581928.81366308,3471770.91700051
"PC 34_4",1162176.38646214,388549.653473836,1300876.63591984,1094226.2079901,743475.798229849,1300876.63591984,1034506.77533707,1034506.77533707
"PC 36_1",5570843.99885273,5570843.99885273,4357197.78400929,4879775.52485589,5570843.99885273,4879775.52485589,5570843.99885273,5570843.99885273
"PC 44_12",13794.9987875219,19734.4956973106,34528.7216254758,11363.6719494148,20132.9424723763,33583.9252853003,37880.7574159998,31834.6772680668
"PC 32_0",3354188.31645269,3581928.81366308,3581928.81366308,2678086.71346041,3738273.8547349,3471770.91700051,3241192.62060232,3738273.8547349
"PC 40_8",2006486.5564712,2174210.99429714,2519262.74101024,1162176.38646214,2417071.8535538,2105833.86715036,2174210.99429714,2006486.5564712
"PC 36_2",6319225.94346054,7427774.99633669,6319225.94346054,6319225.94346054,6319225.94346054,6319225.94346054,6319225.94346054,6319225.94346054
"PC 36_3",5838334.37089802,6319225.94346054,5838334.37089802,5838334.37089802,5838334.37089802,5838334.37089802,5838334.37089802,5838334.37089802
"PC 40_5",581443.631605996,517475.075117045,808430.961338688,493331.907936879,808430.961338688,498921.355512567,388549.653473836,538169.051634409
"PC 32_2",1509678.80795524,456109.61713212,1772184.27558777,1344746.17238693,1220538.32809233,1659805.95321523,1344746.17238693,1659805.95321523
"PC 38_5",3127646.13736274,3127646.13736274,3738273.8547349,2262226.30154771,4357197.78400929,2876646.96950745,2596807.49799822,2745991.01928605
"PC 40_6",2262226.30154771,3861215.29778433,2262226.30154771,2417071.8535538,2519262.74101024,2596807.49799822,2519262.74101024,3127646.13736274
"PC 42_11",26025.0430099942,17647.5742413616,27279.5745919317,11133.2459059991,15759.6582710285,28375.8745004672,34130.6693822138,18281.2092683311
"PC 38_3",2678086.71346041,3630410.70849431,2876646.96950745,1415950.67866297,2745991.01928605,2745991.01928605,2876646.96950745,3241192.62060232
"PC 32_3",80019.2865962125,12023.0136743158,89829.9594643393,81047.2777540216,39345.2861958027,81047.2777540216,72698.9541535975,76973.0616912095
"PC 42_2",16742.6095476278,10335.0614774214,12960.1580578633,15441.3314525348,10827.3663226472,13968.6818038262,19516.8618973552,19842.3013124
"PC 36_5",79042.4947477102,37236.1889931239,83607.4237730397,64931.7923032862,52125.4570300496,75310.1195569915,89054.874745338,66568.4103653987
"PC 44_4",11427.4024649282,11463.9837683774,10956.5558441073,6420.40335731058,9901.71460703127,11619.1247947076,13681.1088522039,12960.1580578633
"PC 40_3",102499.731965587,112611.025065258,111158.332499694,76406.0331345384,87403.209724609,131330.344833363,154467.700290747,154467.700290747
"PC 40_10",20472.7100910555,18050.1628732226,24565.479577935,18415.4383711671,32877.522425997,19402.2718164687,16434.8192218106,14852.7118496099
"PC 42_10",242761.467785837,528928.358604734,456109.61713212,203605.199452851,399638.407278493,428208.362204687,581443.631605996,456109.61713212
