"Lipid","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218"
"lysoPE 16_0",81449.0277045762,30998.7906852614,93786.8802149398,35687.5315995651,71534.9288025654,53213.455248384,28171.2457107318,104090.919482063
"lysoPE 18_0",5470.57429724871,5284.85690998565,7482.4478978368,4654.20276919548,6435.32389956422,3611.62470660732,3236.3323336149,4525.68980790802
"lysoPE 24_4",5881.88540760956,1261.3328379457,7014.06656003568,1418.91822062694,5881.88540760956,4484.22061029023,1705.5254904802,5398.7852010843
"lysoPE 22_5",10584.6427257966,4425.88407080927,12765.0149216246,6129.8949135152,9025.33851411094,10165.6694286606,4749.89136860154,13433.7483605795
"lysoPE 20_3",4879.91050665871,1821.37709910414,8414.57584326696,1916.8297425348,3465.96257684991,2117.41134444901,1821.37709910414,3424.19677856288
"lysoPE 20_2",4567.15900552582,830.629705806644,4626.67166662418,1705.5254904802,3187.40349825349,2726.15351762138,467.979926103747,3547.05630671208
"lysoPE 14_0",3896.55084432167,467.979926103747,2868.67679630882,729.589226984527,2931.00125011162,1261.3328379457,1081.25945312114,2781.24650031333
"MG 18_0",460567.265636538,882924.435937889,460567.265636538,882924.435937889,418549.407143566,1112769.86069723,882924.435937889,460567.265636538
"MG 22_0",15027.1406563997,6214.74897190306,14779.9017017912,10269.0035719441,10584.6427257966,12602.7594101332,10584.6427257966,14543.3204732565
"MG 20_4",8628.29676237836,2374.24151420868,7761.56073148846,3083.0621834923,7147.95040523972,6853.65228039922,4812.19203976419,6692.01843259977
"MG 18_2",5804.77285342986,5881.88540760956,5564.1832631553,6476.05039304402,8153.90939767922,10269.0035719441,7650.31919781937,8628.29676237836
"MG 16_0",7014.06656003568,10871.1086945871,7909.70070228872,14779.9017017912,7650.31919781937,14779.9017017912,12602.7594101332,7255.06986852259
"PC 32_0",981235.41875302,1112769.86069723,1234820.67653725,1112769.86069723,1234820.67653725,2113876.57185155,1112769.86069723,1112769.86069723
"PC 42_1",150964.942365057,262934.409024127,165366.941305688,212232.660522217,177378.456157861,249349.9543385,212232.660522217,171136.182335375
"PC 48_4",4176.99837683462,1644.53154884249,5170.13709765077,2607.30390174855,6579.47330809975,4812.19203976419,3083.0621834923,6932.73372785614
"PC 40_6",40723.3977358019,78694.4983954365,59352.6711444856,111807.146445088,38502.1757732035,55093.0072476975,93786.8802149398,43848.29694985
"PC 38_1",527378.320838548,643967.830815935,501264.134936585,527378.320838548,460567.265636538,790483.825317275,501264.134936585,643967.830815935
"PC 32_1",3459568.70113759,2113876.57185155,3852004.52864112,2113876.57185155,3459568.70113759,3852004.52864112,1885919.29891904,2755533.31492809
"PC 38_6",382729.005273053,790483.825317275,399352.741034576,738451.164603208,483347.455908846,527378.320838548,981235.41875302,418549.407143566
"PC 38_3",50349.9660036893,42890.1167258328,53213.455248384,47712.353079771,62677.1321799159,59352.6711444856,51683.3040683137,73860.6129032848
"PC 44_4",139440.374509839,46717.1235449292,145887.157294554,159510.921494059,139440.374509839,212232.660522217,190622.324347271,150964.942365057
"PC 40_8",32759.5566592425,40723.3977358019,29551.3434109173,53213.455248384,35687.5315995651,33357.6917264466,67729.5447507206,46717.1235449292
"PC 38_2",55093.0072476975,64255.024265003,71534.9288025654,67729.5447507206,48946.973562115,78694.4983954365,69576.7601220614,71534.9288025654
"PC 40_1",38502.1757732035,96361.5720936196,46717.1235449292,55093.0072476975,43848.29694985,75897.8002485659,75897.8002485659,37829.2298220984
"PC 36_4",1963.46854508245,9025.33851411094,3896.55084432167,7014.06656003568,2156.37942301987,4934.03800334503,9539.55120058464,2931.00125011162
"PC 46_6",7761.56073148846,6129.8949135152,4980.30066002848,5642.88961301532,6932.73372785614,10708.3605223592,5241.13631563334,5241.13631563334
"PC 42_5",7650.31919781937,7650.31919781937,3674.55999256227,5170.13709765077,6692.01843259977,5564.1832631553,16835.2401729163,6853.65228039922
"PC 34_4",33357.6917264466,31442.2488365665,34456.8532031332,20266.5189456207,33855.2150065753,27140.0555033059,23252.0507061844,38502.1757732035
"PC 44_12",24808.7812819412,15544.6092995382,20266.5189456207,9899.93580826725,20266.5189456207,12036.3041031809,5804.77285342986,25566.3418233348
"PC 42_9",8501.97187969049,7761.56073148846,6394.59740608442,5470.57429724871,3989.04839581373,7521.44196042592,6692.01843259977,4934.03800334503
"PC 40_3",20812.672451651,19877.2411279776,24808.7812819412,16835.2401729163,27642.6323399554,34456.8532031332,19318.2717729633,25827.3562636203
"PC 40_4",15283.1046805948,19597.2107659782,27140.0555033059,13764.0908345176,15027.1406563997,27642.6323399554,24808.7812819412,15027.1406563997
"PC 36_1",300.633994009659,893.925910740501,300.633994009659,664.964195031568,400.502370768594,467.979926103747,781.688569825783,122.617631415061
"PC 30_1",2557.86154264857,4100.14813598772,5470.57429724871,2374.24151420868,3611.62470660732,3424.19677856288,3547.05630671208,3611.62470660732
"PC 42_2",14273.0395612304,24808.7812819412,30998.7906852614,27642.6323399554,24364.8481559943,39141.4854023907,37070.3832857624,19318.2717729633
"PC 38_8",1261.3328379457,4681.73387176678,1916.8297425348,2675.37538399767,2320.53770503878,2675.37538399767,4227.6771360103,400.502370768594
"PC 34_2",6932.73372785614,20812.672451651,8892.25825710858,12036.3041031809,9539.55120058464,14543.3204732565,27140.0555033059,9656.42026533208
"PC 46_4",11220.6903621017,10401.9637199263,10871.1086945871,11669.9680819941,18265.904885922,21429.9360520325,8153.90939767922,26756.59928707
"PC 30_3",4626.67166662418,1916.8297425348,3768.93424168295,1644.53154884249,2726.15351762138,3719.24556497706,2227.83847466196,4176.99837683462
"PC 28_0",3817.60194751852,3129.69971796825,4038.99551503691,1963.46854508245,3674.55999256227,3465.96257684991,2007.00597325142,4038.99551503691
"PC 34_1",2227.83847466196,6692.01843259977,2433.2690594929,7992.42248318314,7014.06656003568,6579.47330809975,6129.8949135152,17574.2614698076
"PC 42_4",26249.1555971962,18524.6320329948,21429.9360520325,17160.2916295025,29070.8716162906,30998.7906852614,21429.9360520325,23964.2018715607
"PC 32_4",3465.96257684991,3465.96257684991,4681.73387176678,3368.02432613006,1644.53154884249,3187.40349825349,3312.08530063188,3187.40349825349
"PC 46_1",3083.0621834923,8414.57584326696,3465.96257684991,4567.15900552582,2868.67679630882,2607.30390174855,5956.97028339901,2607.30390174855
"PC 38_7",4100.14813598772,2557.86154264857,467.979926103747,467.979926103747,241.935631038523,1012.87486111436,1541.08910829682,550.218683648402
"PC 32_3",10708.3605223592,4227.6771360103,9761.45001253696,5060.742726822,12191.6102211143,5709.26815810453,5881.88540760956,12036.3041031809
"PC 42_7",1821.37709910414,4749.89136860154,4749.89136860154,6214.74897190306,4176.99837683462,4227.6771360103,4347.40300235404,5470.57429724871
"plasmenyl-PC 22_0",664.964195031568,781.688569825783,729.589226984527,241.935631038523,597.438130830255,550.218683648402,122.617631415061,946.715805137213
"plasmenyl-PC 24_0",3129.69971796825,597.438130830255,1821.37709910414,1211.78807640315,2067.9050962259,1144.10739730656,1211.78807640315,2433.2690594929
"PE 44_1",492305.795422715,391040.873153814,585673.075827242,439558.336390052,514321.227887567,691209.497709571,471957.360772692,492305.795422715
"PE 36_1",349336.505786575,418549.407143566,418549.407143566,349336.505786575,334764.905306531,460567.265636538,399352.741034576,334764.905306531
"PE 42_2",62677.1321799159,60911.4337591323,67729.5447507206,38502.1757732035,75897.8002485659,69576.7601220614,50349.9660036893,64255.024265003
"PE 36_4",78694.4983954365,44618.4280694884,89738.1247179249,59352.6711444856,108936.095583913,108936.095583913,71534.9288025654,96361.5720936196
"PE 38_5",317548.760513688,108936.095583913,281192.863652447,199472.742024728,227051.026011725,301137.914916468,177378.456157861,301137.914916468
"PE 42_1",272063.636338287,317548.760513688,326156.83291011,281192.863652447,309343.337715078,399352.741034576,317548.760513688,272063.636338287
"PE 36_5",21429.9360520325,16278.4409881048,32362.2856604165,21130.2726736133,22048.5671389104,20499.2304299225,13622.674386754,24808.7812819412
"PE 34_2",199472.742024728,100400.488359773,227051.026011725,150964.942365057,190622.324347271,171136.182335375,117866.977681102,184029.606908086
"PE 38_4",27391.3439216306,30332.9313053547,26502.8774421331,18395.2684594584,23442.5894360789,16127.4413477761,30782.9282569807,23442.5894360789
"PE 38_1",37070.3832857624,28171.2457107318,55093.0072476975,35058.1582150506,33357.6917264466,57697.3600365239,43848.29694985,35687.5315995651
"PE 36_3",165366.941305688,55093.0072476975,190622.324347271,78694.4983954365,184029.606908086,227051.026011725,145887.157294554,190622.324347271
"PE 34_3",25566.3418233348,16541.6503930982,23633.1281659734,15776.9599027708,23964.2018715607,33855.2150065753,12424.5890532244,27642.6323399554
"PE 40_2",36296.6832188317,17957.4078630268,35687.5315995651,29070.8716162906,32362.2856604165,39693.2158278092,29551.3434109173,36296.6832188317
"PE 40_4",19107.0742967328,16835.2401729163,17574.2614698076,12424.5890532244,21429.9360520325,25566.3418233348,23633.1281659734,15776.9599027708
"PE 42_5",4980.30066002848,3030.36700834498,3083.0621834923,5398.7852010843,5241.13631563334,6303.51102655984,6031.35248547829,9539.55120058464
"PE 42_3",7909.70070228872,7336.89093972719,10584.6427257966,5709.26815810453,7443.45383524768,16541.6503930982,7761.56073148846,10871.1086945871
"PE 38_6",66207.6842627991,117866.977681102,78694.4983954365,108936.095583913,84641.5328138281,115070.968398203,121471.51966599,89738.1247179249
"PE 44_3",5328.57750433796,8306.27288841959,11073.8302538504,6303.51102655984,10708.3605223592,17160.2916295025,5709.26815810453,6394.59740608442
"PE 32_1",17574.2614698076,15976.4417074473,25188.667608948,12765.0149216246,17392.416406866,18524.6320329948,15283.1046805948,13984.4095312442
"PE 40_5",26756.59928707,23633.1281659734,31442.2488365665,31442.2488365665,27140.0555033059,42125.3483244454,33357.6917264466,29551.3434109173
"PE 30_1",781.688569825783,1144.10739730656,1705.5254904802,893.925910740501,1012.87486111436,893.925910740501,729.589226984527,1081.25945312114
"PE 32_2",6394.59740608442,4176.99837683462,10401.9637199263,3989.04839581373,4100.14813598772,6932.73372785614,3896.55084432167,5328.57750433796
"PE 40_3",6476.05039304402,6394.59740608442,6476.05039304402,3896.55084432167,6767.31128303579,5804.77285342986,3719.24556497706,8755.32397202284
"plasmenyl-PE 36_1",1506748.41479677,1885919.29891904,1506748.41479677,1885919.29891904,1506748.41479677,3459568.70113759,2113876.57185155,1506748.41479677
"plasmenyl-PE 34_2",121471.51966599,121471.51966599,184029.606908086,134306.796007648,111807.146445088,184029.606908086,115070.968398203,115070.968398203
"plasmenyl-PE 40_1",67729.5447507206,25566.3418233348,81449.0277045762,25566.3418233348,66207.6842627991,43848.29694985,24364.8481559943,62677.1321799159
"plasmenyl-PE 38_6",108936.095583913,84641.5328138281,117866.977681102,71534.9288025654,121471.51966599,145887.157294554,111807.146445088,108936.095583913
"plasmenyl-PE 22_0",6031.35248547829,1705.5254904802,8306.27288841959,2067.9050962259,6853.65228039922,5328.57750433796,2279.23532246581,4425.88407080927
"plasmenyl-PE 40_4",171136.182335375,53213.455248384,150964.942365057,66207.6842627991,150964.942365057,177378.456157861,60911.4337591323,145887.157294554
"plasmenyl-PE 36_2",5170.13709765077,21701.6136049083,6767.31128303579,10584.6427257966,15544.6092995382,11511.7284327243,16541.6503930982,18265.904885922
"plasmenyl-PE 38_2",31442.2488365665,33855.2150065753,36296.6832188317,21429.9360520325,39141.4854023907,37829.2298220984,28612.7618329656,29070.8716162906
"plasmenyl-PE 42_4",23633.1281659734,10165.6694286606,27642.6323399554,11400.689235685,26756.59928707,29070.8716162906,15027.1406563997,22426.4691104843
"plasmenyl-PE 38_1",145887.157294554,51683.3040683137,134306.796007648,51683.3040683137,104090.919482063,81449.0277045762,42890.1167258328,81449.0277045762
"plasmenyl-PE 32_1",56627.3693233835,22426.4691104843,73860.6129032848,33855.2150065753,37829.2298220984,56627.3693233835,25827.3562636203,47712.353079771
"plasmenyl-PE 40_2",35058.1582150506,18265.904885922,41438.2234282091,12953.4281950997,31442.2488365665,23633.1281659734,12953.4281950997,33357.6917264466
"plasmenyl-PE 34_1",3719.24556497706,27140.0555033059,4347.40300235404,7443.45383524768,2824.90569365922,5060.742726822,6579.47330809975,2824.90569365922
"SM 34_2",4227.6771360103,4879.91050665871,6932.73372785614,6579.47330809975,5564.1832631553,8892.25825710858,6853.65228039922,5956.97028339901
"SM 34_1",2113876.57185155,1506748.41479677,1885919.29891904,1506748.41479677,2113876.57185155,1885919.29891904,1506748.41479677,1885919.29891904
"SM 36_0",134306.796007648,227051.026011725,139440.374509839,127405.476958191,64255.024265003,150964.942365057,165366.941305688,165366.941305688
"SM 36_1",790483.825317275,981235.41875302,1112769.86069723,790483.825317275,1112769.86069723,1506748.41479677,738451.164603208,1234820.67653725
"SM 32_1",127405.476958191,14273.0395612304,57697.3600365239,23252.0507061844,81449.0277045762,32362.2856604165,19107.0742967328,59352.6711444856
"SM 40_1",22426.4691104843,21429.9360520325,50349.9660036893,31845.302971997,45700.5340760607,48946.973562115,33855.2150065753,32362.2856604165
"SM 42_2",45700.5340760607,4812.19203976419,25827.3562636203,19597.2107659782,42890.1167258328,10025.0998675436,17574.2614698076,30098.7967820094
"SM 32_0",10025.0998675436,1963.46854508245,7255.06986852259,2320.53770503878,9146.55825922703,3030.36700834498,2931.00125011162,8306.27288841959
"SM 30_1",2824.90569365922,122.617631415061,1144.10739730656,1012.87486111436,1144.10739730656,2156.37942301987,1144.10739730656,1541.08910829682
"SM 42_1",9025.33851411094,115070.968398203,19597.2107659782,45700.5340760607,12765.0149216246,36296.6832188317,55093.0072476975,19107.0742967328
"SM 38_1",4277.33128417099,12602.7594101332,3611.62470660732,4749.89136860154,4749.89136860154,11220.6903621017,2320.53770503878,4681.73387176678
"TG 50_3",4554541.67677882,3852004.52864112,4554541.67677882,3852004.52864112,2755533.31492809,501264.134936585,2755533.31492809,3459568.70113759
"TG 56_3",643967.830815935,1234820.67653725,483347.455908846,1234820.67653725,399352.741034576,117866.977681102,643967.830815935,399352.741034576
"TG 54_7",100400.488359773,150964.942365057,51683.3040683137,165366.941305688,199472.742024728,13764.0908345176,349336.505786575,227051.026011725
"TG 54_3",5224171.4752892,4651889.6084844,5224171.4752892,4651889.6084844,5224171.4752892,4651889.6084844,5224171.4752892,5224171.4752892
"TG 58_3",190622.324347271,165366.941305688,104090.919482063,301137.914916468,145887.157294554,11400.689235685,139440.374509839,121471.51966599
"TG 50_2",89738.1247179249,104090.919482063,28612.7618329656,121471.51966599,44618.4280694884,1366.40082076778,38502.1757732035,51683.3040683137
"TG 42_0",10871.1086945871,19107.0742967328,7336.89093972719,30098.7967820094,7992.42248318314,4749.89136860154,11511.7284327243,5709.26815810453
"TG 48_2",12191.6102211143,43848.29694985,16278.4409881048,15283.1046805948,7521.44196042592,14273.0395612304,20266.5189456207,8153.90939767922
"TG 54_8",15776.9599027708,17392.416406866,5881.88540760956,23633.1281659734,19597.2107659782,2320.53770503878,27642.6323399554,21701.6136049083
"TG 52_3",2755533.31492809,5699105.41038844,2755533.31492809,3459568.70113759,1885919.29891904,2755533.31492809,3459568.70113759,2113876.57185155
"TG 54_5",1885919.29891904,3459568.70113759,2113876.57185155,2755533.31492809,4554541.67677882,1234820.67653725,3852004.52864112,3852004.52864112
"TG 50_0",60911.4337591323,177378.456157861,111807.146445088,177378.456157861,96361.5720936196,96361.5720936196,184029.606908086,127405.476958191
"TG 58_9",1916.8297425348,1870.09942804688,5328.57750433796,3817.60194751852,4484.22061029023,6214.74897190306,8628.29676237836,3674.55999256227
"TG 42_2",35687.5315995651,71534.9288025654,12424.5890532244,139440.374509839,20812.672451651,1916.8297425348,32362.2856604165,9761.45001253696
"TG 58_2",111807.146445088,81449.0277045762,42890.1167258328,184029.606908086,117866.977681102,11669.9680819941,89738.1247179249,69576.7601220614
"TG 56_9",5642.88961301532,8501.97187969049,3129.69971796825,4934.03800334503,8306.27288841959,13984.4095312442,9761.45001253696,4277.33128417099
"TG 62_3",9899.93580826725,6767.31128303579,5398.7852010843,20499.2304299225,16541.6503930982,54.829263510246,8501.97187969049,7761.56073148846
"TG 58_5",8414.57584326696,12765.0149216246,9899.93580826725,15976.4417074473,12424.5890532244,5881.88540760956,15976.4417074473,10025.0998675436
"TG 52_4",93786.8802149398,75897.8002485659,44618.4280694884,40723.3977358019,60911.4337591323,60911.4337591323,37829.2298220984,60911.4337591323
"TG 44_1",2433.2690594929,12424.5890532244,2117.41134444901,7147.95040523972,3129.69971796825,781.688569825783,5642.88961301532,2227.83847466196
"TG 42_1",29551.3434109173,48946.973562115,12602.7594101332,81449.0277045762,20499.2304299225,2781.24650031333,17957.4078630268,10584.6427257966
"TG 60_2",25827.3562636203,18761.9872683988,13764.0908345176,43848.29694985,46717.1235449292,4567.15900552582,22426.4691104843,28612.7618329656
"TG 58_7",946.715805137213,3547.05630671208,2975.33648175349,3719.24556497706,2433.2690594929,15776.9599027708,3368.02432613006,1763.1416266143
"TG 48_0",104090.919482063,501264.134936585,115070.968398203,171136.182335375,93786.8802149398,66207.6842627991,104090.919482063,66207.6842627991
"TG 48_1",6853.65228039922,25188.667608948,9656.42026533208,10025.0998675436,4626.67166662418,9899.93580826725,10871.1086945871,4980.30066002848
"TG 58_6",1870.09942804688,6476.05039304402,2156.37942301987,3768.93424168295,4812.19203976419,3547.05630671208,8892.25825710858,2490.8093889003
"TG 52_1",9761.45001253696,33357.6917264466,13122.4901870354,16278.4409881048,17160.2916295025,32759.5566592425,46717.1235449292,20812.672451651
"TG 54_1",301137.914916468,483347.455908846,199472.742024728,643967.830815935,981235.41875302,134306.796007648,790483.825317275,527378.320838548
"TG 58_8",2117.41134444901,5060.742726822,1081.25945312114,2557.86154264857,4980.30066002848,8153.90939767922,11669.9680819941,7521.44196042592
"TG 46_0",46717.1235449292,159510.921494059,42125.3483244454,100400.488359773,30098.7967820094,20812.672451651,56627.3693233835,31442.2488365665
"TG 62_4",6767.31128303579,6031.35248547829,3030.36700834498,10708.3605223592,8755.32397202284,3129.69971796825,8306.27288841959,6579.47330809975
"TG 46_1",2675.37538399767,11073.8302538504,5709.26815810453,9656.42026533208,1821.37709910414,2374.24151420868,7992.42248318314,1916.8297425348
"TG 40_0",4425.88407080927,7147.95040523972,2490.8093889003,19318.2717729633,5804.77285342986,2824.90569365922,4100.14813598772,2117.41134444901
"TG 58_1",13764.0908345176,8153.90939767922,12191.6102211143,26249.1555971962,21701.6136049083,2931.00125011162,10165.6694286606,12602.7594101332
"TG 60_0",830.629705806644,1211.78807640315,893.925910740501,1870.09942804688,1261.3328379457,400.502370768594,664.964195031568,597.438130830255
"CL 78_9",196405.97373739,162570.298686561,275364.201280237,137437.325029733,162570.298686561,145016.709992722,152676.412220418,196405.97373739
"CL 78_3",41416.8562476669,39753.2669034259,75321.2745069666,20514.1237999657,42088.4290996434,41416.8562476669,31473.6033999022,53149.726979024
"CL 74_5",110471.618496811,110471.618496811,171723.685831767,92740.7642906418,110471.618496811,179588.806763646,130880.863713196,162570.298686561
"CL 72_4",19862.4935558531,17942.6912581263,27529.3850202183,17942.6912581263,15601.5695296592,23035.2848964181,27122.9843369021,27529.3850202183
"CL 68_2",12177.1928472267,15129.4839237294,10241.2889150012,11028.6904885808,6815.41497814529,7818.54857559949,19302.1112464844,9754.61316183831
"CL 68_1",7499.1073540432,3818.10381542193,8814.47368964092,12177.1928472267,5194.87737512212,6939.99498851855,6939.99498851855,5803.66164343117
"CL 74_9",17507.9758197095,21811.9030810522,37031.6151083174,13363.4445679901,10853.1213565757,13876.793595145,15601.5695296592,23035.2848964181
"CL 68_3",4383.59365387204,5412.02058138438,9220.82713010208,6372.29735398687,3637.67333924293,6648.90620544533,5928.85669735992,10075.4593686747
"CL 78_4",19302.1112464844,13876.793595145,27122.9843369021,14251.0994921284,15129.4839237294,17942.6912581263,13876.793595145,19030.0475696646
"CL 78_0",5928.85669735992,8110.13279501548,13876.793595145,9093.87970856546,9395.66994899383,10853.1213565757,9563.77982648063,8814.47368964092
"CL 66_3",3266.55563709806,5194.87737512212,8949.7948344467,3266.55563709806,2555.66042200797,3161.69174191271,3059.62383423222,5194.87737512212
"CL 70_5",28015.7074069478,47003.7793471147,78464.2237823794,25502.8161411351,29420.0550852026,57594.0541633889,28482.514167071,65687.9465094181
"CL 78_12",4781.57060390132,4508.39218302632,8625.25146929395,6648.90620544533,3956.27180614966,5051.1792247438,5561.4229882619,2773.91224205307
"CL 80_1",40439.0956549891,41416.8562476669,39753.2669034259,31473.6033999022,35667.5435096764,58992.9160693775,61872.0374209438,49426.6205339038
"CL 80_9",4884.69233519555,4184.69175041108,6939.99498851855,5412.02058138438,4383.59365387204,7195.93766480019,12592.5251171284,8625.25146929395
"CL 74_7",53149.726979024,72964.2746570294,152676.412220418,54873.3666745243,85954.383529263,130880.863713196,124855.216015847,215478.758671877
"CL 82_11",72964.2746570294,54873.3666745243,81036.791517283,39108.3406714006,37031.6151083174,53149.726979024,42950.0723808611,54873.3666745243
"CL 76_2",845.850645225801,1568.52055271757,1373.23925325051,1810.10979448577,845.850645225801,845.850645225801,2965.18177246721,845.850645225801
"CL 82_9",13363.4445679901,12969.1129568108,18213.9992264873,12969.1129568108,10673.8243261561,10241.2889150012,8625.25146929395,16208.6130793991
