"Sample","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334"
"DG 38_6",18849.0058946429,19250.3550410714,28136.8426732143,18324.2519410714,16062.4849892857,18324.2519410714,16562.38995,21870.113375
"DG 36_0",12820.3079732143,12820.3079732143,20701.8814285714,12961.7473964286,4003.08042589286,10660.3970267857,11031.9292982143,11031.9292982143
"DG 32_2",656.942895535714,1009.10998678571,656.942895535714,2524.25251839286,3367.97632982143,1958.08991857143,1958.08991857143,1208.25424607143
"lysoPC 19_0",285347.296428571,266987.788392857,193773.984285714,257841.348571429,300330.617678571,381549.305160714,205717.823821429,233684.990357143
"lysoPC 20_4",7750404.18214286,6336154.78392857,7750404.18214286,8413786.19642857,7750404.18214286,8413786.19642857,7750404.18214286,8413786.19642857
"lysoPC 17_0",359016.831160714,311979.460892857,359016.831160714,372047.992285714,285347.296428571,496519.185875,386893.902142857,381549.305160714
"lysoPC 22_6",4262567.43214286,4262567.43214286,3646891.38928571,4262567.43214286,5107607.39642857,5107607.39642857,4262567.43214286,3981165.63392857
"lysoPC 18_0",27030744.1428571,27030744.1428571,32242602.9285714,27030744.1428571,29771910.5178571,29771910.5178571,22976408.6964286,22976408.6964286
"lysoPC 18_2",10316561.6160714,11631902.2053571,13227403.2142857,10316561.6160714,13227403.2142857,13227403.2142857,13227403.2142857,13227403.2142857
"lysoPC 20_0",273842.965982143,332588.803589286,314221.517535714,249827.216160714,404485.834919643,287736.959973214,455019.660625,260422.058214286
"lysoPC 20_2",180852.8255,137903.137857143,148082.963214286,161801.384107143,271658.989642857,174443.509642857,137903.137857143,201258.031607143
"lysoPC 14_0",10821.5161821429,11515.6484035714,11187.2991785714,12252.0707714286,14590.6986964286,10017.8381107143,14251.4973392857,14025.1392089286
"lysoPC 22_0",101877.901339286,92328.8735892857,83724.0643392857,73265.899375,106251.872142857,60928.3265178571,84781.2899285714,79587.1851607143
"lysoPC 16_0",16300016.1428571,20361405.2857143,16300016.1428571,16300016.1428571,20361405.2857143,20361405.2857143,16300016.1428571,16300016.1428571
