"Sample","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243"
"PC 30_0",306250.888214286,243308.448035714,220961.976607143,243308.448035714,266987.788392857,208476.134642857,401213.237982143,276026.942321429
"PC 44_4",9828.88380535714,9064.79783035714,7674.84652875,9366.42718928572,10017.8381107143,5630.22297285714,5380.08657803571,8062.34949107143
"PC 42_2",11324.7492232143,14590.6986964286,8453.61662321429,10821.5161821429,14025.1392089286,16305.6618767857,19915.4671964286,12445.6085892857
"PC 39_2",18589.3386625,30024.804525,22655.337375,25885.5997321429,22655.337375,42740.6879821429,14025.1392089286,31812.2950125
"PC 41_4",16305.6618767857,22655.337375,13482.9624910714,17205.0590267857,12252.0707714286,19054.5808375,23786.4344803571,15000.8127196429
"PC 39_8",2738.26377142857,9366.42718928572,8062.34949107143,7674.84652875,9828.88380535714,8709.31950178571,15000.8127196429,11664.5865464286
"PC 19_2",8182.79665892857,5707.80606535714,8321.50644589286,4129.22620732143,5510.25820196429,6646.52262571429,2962.86339982143,9064.79783035714
"PC 44_12",26496.8920107143,20896.0796607143,36743.522125,35409.6194821429,31812.2950125,31812.2950125,19707.9837678571,46570.3652142857
"PC 40_0",7149.45778035714,2200.30958714286,2524.25251839286,2738.26377142857,4347.66305482143,4565.76887392857,1208.25424607143,3481.14064946429
"PC 42_4",42740.6879821429,23786.4344803571,29256.8306071429,27852.3630714286,42740.6879821429,21395.8974232143,31812.2950125,48140.8671607143
"PC 25_4",7019.53097964286,7674.84652875,10147.4543035714,3367.97632982143,7446.81342910714,4233.94117535714,8709.31950178571,13867.7270535714
"PC 44_8",6295.60251607143,3286.37972392857,3286.37972392857,3904.26020160714,6894.08267107143,7288.34971535714,4440.50417821429,4233.94117535714
"PC 38_0",9366.42718928572,6547.23283035714,7019.53097964286,8568.66695714286,5380.08657803571,2409.38093892857,1429.82686803571,3598.08826178571
"plasmenyl-PC 18_0",919618.595714286,847475.440892857,638831.869375,679997.608267857,599307.431678572,571729.962142857,679997.608267857,599307.431678572
"plasmenyl-PC 38_0",114718.668821429,92328.8735892857,89732.2299821428,93520.8039821429,103280.380357143,66790.6490892857,88251.3293035714,93520.8039821429
"plasmenyl-PC 20_0",54740.5714044643,47864.5904732143,46311.8987223214,53988.692875,21764.0705044643,36078.6226857143,11256.0242008929,39426.5685875
"plasmenyl-PC 40_0",19250.3550410714,11031.9292982143,16062.4849892857,18324.2519410714,18324.2519410714,16990.3754589286,33163.5863571429,16758.3396607143
"plasmenyl-PC 24_0",2200.30958714286,2524.25251839286,2409.38093892857,1208.25424607143,2524.25251839286,3062.60029232143,2853.8806975,2111.11652232143
"PE 36_4",401213.237982143,450520.603928571,271658.989642857,290126.623517857,271658.989642857,342575.355107143,540163.743267857,247227.189464286
