"Sample","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266"
"lysoPC 15_0",29604.2187464286,37709.0024642857,25515.7566642857,31145.2635178571,24045.4217035714,33163.5863571429,29604.2187464286,32697.9834678571
"lysoPC 22_4",80728.0989821429,134721.242857143,112896.958089286,117821.062892857,96672.7195,127190.990535714,187151.798392857,120778.945660714
"lysoPC 21_0",11031.9292982143,12445.6085892857,10480.6037157143,12646.7265160714,11664.5865464286,12252.0707714286,14779.4399142857,10147.4543035714
"lysoPC 24_0",64172.3337857143,97910.0930892857,75446.9514642857,104925.049285714,88251.3293035714,107961.024285714,123774.517142857,103280.380357143
"lysoPC 17_2",2200.30958714286,2111.11652232143,3367.97632982143,3286.37972392857,2623.71107660714,2409.38093892857,2200.30958714286,3367.97632982143
"lysoPC 25_0",3286.37972392857,5276.15300892857,5630.22297285714,4972.19124428571,6074.70763767857,7149.45778035714,5630.22297285714,2200.30958714286
"lysoPC 22_2",3698.57423714286,4129.22620732143,3797.53521178571,4233.94117535714,4972.19124428571,6074.70763767857,7818.80072071429,6547.23283035714
"lysoPE 20_4",393477.473428571,428359.130321429,485844.163392857,466485.172642857,386893.902142857,342575.355107143,359016.831160714,372047.992285714
"lysoPE 18_2",81740.4788392857,106251.872142857,88251.3293035714,84781.2899285714,68428.0165178571,64910.1661964286,70122.0761785714,106251.872142857
"lysoPE 16_0",106251.872142857,96672.7195,129249.328392857,106251.872142857,95086.8434821429,97910.0930892857,82936.7736785714,83724.0643392857
"lysoPE 18_0",143734.935357143,171733.162857143,150075.023571429,180852.8255,180852.8255,169170.56625,166881.198089286,122175.508571429
"lysoPE 22_6",496519.185875,527834.730946428,613608.007821429,554847.643767857,496519.185875,386893.902142857,377003.085,450520.603928571
"lysoPE 20_0",5510.25820196429,6074.70763767857,6295.60251607143,6074.70763767857,7446.81342910714,5083.32325839286,9828.88380535714,6413.77860446429
"lysoPE 19_0",1429.82686803571,2623.71107660714,4677.01265857143,3598.08826178571,2738.26377142857,9518.17948142857,1429.82686803571,4347.66305482143
"MG 17_0",66790.6490892857,65810.4067678571,73265.899375,58039.6899285714,58590.797375,66790.6490892857,55809.6597678571,58039.6899285714
"MG 18_2",4972.19124428571,2853.8806975,6894.08267107143,3698.57423714286,2524.25251839286,4767.35150946429,2962.86339982143,2623.71107660714
"PC 34_2",43196343.75,29771910.5178571,36431957.5714286,32242602.9285714,29771910.5178571,32242602.9285714,29771910.5178571,34589102.4642857
"PC 36_2",36431957.5714286,36431957.5714286,39431359.6964286,36431957.5714286,32242602.9285714,39431359.6964286,39431359.6964286,39431359.6964286
"PC 32_2",220961.976607143,243308.448035714,311979.460892857,295686.620535714,220961.976607143,290126.623517857,335816.517321429,238608.613928571
"PC 38_4",125566.644553571,103280.380357143,151750.858928571,114718.668821429,97910.0930892857,91027.3493928571,89732.2299821428,95086.8434821429
"PC 36_4",27030744.1428571,27030744.1428571,27030744.1428571,27030744.1428571,27030744.1428571,27030744.1428571,27030744.1428571,27030744.1428571
"PC 38_6",34589102.4642857,32242602.9285714,32242602.9285714,43196343.75,39431359.6964286,29771910.5178571,34589102.4642857,29771910.5178571
"PC 40_4",638831.869375,955879.297321429,626634.444821429,788580.424071429,886650.390178571,994300.145714286,919618.595714286,708525.935696429
"PC 36_6",78684.2205,114718.668821429,93520.8039821429,120778.945660714,109734.807660714,123774.517142857,153655.769107143,125566.644553571
"PC 35_2",1662327.25089286,1587400.85357143,1662327.25089286,1662327.25089286,1587400.85357143,1662327.25089286,1830197.00892857,1830197.00892857
"PC 33_2",217027.624642857,212703.797678571,233684.990357143,263002.767857143,243308.448035714,243308.448035714,290126.623517857,201258.031607143
"PC 32_0",2707890.17321429,3981165.63392857,3147640.32142857,3147640.32142857,2707890.17321429,2524491.27857143,2524491.27857143,2707890.17321429
"PC 37_6",63343.01875,89732.2299821428,71418.1367142857,91027.3493928571,77587.5420535714,73265.899375,68428.0165178571,72407.9940714286
"PC 41_6",164340.867678571,112896.958089286,100478.048964286,153655.769107143,155129.416142857,164340.867678571,169170.56625,117821.062892857
"PC 35_4",134721.242857143,122175.508571429,130993.285892857,155129.416142857,153655.769107143,197317.689285714,150075.023571429,139873.235125
"PC 33_0",58590.797375,51078.9281285714,58590.797375,71418.1367142857,38222.1059642857,49173.166625,53084.9719464286,50560.2420107143
"PC 36_0",316463.574178571,372047.992285714,335816.517321429,372047.992285714,359016.831160714,381549.305160714,353551.866446429,208476.134642857
