"Sample","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309"
"PC 39_6",729938.209285714,919618.595714286,638831.869375,847475.440892857,626634.444821429,613608.007821429,729938.209285714,657027.033392857
"PC 34_0",119141.037589286,148082.963214286,100478.048964286,193773.984285714,247227.189464286,252427.242857143,159336.401428571,120778.945660714
"PC 39_4",638831.869375,583411.744732143,518741.019642857,485844.163392857,508610.486392857,527834.730946428,443034.381428571,583411.744732143
"PC 40_10",73265.899375,79587.1851607143,80728.0989821429,78684.2205,42740.6879821429,50560.2420107143,37210.6875,77587.5420535714
"PC 42_6",132752.419464286,197317.689285714,171733.162857143,148082.963214286,151750.858928571,187151.798392857,169170.56625,180852.8255
"PC 31_0",13696.6282857143,16990.3754589286,11031.9292982143,15248.5211732143,22996.4870714286,16562.38995,15248.5211732143,18324.2519410714
"PC 35_0",42740.6879821429,42270.1891785714,32697.9834678571,35812.2215678571,53084.9719464286,27852.3630714286,20466.9086928571,34815.1407125
"PC 30_0",150075.023571429,180852.8255,205717.823821429,187151.798392857,122175.508571429,125566.644553571,187151.798392857,190104.917589286
"PC 44_4",13160.214875,7446.81342910714,11664.5865464286,4565.76887392857,5707.80606535714,10480.6037157143,4677.01265857143,6413.77860446429
"PC 42_2",17470.1654285714,15837.7024571429,14590.6986964286,9198.65279285714,6413.77860446429,14590.6986964286,19508.9562589286,8182.79665892857
"PC 39_2",19707.9837678571,24338.8607678571,16062.4849892857,11664.5865464286,27516.2858410714,29604.2187464286,34346.9940660714,33163.5863571429
"PC 41_4",26171.2539482143,20466.9086928571,23535.6674,19915.4671964286,25187.8067964286,16990.3754589286,14429.5051482143,17205.0590267857
"PC 39_8",8062.34949107143,6295.60251607143,4677.01265857143,7288.34971535714,12646.7265160714,6074.70763767857,8885.06739660714,4859.26014035714
"PC 19_2",8709.31950178571,13482.9624910714,8321.50644589286,8062.34949107143,10017.8381107143,8885.06739660714,2853.8806975,7446.81342910714
"PC 44_12",32697.9834678571,26496.8920107143,19508.9562589286,19508.9562589286,20896.0796607143,17470.1654285714,26171.2539482143,16758.3396607143
"PC 40_0",4440.50417821429,8709.31950178571,5830.36731714286,5510.25820196429,2853.8806975,1958.08991857143,7149.45778035714,5932.3872675
"PC 42_4",42270.1891785714,64910.1661964286,41788.9912446429,33964.91875,52560.8878035714,54373.6077857143,26837.4808035714,48620.6934642857
"PC 25_4",5830.36731714286,9666.19391607143,5276.15300892857,13482.9624910714,11324.7492232143,4859.26014035714,5707.80606535714,11835.7087017857
"PC 44_8",4767.35150946429,5630.22297285714,2409.38093892857,3904.26020160714,6295.60251607143,5380.08657803571,4440.50417821429,7149.45778035714
"PC 38_0",10296.9797839286,8568.66695714286,11515.6484035714,4129.22620732143,4440.50417821429,8062.34949107143,9518.17948142857,12820.3079732143
"plasmenyl-PC 18_0",281397.249821429,414307.393392857,306250.888214286,377003.085,372047.992285714,205717.823821429,230115.201964286,290126.623517857
"plasmenyl-PC 38_0",114718.668821429,91027.3493928571,107961.024285714,80728.0989821429,95086.8434821429,104925.049285714,107961.024285714,161801.384107143
"plasmenyl-PC 20_0",20584.3950607143,28316.0360026786,23115.1019,28316.0360026786,25700.6781982143,15549.8426964286,11256.0242008929,23661.0509401786
"plasmenyl-PC 40_0",33163.5863571429,18146.6995535714,27166.2703839286,19054.5808375,16062.4849892857,19054.5808375,22344.0875178571,30024.804525
"plasmenyl-PC 24_0",1583.11261982143,2111.11652232143,2301.18930267857,1208.25424607143,2200.30958714286,1208.25424607143,2200.30958714286,1958.08991857143
"PE 36_4",322976.941964286,348602.556071429,285347.296428571,316463.574178571,180852.8255,281397.249821429,247227.189464286,300330.617678571
"PE 38_6",428359.130321429,372047.992285714,353551.866446429,414307.393392857,271658.989642857,443034.381428571,414307.393392857,421091.437803571
"PE 34_2",87020.9964285714,122175.508571429,103280.380357143,111261.935339286,116331.312910714,150075.023571429,263002.767857143,125566.644553571
"PE 40_6",134721.242857143,117821.062892857,129249.328392857,127190.990535714,77587.5420535714,132752.419464286,117821.062892857,106251.872142857
"PE 38_4",788580.424071429,753683.109821429,753683.109821429,679997.608267857,466485.172642857,638831.869375,679997.608267857,816021.157142857
"PE 34_0",19054.5808375,35812.2215678571,17205.0590267857,34815.1407125,64910.1661964286,58039.6899285714,35409.6194821429,19915.4671964286
