Lipid	Adduct	RT	Class	CV	Ctrl_BKS_2202	Ctrl_BKS_2203	Ctrl_BKS_2206	Ctrl_BKS_2211	HF_BKS_2214	HF_BKS_2216	HF_BKS_2217	HF_BKS_2218	Ctrl_BKS_db._2225	Ctrl_BKS_db._2226	Ctrl_BKS_db._2227	Ctrl_BKS_db._2231	HF_BKS_db._2239	HF_BKS_db._2241	HF_BKS_db._2242	HF_BKS_db._2243	Ctrl_BL6_2249	Ctrl_BL6_2250	Ctrl_BL6_2251	Ctrl_BL6_2252	HF_BL6_2260	HF_BL6_2261	HF_BL6_2262	HF_BL6_2266	Ctrl_BL6_db._2273	Ctrl_BL6_db._2274	Ctrl_BL6_db._2275	Ctrl_BL6_db._2279	HF_BL6_db._2286	HF_BL6_db._2287	HF_BL6_db._2288	HF_BL6_db._2289	Ctrl_BTBR_2292	Ctrl_BTBR_2293	Ctrl_BTBR_2297	Ctrl_BTBR_2298	HF_BTBR_2306	HF_BTBR_2307	HF_BTBR_2308	HF_BTBR_2309	Ctrl_BTBR_ob._2316	Ctrl_BTBR_ob._2317	Ctrl_BTBR_ob._2318	Ctrl_BTBR_ob._2320	HF_BTBR_ob._2329	HF_BTBR_ob._2331	HF_BTBR_ob._2333	HF_BTBR_ob._2334
DG 44:8	 [M+NH4]+	8	DG	25.21	7468.255538	18272.21509	5632.606012	3151.199601	11538.34448	10369.9721	18506.52475	34563.61	4352.781328	11883.96748	28191.16865	15084.58648	12422.83488	18477.28958	29981.44294	17485.82298	17418.82493	5659.467664	12592.28855	20700.83148	33759.23235	34426.59053	9163.417117	30907.92458	16325.96341	18212.45301	4618.280345	13573.97961	8333.304731	12561.81672	19003.96704	16716.2536	5502.295007	3331.15982	6692.033458	8303.654544	28313.69341	26227.62338	33672.97269	6934.69727	31613.06268	8795.606458	4616.633646	5118.848612	15479.78469	17758.24768	37374.65717	30452.35761
TG 61:3	 [M+NH4]+	11.47	TG	25.47	6550.709749	8837.441507	39221.16008	3980.05951	5395.432853	4794.653919	6741.828802	7200.05955	10611.23571	40289.32947	13219.6483	14427.02368	3501.545699	18670.55685	14215.37989	51630.56766	38424.29226	26688.30675	26716.23914	18979.31917	26397.21204	109952.076	20868.93046	41490.88906	23691.23157	52215.75067	49340.1129	20739.00043	29007.73105	32948.93216	14640.46339	70593.73309	53620.72286	40281.67002	14995.27203	23467.574	33973.02992	23460.30827	5849.624885	15866.74002	31989.43422	33735.21714	13573.14567	22885.69583	6761.14296	9944.426525	58788.88568	13299.19334
DG 42:1	 [M+NH4]+	9.67	DG	25.62	7649.836629	10582.83659	3040.374258	4650.961164	2375.548135	4452.64026	19748.98187	3341.422759	11355.51342	29500.23974	24349.95593	21832.3003	5005.179695	8382.449732	5432.968912	771.8563585	17793.32121	7407.199626	5259.822879	10455.98073	2772.593703	5844.730092	2861.207775	3757.980688	13746.15769	10179.41989	15565.82875	5243.582143	24004.69039	8763.241564	8306.231197	2410.985929	9328.498026	7201.554709	7188.771803	6669.046019	9864.455763	8011.299612	7736.400791	5920.803291	7546.517998	10191.98455	7375.724941	5679.194955	10649.42812	9713.113443	24767.65837	9322.880094
TG 62:4	 [M+NH4]+	11.36	TG	25.71	20213.06735	23837.75304	193498.1812	9881.662101	9967.073386	16136.8249	17940.5158	21021.85176	23946.07885	124892.5771	52185.66491	34311.36855	8799.237626	45908.3256	48470.82993	96316.03314	86650.56704	69885.03216	77807.41684	38126.37062	76179.65406	304355.5749	105795.8455	146813.0911	78409.26906	108040.1365	95799.8632	32468.9594	86518.3967	74401.47542	48838.83257	339250.7296	68322.27656	72857.18886	31963.58319	22300.72233	97427.11989	82586.50136	16977.82508	16855.2845	100167.3051	43172.01978	10957.97713	34966.21979	16584.83594	36622.44893	222740.4797	37236.75481
DG 35:4	 [M+NH4]+	7.07	DG	25.79	40295.19657	83657.97986	72266.87513	34295.31942	91435.38514	28736.1814	38017.03856	62051.72293	50962.33357	78798.32049	57729.64592	33185.52812	37533.73475	51058.22398	88413.90428	106630.0932	23584.67734	69054.09717	58459.81667	32811.36699	84588.42127	99816.74123	36599.27107	192984.9381	27001.62766	13163.53286	6546.611635	13693.39723	26279.15448	39736.66992	41385.81072	121895.4142	18801.65921	30902.47668	18262.90819	10887.2167	87887.73871	22185.68328	34569.71278	8373.267962	68363.53196	12301.68374	10891.40006	11852.44315	29833.35516	41386.63845	59974.35383	39583.54048
TG 59:5	 [M+NH4]+	10.92	TG	25.89	13405.59685	25561.34385	26949.18909	3902.55196	17951.5078	36760.11172	11870.84496	31335.64228	15085.12302	29853.32277	22775.10685	15717.50148	20280.32222	24899.38117	23742.67622	90805.09605	17164.34106	30899.60965	21446.64122	15207.0297	33950.00451	30716.66493	19873.29982	45735.66513	28759.27234	43589.39696	15577.92759	14928.44827	76400.17979	34474.09756	25885.67239	45919.13625	13779.16009	20230.20122	7808.628887	5381.90557	62001.72519	25620.55519	48650.41191	7055.07665	66887.66848	26977.40437	6842.392899	14604.04669	18115.97794	43740.24272	87612.43597	27058.38925
PE 34:6	 [M+H]+	5.19	PE	25.95	2201.841584	1765.939287	4486.778813	1219.716317	289.0952722	4819.453967	2362.584307	1404.442858	1059.198952	2930.075445	2202.208352	2176.598865	481.6954005	6239.960706	5718.913102	1763.974672	39022.64614	39340.90616	8165.980674	2524.080968	6547.253918	3813.717428	1948.194363	2915.541133	716.9200736	5579.079819	4113.310654	6849.825061	2337.050513	5951.593176	1058.741898	2417.568489	25687.13498	7706.045867	1956.311351	3038.068277	998.5163775	5576.250338	746.1243065	10083.08549	3290.127082	7548.397316	1561.525664	3718.502696	105.5610682	1107.197562	6500.46153	3193.358516
PE 35:3	 [M+H]+	6.28	PE	26.49	11045.4466	6403.887928	15122.78213	13012.7415	25067.97116	23919.04423	16922.49274	10859.59636	5878.555969	5613.147643	20719.28659	9089.546946	26273.57252	11259.62512	8365.827024	11032.98647	2879.915811	6044.975132	3716.520066	4566.944955	4441.825121	2728.899773	1758.894322	4588.39495	6051.287734	10015.54315	6349.044805	2463.537998	18562.36919	7474.477344	14768.07801	4723.300916	5188.910809	3210.734709	7879.267213	1529.502023	7359.761389	15604.22891	8860.296254	7954.133153	10108.49742	2209.066971	4711.918553	656.4443176	9085.273176	9293.020607	4216.241825	8273.38616
plasmenyl-PC 42:5	 [M+Na]+	7.46	plasmenyl-PC	26.96	388.8026301	2442.467454	1599.725961	1763.424885	1679.151642	1539.655069	981.8810795	1298.773492	1691.258178	1061.295671	2235.699376	1148.080259	1569.80625	2443.680243	8045.091556	181.5608868	5051.304966	5237.01484	4841.549792	1968.346107	3946.065458	1390.036371	2653.531747	1442.947327	2542.198799	2995.40861	2891.141358	3110.443782	262.8285443	2243.575101	4156.315707	2620.742658	8695.291601	679.1045673	796.2571523	1094.695949	2878.929207	3820.096655	1558.266064	1192.939554	2726.972114	5048.441389	1535.080628	1538.643471	484.4759005	2804.263675	4169.472783	2594.974203
DG 39:1	 [M+NH4]+	9.09	DG	27.01	9460.972559	9905.864668	6442.541917	4458.228794	5154.059202	4190.312991	12545.93491	7959.714253	14532.08241	19756.50419	13345.53045	6780.788639	6101.196115	12914.23149	8266.049335	14048.17354	16278.21493	13245.35011	10840.62006	6381.196272	17007.41154	15630.19169	10175.66025	25798.80238	5305.443974	11535.93304	11613.16678	31802.62165	4804.008597	9060.906961	13207.21938	17668.31142	15289.55277	29338.89348	17390.82097	15974.99075	16571.08608	10966.59652	5972.162375	14133.94753	12039.52405	33630.74673	18349.63468	21443.23489	12485.98355	5916.70551	20942.33006	5617.734497
