Class	Carbon	Saturation	Adduct	RT	Class.1	CV	Ctrl_BKS_2202	Ctrl_BKS_2203	Ctrl_BKS_2206	Ctrl_BKS_2211	HF_BKS_2214	HF_BKS_2216	HF_BKS_2217	HF_BKS_2218	Ctrl_BKS_db._2225	Ctrl_BKS_db._2226	Ctrl_BKS_db._2227	Ctrl_BKS_db._2231	HF_BKS_db._2239	HF_BKS_db._2241	HF_BKS_db._2242	HF_BKS_db._2243	Ctrl_BL6_2249	Ctrl_BL6_2250	Ctrl_BL6_2251	Ctrl_BL6_2252	HF_BL6_2260	HF_BL6_2261	HF_BL6_2262	HF_BL6_2266	Ctrl_BL6_db._2273	Ctrl_BL6_db._2274	Ctrl_BL6_db._2275	Ctrl_BL6_db._2279	HF_BL6_db._2286	HF_BL6_db._2287	HF_BL6_db._2288	HF_BL6_db._2289	Ctrl_BTBR_2292	Ctrl_BTBR_2293	Ctrl_BTBR_2297	Ctrl_BTBR_2298	HF_BTBR_2306	HF_BTBR_2307	HF_BTBR_2308	HF_BTBR_2309	Ctrl_BTBR_ob._2316	Ctrl_BTBR_ob._2317	Ctrl_BTBR_ob._2318	Ctrl_BTBR_ob._2320	HF_BTBR_ob._2329	HF_BTBR_ob._2331	HF_BTBR_ob._2333	HF_BTBR_ob._2334
PG	32	0	 [M-H]-	5.86	PG	13.85073039	50359.56377	59616.53138	27525.54585	28818.97493	34072.57954	12278.65905	29881.9641	18438.79162	55599.26635	72346.85966	51634.56976	74353.74205	15866.61368	28506.99211	18525.2929	20786.33478	31720.38671	31333.00525	38940.96644	26544.72708	18509.69413	19488.85274	13607.77081	19329.51174	38204.22269	46198.61752	77344.13472	58754.74013	16106.48862	27412.86269	21348.85727	18686.46248	55715.08525	71489.03639	37351.01168	52225.79874	30949.16216	25693.7504	16560.59783	27715.55189	18150.62503	70407.65385	66707.571	43435.77346	19277.61216	18872.86391	22266.17809	26327.07455
PG	37	4	 [M-H]-	6.31	PG	13.93335091	37336.30092	50986.0088	28554.86504	47552.92553	51589.53354	41329.03055	111969.5936	85712.65696	41102.05936	20539.93918	74487.8555	66471.48651	24531.30895	63118.22675	13225.63366	44693.10508	62348.62229	28245.21529	24389.66487	53363.62255	44314.44565	28487.6743	16491.46767	18867.23595	52158.55809	68061.73768	33414.58513	38409.50031	94977.80126	47265.53262	73312.31916	44186.816	57755.29672	79517.47948	37137.51198	47293.16734	29565.22959	83424.331	59507.06545	18179.60419	49875.10874	55977.58221	25520.61618	36417.61794	62537.12871	22836.82872	73532.57514	43368.25177
PA	43	4	 [M-H]-	6.39	PA	13.95575873	578063.6389	819975.8898	714222.3574	595702.293	604721.325	489132.4859	555910.132	603081.7448	663942.7145	674043.8869	824703.1987	815170.834	290536.7486	597566.6152	438986.6233	745594.9395	953835.2864	688631.365	688336.7422	921596.8626	848624.8807	901230.1475	1263050.098	717770.591	661832.6471	710025.6152	777552.8047	828510.5786	614204.0203	637514.6553	611608.0152	751386.8982	923385.6233	675875.3576	833240.2285	702342.6183	668573.0272	511435.0588	798370.3185	748029.977	822486.3183	850923.429	621015.9421	691388.4772	568572.0594	690381.4226	589488.5303	440996.4479
PE	37	6	 [M-H]-	5.97	PE	14.06928022	270941.7143	503939.3833	382013.9867	348211.3207	478020.0427	423973.2136	1132605.163	378650.1053	554409.9643	309689.3471	709991.5502	233201.6642	248818.6601	652688.3023	309015.5409	429193.6481	616006.8058	467371.7731	385268.0136	539528.8055	533840.9098	553992.2466	175826.2475	417994.2429	218967.2554	295270.0919	158458.9192	185285.3753	579405.1837	309477.0731	493472.1543	525144.6389	310314.0904	42157.36861	271280.8037	146996.4239	306048.0439	374791.3556	465680.6605	256605.4325	380868.2995	300794.4126	323491.014	244534.3446	479639.8229	714078.9233	337133.9778	290660.0924
PA	36	2	 [M-H]-	5.89	PA	14.07049304	336283.1661	1004260.774	694392.7413	298561.3003	742623.3151	536022.5745	1346759.909	169032.5456	1139903.691	548281.6684	942980.0961	278595.6703	394758.1323	884660.4359	306679.4581	492007.0304	729798.0256	606225.6163	470458.5655	614143.0901	511415.743	600394.5621	197871.9235	357266.608	225780.5139	483141.0783	204907.9167	294553.6403	598141.6302	243126.2797	743481.1302	710612.597	392721.9431	100163.9689	352060.7359	150500.5814	227883.3192	365013.0586	358908.5883	409176.5083	369204.6272	319867.9861	455492.0709	274154.4092	684854.2283	973836.6873	406366.3753	453970.6738
PC	38	2	 [M-Ac-H]-	7.32	PC	14.23928955	349752.1931	364169.6694	401346.7243	236585.6579	224860.7368	406222.6402	746918.9876	325714.2321	343388.9948	631506.9242	665014.07	536548.4206	297024.0164	569071.0584	457297.277	443495.8524	565836.5498	547274.7885	658313.2532	420673.51	469448.0012	627355.1544	277836.613	724516.9918	598959.3223	617314.1928	242973.9176	943158.5667	1267552.25	975968.0204	788299.5246	715134.4439	489297.3681	166809.7789	448800.6679	463270.0415	382177.5838	530929.6072	527662.7562	628877.6408	481363.0865	787509.2539	590462.0293	599201.2181	687028.9568	665001.1932	915489.7915	529466.0293
plasmenyl-PE	38	6	 [M-H]-	6.58	plasmenyl-PE	14.33534843	1942790.842	2215869.453	3242349.414	1872923.545	2505808.665	3661602.709	4806874.826	2488231.867	2085241.268	2748626.331	3888331.472	2783938.802	1012741.617	3261823.737	2533988.35	2655334.238	3984938.246	3242445.012	3314941.593	3889779.2	3577178.664	4242056.551	4808482.952	2935631.146	3645273.162	2422377.31	1852503.718	4030199.655	3522285.933	2513859.523	2042860.184	2253406.561	3257883.918	1362116.862	2565540.458	2913675.602	2102149.258	3036015.323	3378867.873	3011811.983	3452842.058	3304785.365	2688207.375	3080550.58	2281985.055	2922679.558	3545494.862	2290352.765
PC	38	6	 [M-Ac-H]-	6	PC	14.39076126	7106039.173	9033358.333	10181024.49	10298293.58	9315874.8	9559761.847	13860321.53	14612461.43	7996655.879	9127788.66	12777362.47	12143872.73	7804510.207	12893841.91	12053120.01	12700077.53	13530563.55	11315797.09	10504965.74	13781721.81	12838922.97	11233456.81	7621217.394	10040933.3	10658576.09	10063844.52	6230156.08	9902162.508	15408109.77	10130850.95	12562565.93	13065240.14	12811826.01	3427261.281	10019957.89	11386141.19	13773638.92	11530322.5	13085469.08	10869742.25	12745604.11	12902674.47	11047659.31	11869081.54	12289474.55	13707403.46	11935365.15	11643894.99
PE	40	6	 [M-H]-	5.87	PE	14.46231497	1086453.23	1071297.785	1432989.157	1203879.62	1161196.106	1079934.731	1968088.92	1731853.137	1184630.712	1248263.383	1712172.49	1030589.641	909783.0465	1568472.197	1591796.22	1833061.195	1621037.722	1007007.168	1327788.245	1513249.861	1402944.461	1557185.649	942015.5077	1025769.2	1257225.653	890557.7552	924228.7486	1035573.043	1224928.702	1355343.814	1331388.179	1196611.747	1016104.939	35877.94565	1036790.17	888412.6913	1513323.404	1286305.4	1412184.75	1147058.527	1584144.564	1095946.401	1039455.914	1226605.607	1034953.149	1618510.629	1503078.735	1312604.399
PE	36	4	 [M-H]-	8.04	PE	14.73237422	65667.90527	123729.6615	51877.00198	41802.88848	33946.80683	100042.2461	119359.6404	74192.72038	68014.38782	83235.51543	74425.796	59120.36508	8107.783647	64956.28138	26664.92145	40858.83041	90585.26222	50847.11484	37710.62349	43659.87678	50888.33899	69119.41928	44452.06154	34325.86799	48134.33141	85131.14159	60586.84327	63750.49251	64290.61655	63335.45274	37088.68973	31638.05511	78820.77412	114939.8087	53172.2886	60919.95705	77720.76934	29564.14184	86496.84211	50834.75675	95819.19565	95463.96207	33835.6364	61602.96328	40918.82992	60677.97416	51989.39353	28593.11073
