Lipid	Adduct	RT	Class	CV	Ctrl_BKS_2202	Ctrl_BKS_2203	Ctrl_BKS_2206	Ctrl_BKS_2211	HF_BKS_2214	HF_BKS_2216	HF_BKS_2217	HF_BKS_2218	Ctrl_BKS_db+_2225	Ctrl_BKS_db+_2226	Ctrl_BKS_db+_2227	Ctrl_BKS_db+_2231	HF_BKS_db+_2239	HF_BKS_db+_2241	HF_BKS_db+_2242	HF_BKS_db+_2243	Ctrl_BL6_2249	Ctrl_BL6_2250	Ctrl_BL6_2251	Ctrl_BL6_2252	HF_BL6_2260	HF_BL6_2261	HF_BL6_2262	HF_BL6_2266	Ctrl_BL6_db+_2273	Ctrl_BL6_db+_2274	Ctrl_BL6_db+_2275	Ctrl_BL6_db+_2279	HF_BL6_db+_2286	HF_BL6_db+_2287	HF_BL6_db+_2288	HF_BL6_db+_2289	Ctrl_BTBR_2292	Ctrl_BTBR_2293	Ctrl_BTBR_2297	Ctrl_BTBR_2298	HF_BTBR_2306	HF_BTBR_2307	HF_BTBR_2308	HF_BTBR_2309	Ctrl_BTBR_ob+_2316	Ctrl_BTBR_ob+_2317	Ctrl_BTBR_ob+_2318	Ctrl_BTBR_ob+_2320	HF_BTBR_ob+_2329	HF_BTBR_ob+_2331	HF_BTBR_ob+_2333	HF_BTBR_ob+_2334
CL 72:2	 [M-2H](2-)	7.60	CL	25.47011007	9242.934902	12863.93078	17213.2384	20186.68912	20215.54107	10231.95344	10621.76038	12511.19309	12566.16126	9550.017333	9332.027855	6198.533759	5528.448802	25001.45923	24047.50227	8909.220137	14992.47346	23866.58815	15006.00537	11399.15575	7093.582188	21603.62899	20044.06801	34604.12496	25202.69108	6647.214278	17722.40516	12912.52006	8174.00099	5600.528541	19740.38497	11071.73461	7291.195604	2174.400572	7459.718029	12552.01502	7364.452263	14005.23895	7243.157186	2811.036631	14964.33383	5239.600627	16306.47502	6319.873595	7126.719907	8070.230841	14397.65613	9468.278343
CL 72:3	 [M-2H](2-)	5.95	CL	42.7546165	14806.67301	31790.76513	18179.10856	19076.47506	22883.39114	13828.56687	21625.00222	14699.55035	38929.79059	13221.3919	35336.97202	14814.79399	12015.55608	14786.79353	28062.21915	40504.88774	18617.44009	11090.88386	11417.40874	25315.1636	18042.96171	13356.4045	12229.54703	10736.80453	9979.770983	24571.54027	5132.200866	14048.60842	23536.13976	8652.649782	32219.84769	9513.909392	15189.9862	8907.550554	16890.91057	16372.13598	19675.97035	12281.87482	22114.10235	17449.50846	22579.65653	18077.00739	21289.48965	17089.63914	22954.41726	11077.21234	9342.736164	17401.21426
CL 72:3	 [M-2H](2-)	7.53	CL	17.75823188	29837.98001	10039.91153	45625.02583	20168.61065	25596.65412	30449.4472	29414.44593	30280.72074	27987.34945	35408.35676	26968.34726	12331.93625	15268.16839	45424.36722	65454.22732	31735.37639	38129.92441	38118.67849	32104.21172	36240.29142	37100.66093	89262.76928	43139.88452	49429.92004	41626.30057	18094.34088	26765.8738	34593.33502	14462.72019	26369.06551	35147.32612	41289.83863	27269.04463	8363.663783	18363.04711	16784.58816	31980.6199	39023.69744	23826.38763	17019.91305	41043.33031	22946.1192	17505.61741	19644.61872	21944.1315	29804.42305	35786.74044	34933.51531
CL 72:4	 [M-2H](2-)	7.33	CL	42.45702044	7204.249471	4555.575312	5977.172214	8032.129107	3977.535975	5346.171305	6462.874409	11130.1779	7341.762993	6848.627673	10719.15522	2394.248756	3347.671525	18988.28581	23306.28975	5322.22112	11730.1415	16543.25915	12173.62546	21401.43725	18994.81319	38705.71072	20193.87059	44051.13277	16333.10034	4621.221398	6304.265697	12509.23563	4889.313483	8942.283901	14847.29905	15943.62545	6179.905538	3370.27598	3471.793564	2032.14631	13696.10408	8550.43878	14409.53969	5975.36956	23776.91022	2971.364742	5135.982983	9875.328764	22577.53349	10509.49817	23628.71649	13461.52064
CL 72:4	 [M-2H](2-)	9.69	CL	13.65691912	37814.18321	54589.97293	17930.52496	4107.450012	34168.49945	61963.52534	62029.93514	17081.68988	17165.80465	31282.68024	19525.22772	26028.25318	3910.281851	36078.72849	17057.0315	17322.54365	43438.38362	41599.7041	25323.79474	45886.37471	14103.08975	18830.68896	5216.202993	26688.14494	48326.48548	50845.15463	31783.50146	27814.4038	67360.98412	54249.70861	15245.18016	21284.61186	45620.06648	56918.78887	15650.01432	35866.508	28428.28302	42995.06916	49877.49878	25070.11015	45410.0629	26854.5589	14249.0024	22246.12723	10487.81224	37898.78246	38110.72265	19564.77708
CL 72:5	 [M-2H](2-)	5.90	CL	31.59892915	124310.9568	177390.1188	225753.2283	139125.059	139943.1849	114009.0676	137959.5374	119396.571	253221.7325	103124.1569	149383.6749	117894.0567	99407.99341	132922.0454	110764.1534	181137.19	163284.6858	148248.0202	131825.5091	150244.3653	135299.1471	190415.5253	106085.7925	127274.3471	79599.30239	111245.5006	100870.8074	93560.85544	155414.2628	100747.4522	154681.7766	167907.7159	140206.1368	51965.28795	146001.1771	68497.08254	72092.27449	82980.95389	118012.1736	141341.2142	115332.0559	121263.7144	163323.0628	127306.9246	157278.6777	154307.607	61331.73946	67851.56889
CL 72:6	 [M-2H](2-)	9.32	CL	8.846770295	467750.9243	616780.0988	374561.511	224512.6465	420146.8914	243777.0387	408172.1505	288325.3234	479015.1498	562605.1009	435329.6735	419426.598	141569.189	340427.2465	310198.0599	297890.646	501023.0215	505740.8456	337188.7586	481142.7952	280444.9103	489337.7984	527547.3919	607511.2381	401550.9189	570298.9189	429067.0337	311558.1103	330040.0791	300756.3659	275551.4983	267663.2259	692395.5281	548800.0973	375581.9687	482106.5102	447493.9749	419438.2721	350876.9488	492866.938	520112.4737	649498.5252	373744.9736	307820.6232	290563.9101	417228.0648	309557.2274	312996.89
CL 72:7	 [M-2H](2-)	9.13	CL	17.87560682	824877.3917	1108932.662	799514.4206	440277.7219	1158871.51	602230.8365	903103.5618	730673.1659	826328.9588	1058510.306	801117.3173	714853.773	332986.3775	842778.8995	596941.9163	772451.0773	602238.251	739624.1588	520783.5485	761754.0324	607206.1166	944807.6312	716926.9059	1182420.888	614896.8162	920969.8581	604061.4729	396130.8527	709020.1539	614465.2442	756496.6409	684739.9832	994067.3342	811795.9157	650025.7981	632875.5498	1181297.664	835055.7	986546.0775	627246.7086	1079068.446	869013.7667	514152.415	490097.1768	740522.8377	979970.5683	688019.1219	588550.2468
CL 72:8	 [M-2H](2-)	6.73	CL	20.6350038	8724.602726	8679.178817	24261.13038	16546.86193	14950.11313	21754.10198	14537.99542	25833.56035	18658.58474	10003.90378	26667.2334	18664.0163	12489.43204	30691.18475	15248.99105	20978.03555	25127.90245	24718.34862	18254.00174	18477.16382	22803.82883	27576.24386	19161.77716	24427.15098	20957.45164	21987.01308	25900.94316	19610.58631	19872.2186	29278.9481	26102.90221	20551.94238	17962.89875	10202.4684	16713.46106	21678.31009	26500.58677	18361.87243	33332.16064	23461.47543	23051.56282	14522.98639	17215.06814	18170.35287	21915.96885	22135.38999	18105.38604	15407.12032
CL 72:8	 [M-2H](2-)	8.94	CL	13.21869485	578332.5258	570002.9784	630917.3704	213256.1481	769082.4458	744428.4037	1427173.059	640489.0567	492059.9595	705822.2206	700602.5061	605957.7007	253369.1104	1214664.349	433145.4826	468189.7947	309120.0681	531577.4214	449593.5821	522330.0654	435596.4195	553536.2712	221183.9832	517784.7863	480736.3093	373370.6997	332107.8452	191210.8367	1024911.228	737461.7088	736953.3374	438288.7524	474605.7642	89096.20262	314732.3351	322275.9998	738522.2983	874629.9094	867489.0814	237040.3299	660867.4239	333461.7975	246582.7752	128995.7228	481143.2852	806281.243	878480.1856	567720.9019
CL 72:9	 [M-2H](2-)	8.81	CL	12.4997707	44821.36544	71637.68138	23435.59757	18191.03314	42898.33127	58838.71726	98967.93181	32264.6564	49593.07867	88105.26724	51024.96073	29916.34988	5647.01152	38697.84595	7572.019259	23803.9796	33816.75418	25160.56831	18517.14303	34509.05152	11991.03221	13497.60594	3433.649692	10358.55124	21671.17079	40918.84956	12643.42816	11684.66685	42544.19733	26032.5628	29822.5906	17111.04655	37020.07973	18051.03205	13451.64213	18782.96779	44675.0403	36933.7815	46893.80205	13459.64432	18568.5822	26623.84648	11887.86157	6673.700957	16748.80085	44286.68283	27350.35941	15558.90825
CL 74:1	 [M-2H](2-)	6.70	CL	27.38888248	391628.3977	500726.6529	700182.8208	457576.9209	324880.1839	364397.9909	415080.6476	429230.7244	375669.4608	414695.0373	637272.1871	486829.969	462241.2789	710517.8259	405473.8674	470312.5522	596203.6879	473569.8271	398624.8598	421786.9982	505703.0429	494255.8985	325883.1695	518700.8599	435111.9882	508879.8863	831617.9188	445150.2329	495629.2505	440373.995	449378.5638	351673.7197	572675.7849	200872.1369	553444.0208	404652.4445	255416.4205	318347.1025	396607.0477	488335.4895	338881.0954	449881.931	507066.6534	532172.9614	277709.6787	378816.2384	376466.7202	247569.6663
CL 74:10	 [M-2H](2-)	8.92	CL	18.23653077	58921.11204	97994.54815	19981.09816	21899.91975	50310.60581	43786.23262	82478.19618	44311.99042	39242.71724	76091.76492	47919.48464	49630.13072	8551.055567	36218.08086	7232.950636	20942.89937	51964.10055	34994.63304	34008.27826	58322.60026	21207.54516	16686.83015	10692.96181	20750.07495	51517.43207	63696.11846	20908.59853	33077.7889	57098.94603	23828.08335	31940.22863	20741.83255	80300.74862	71168.35315	23294.19872	29007.43521	51164.55577	36254.15015	42847.74226	40877.24762	26159.09128	49978.79412	24611.19006	17837.46314	28476.74869	40940.14364	24431.16985	24775.07104
CL 74:11	 [M-2H](2-)	8.82	CL	18.76657368	12768.70593	27582.84812	6472.731582	6508.418734	3356.45761	1129.657059	8046.319321	4546.004749	9282.387182	10103.97816	12928.52123	10840.24041	395.4020089	4225.145139	1824.431225	938.4695718	15326.74189	11055.28327	9908.649878	12221.55219	5790.338065	3652.417152	2021.067837	5516.347429	8160.086168	11744.37227	4812.067742	6539.211748	4655.36974	2502.750149	3483.893417	3342.561753	19027.49053	9768.650145	8146.78199	9703.0036	7284.47431	4485.301056	4236.079643	12671.54835	5226.980274	8431.948194	8930.792214	3262.12719	3623.905665	4763.429726	4001.833105	3940.301851
CL 74:2	 [M-2H](2-)	5.85	CL	21.33057767	10704.46575	27964.56648	8439.504733	7832.027679	7708.454417	7272.253572	23572.31695	9573.981887	13690.84742	19234.95991	15715.60549	19214.53718	7210.126023	10697.84613	11920.7455	5574.162568	8791.059738	5703.976783	6144.953404	8904.326848	7634.246651	8157.619206	186420.5378	210246.453	15271.40399	28918.09778	11996.05299	17157.9886	10015.27288	11099.2055	10400.54827	8118.132795	13043.62979	10318.60446	11663.18165	9454.223568	8851.622253	9259.90762	3497.297665	19064.42115	7993.394365	18639.38942	12759.01166	13405.69597	7783.43979	15931.82389	11499.92808	7032.948181
