Sample,Ctrl_BTBR_ob._2316,Ctrl_BTBR_ob._2317,Ctrl_BTBR_ob._2318,Ctrl_BTBR_ob._2320,HF_BTBR_ob._2329,HF_BTBR_ob._2331,HF_BTBR_ob._2333,HF_BTBR_ob._2334
Label,CT,CT,CT,CT,HF,HF,HF,HF
PE 23_4,2931.575138,5651.645311,5876.33717,3259.440233,4912.784497,3560.774964,3766.694193,2905.640596
PE 40_2,27804.34076,28816.39338,34680.75675,26458.05146,33353.91111,19885.58665,20470.26498,24580.71733
PE 40_4,32089.70639,10824.47854,24123.14184,23062.94212,29114.57555,24942.44013,25252.55163,22880.89744
PE 17_0,2133.381711,4955.023533,4602.288706,3501.577631,1836.511721,2995.122344,2694.215394,1194.49044
PE 35_2,6932.82616,6517.755259,7001.843942,3987.494108,8046.838572,7200.131385,5244.072797,9337.008436
PE 38_6,104345.6196,91685.51901,160819.3174,106373.5834,109969.6471,79906.4642,132184.5353,111645.8634
PE 44_4,18001.09703,18758.21968,17862.50742,15196.55845,22082.21869,15019.40266,20643.00615,13943.38698
PE 32_2,2460.117207,1416.281504,3407.877676,2554.402104,2176.953478,1810.048109,1354.862643,2995.122344
plasmenyl-PE 20_0,6231.117745,4835.537305,7374.181445,2777.236643,5289.839148,4798.527859,5876.33717,6231.117745
plasmenyl-PE 18_0,21239.9287,11155.87414,14308.57275,13174.93997,14801.35894,16945.26735,13793.05002,14413.00307
plasmenyl-PE 38_4,177684.4334,163820.4218,200880.9441,177684.4334,222801.3405,186913.6971,177684.4334,222801.3405
plasmenyl-PE 40_6,111645.8634,63518.89008,106373.5834,69968.40419,117112.8993,101230.3089,73072.94312,158437.9124
plasmenyl-PE 34_2,136613.6724,115371.6908,183777.1748,109969.6471,132184.5353,121906.8834,102761.4095,138530.4909
plasmenyl-PE 36_2,11196.72951,17646.00525,26696.97761,22082.21869,16602.55902,13326.90369,23243.56693,12305.90809
plasmenyl-PE 22_0,1580.165531,1627.852423,1416.281504,866.0005218,2081.005034,1872.004713,1479.481756,2133.381711
plasmenyl-PE 38_6,142911.1978,68180.49027,132184.5353,96567.18597,163820.4218,117112.8993,134342.7299,177684.4334
plasmenyl-PE 38_2,35722.42618,44461.71636,50374.41382,37667.00398,47128.76712,29540.51647,36925.99255,35722.42618
plasmenyl-PE 42_4,25883.40532,19059.34626,34025.85466,20831.16733,36595.13001,19542.91673,26185.41217,38012.66924
plasmenyl-PE 40_4,89892.23749,78917.75005,126704.5429,75955.92836,155761.5367,94315.78286,124942.0614,160819.3174
plasmenyl-PE 40_2,30703.47362,19227.61365,33709.44587,21578.76444,23243.56693,18001.09703,24580.71733,32089.70639
plasmenyl-PE 36_4,61696.74295,28541.66799,43602.71871,56645.59666,60797.1668,56645.59666,70745.84126,104345.6196
plasmenyl-PE 32_0,5429.255262,2154.216067,2720.283708,2995.122344,3461.308373,4211.337463,2284.431709,2965.684274
SM 38_2,41386.58081,49259.51288,49992.58667,36062.8865,44028.93936,40876.3725,35305.14154,37258.37254
SM 34_2,80839.24563,52416.19861,60797.1668,41386.58081,83895.46567,68180.49027,58122.70206,79906.4642
SM 40_2,153621.1533,174216.0384,198169.6381,163820.4218,147621.2227,163820.4218,166501.1962,145226.5468
