"Sample","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243"
"DG 42_5",2651.01698708592,9430.7525966114,5169.20242420531,4690.18976199036,8253.97862949947,6568.74646067273,3512.76359261794,3871.3772013047
"DG 40_1",9632.81766929046,8253.97862949947,8098.19161660726,8590.10472840768,3968.82427597725,5078.54572133119,4481.91145131831,2888.20130516259
"DG 42_2",5078.54572133119,4315.69286789868,3724.27361308008,4566.45164615393,4266.05355737087,5499.30928878379,3381.53356686189,6271.41537921545
"DG 40_2",16638.9186889241,57656.0640663599,28820.2915305852,29098.7429507766,16923.0401716664,20110.2922438145,18166.6226030207,8590.10472840768
"DG 30_1",4033.57837199241,11970.1854289872,6827.72317715027,8031.41988129279,4033.57837199241,5677.53512080746,7446.47496056903,6986.65352454895
"DG 36_0",3340.27121100111,6615.97621860381,5256.26325178087,5234.7527711077,2296.18709518999,3021.7095752333,2792.16641440127,3340.27121100111
"DG 30_2",2819.37281518542,4851.37058862409,4387.32715422547,4387.32715422547,3724.27361308008,3548.58298124476,3073.38796754991,3414.40905155836
"DG 34_0",3381.53356686189,2792.16641440127,2775.60599579203,2746.29622424888,3582.78283814596,3968.82427597725,2888.20130516259,2711.87506641911
"DG 44_9",1422.03743606239,6212.89145658457,2216.95286968574,2016.78089022534,3073.38796754991,3791.74057775684,3021.7095752333,2497.42925529389
"DG 36_6",7248.00547219934,7921.04733750395,17931.284221945,11633.1525248554,13439.3075427741,9503.48399080236,2914.5716884683,4071.23124662213
"DG 30_3",1610.30246045259,1744.8986397575,1744.8986397575,1517.57027202074,1823.57856873329,1489.26020830246,899.044413759908,2274.48627613108
"DG 38_0",2178.01478957907,1470.78612428839,1784.75471519342,2549.09651182585,254.771202212389,1823.57856873329,1181.43716573132,440.860440874608
"DG 32_6",411.857620228863,1160.54267482823,698.43541324027,1711.36237044589,816.88161587436,2349.87217094041,1333.1413460065,1202.8325934515
"DG 42_3",2463.72976106722,2121.38240169709,2349.87217094041,1784.75471519342,1356.2504283063,1897.22557948763,2165.41334899486,3178.84755895613
"DG 44_6",816.88161587436,2296.18709518999,1489.26020830246,1295.87866096083,1129.8513077015,2324.59129354116,680.550564802879,1422.03743606239
"DG 40_9",967.493285690812,3825.95664015282,4690.18976199036,4108.57150185707,4566.45164615393,4108.57150185707,1295.87866096083,1897.22557948763
"DG 44_8",2384.9094953177,3073.38796754991,1181.43716573132,2349.87217094041,2792.16641440127,2412.99157743283,2651.01698708592,1356.2504283063
"DG 28_2",1992.79957348893,2194.55021318974,1823.57856873329,1659.52222452611,1310.71857019807,4363.53746106577,1356.2504283063,2549.09651182585
"DG 42_1",3724.27361308008,3234.7581157626,1535.07870355577,1129.8513077015,1489.26020830246,2107.3595663576,1448.70921663382,3933.98877819309
"DG 26_1",865.405251708266,46.2231406157872,229.267379420074,229.267379420074,274.601658013218,274.601658013218,85.7070415368658,348.253380980336
"lysoPC 18_2",46168.3328830869,31044.5978948227,32856.9614001071,39263.3205847908,35356.0511854785,37606.8448428336,37606.8448428336,28220.663034298
"lysoPC 22_4",12617.9747302927,15763.3687217144,7921.04733750395,10617.2889325545,7921.04733750395,15290.4228561396,10940.7823372663,7521.65635821746
"lysoPC 20_1",39263.3205847908,104304.520528438,62976.8967742018,84833.5770545398,46168.3328830869,60851.666002477,54129.4581072229,34344.8502303868
"lysoPC 24_1",4266.05355737087,3178.84755895613,3178.84755895613,3098.33124903292,2746.29622424888,3178.84755895613,4387.32715422547,3461.41157137891
"lysoPC 22_0",1295.87866096083,544.221336627261,967.493285690812,608.179116249848,671.690912655492,680.550564802879,625.945831006615,772.591738737534
"lysoPC 16_0",10042.6537131761,8098.19161660726,10940.7823372663,10713.8014338532,11286.2522497817,6827.72317715027,5806.58241784265,2723.50919798186
"lysoPC 20_0",5677.53512080746,4387.32715422547,4033.57837199241,4523.81938229584,3340.27121100111,4014.82300635148,3488.07484525728,1448.70921663382
"lysoPC 16_1",6415.46529542456,3414.40905155836,5450.01206490267,5734.19565769063,4481.91145131831,3461.41157137891,5078.54572133119,3488.07484525728
"lysoPC 26_1",899.044413759908,1422.03743606239,865.405251708266,1275.09920477369,1032.09039381935,967.493285690812,1517.57027202074,1008.0225270837
"lysoPC 22_1",3791.74057775684,3684.63961635496,3234.7581157626,4481.91145131831,2366.94818681383,3606.73631201073,4315.69286789868,3381.53356686189
"lysoPC 24_0",2133.5277537567,1066.27728321814,1236.73503590444,730.332756594138,1659.52222452611,1066.27728321814,1992.79957348893,1517.57027202074
"lysoPC 18_0",2296.18709518999,2178.01478957907,2723.50919798186,2651.01698708592,4757.69518913288,3582.78283814596,1711.36237044589,2150.65085523474
"lysoPC 18_3",1784.75471519342,1640.88491618403,2296.18709518999,2133.5277537567,652.014498258233,2082.10089015757,1099.35468823432,1236.73503590444
"lysoPC 24_4",348.253380980336,1409.42199173385,772.591738737534,625.945831006615,1202.8325934515,756.675442748719,468.636942619916,652.014498258233
"lysoPE 18_1",106785.324186153,223228.131089919,177440.178067119,172072.500201358,134895.775914482,142201.058983506,114985.666182594,165485.017869633
"lysoPE 20_4",249489.198769068,461722.822044454,288542.857786893,261622.123674963,261622.123674963,396714.381841279,147512.648350628,161088.750012994
"lysoPE 16_1",11633.1525248554,10234.0226500262,8590.10472840768,10940.7823372663,7521.65635821746,7588.59786689119,8253.97862949947,8253.97862949947
"lysoPE 18_3",1236.73503590444,1236.73503590444,1578.23701615733,1310.71857019807,1593.08427456051,1640.88491618403,1409.42199173385,1099.35468823432
"lysoPE 22_4",3825.95664015282,4071.23124662213,3021.7095752333,2792.16641440127,3606.73631201073,2549.09651182585,2274.48627613108,4658.99882366799
"lysoPE 20_1",4809.58357481659,12185.5819323399,6271.41537921545,8461.29006782076,6415.46529542456,5894.31053216795,5113.24138632024,6212.89145658457
"lysoPE 22_6",3055.71176991106,4033.57837199241,3263.31706892546,3073.38796754991,3442.63663383301,2746.29622424888,2133.5277537567,5499.30928878379
"lysoPE 16_0",6271.41537921545,7830.0347096027,7830.0347096027,6212.89145658457,8651.41735427099,5003.92710488384,4156.4876883499,10114.6473977691
"lysoPE 18_0",9315.48313178483,5113.24138632024,4363.53746106577,8253.97862949947,5894.31053216795,2497.42925529389,5169.20242420531,10234.0226500262
"lysoPE 20_2",2253.41289796525,3757.47925791549,2082.10089015757,3381.53356686189,2216.95286968574,2954.96209743807,1683.81788655123,1992.79957348893
"lysoPE 20_0",926.677194824214,899.044413759908,792.668621563319,951.55816296729,411.857620228863,411.857620228863,568.856072751554,1711.36237044589
"MG 18_1",20489.9222612137,59201.6588274221,36831.9509883591,46168.3328830869,49734.025777868,36831.9509883591,31780.529422496,38237.6486797862
"MG 18_0",2121.38240169709,2253.41289796525,1640.88491618403,2038.85933672195,2723.50919798186,1610.30246045259,1214.09548181217,1841.90731019952
"MG 22_4",730.332756594138,730.332756594138,504.415032282568,835.146637849803,1275.09920477369,608.179116249848,671.690912655492,816.88161587436
"MG 18_4",1333.1413460065,1333.1413460065,1593.08427456051,816.88161587436,865.405251708266,1683.81788655123,1744.8986397575,698.43541324027
"MG 20_2",492.551333941507,1008.0225270837,544.221336627261,792.668621563319,680.550564802879,772.591738737534,440.860440874608,556.009742992647
"MG 16_1",1558.90651857971,3606.73631201073,2194.55021318974,2194.55021318974,2063.34429872961,1470.78612428839,3263.31706892546,2775.60599579203
"PC 34_3",7322307.06177037,7322307.06177037,7322307.06177037,7322307.06177037,7322307.06177037,7322307.06177037,7322307.06177037,7322307.06177037
"PC 38_7",3118936.40300598,3825174.81132648,3118936.40300598,3825174.81132648,3825174.81132648,3825174.81132648,3825174.81132648,932760.278094542
"PC 32_2",1134041.26260503,707691.054467675,932760.278094542,781553.073521248,707691.054467675,781553.073521248,1868490.06904269,552068.08035453
"PC 44_12",36831.9509883591,25840.7899752339,20489.9222612137,40473.1871602372,37606.8448428336,39263.3205847908,35356.0511854785,20917.2201021667
