"Lipid","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334"
"DG 38_0",2296.18709518999,1295.87866096083,1236.73503590444,1160.54267482823,1683.81788655123,1160.54267482823,2349.87217094041,2651.01698708592
"DG 32_6",504.415032282568,492.551333941507,348.253380980336,1236.73503590444,492.551333941507,492.551333941507,440.860440874608,2349.87217094041
"DG 42_3",3055.71176991106,1333.1413460065,1967.98764251771,1489.26020830246,1897.22557948763,2063.34429872961,2194.55021318974,4566.45164615393
"DG 44_6",1841.90731019952,504.415032282568,772.591738737534,792.668621563319,926.677194824214,967.493285690812,1333.1413460065,4955.23892055682
"DG 40_9",8590.10472840768,5003.92710488384,2711.87506641911,2497.42925529389,528.195474843724,4071.23124662213,2463.72976106722,4387.32715422547
"DG 44_8",3933.98877819309,3414.40905155836,2216.95286968574,3148.91292249763,2165.41334899486,3234.7581157626,2599.2538413481,4071.23124662213
"DG 28_2",1967.98764251771,1356.2504283063,1310.71857019807,2082.10089015757,1181.43716573132,1422.03743606239,1295.87866096083,2253.41289796525
"DG 42_1",865.405251708266,1535.07870355577,730.332756594138,951.55816296729,1967.98764251771,2497.42925529389,1578.23701615733,2990.93669150468
"DG 26_1",254.771202212389,254.771202212389,492.551333941507,229.267379420074,46.2231406157872,568.856072751554,865.405251708266,468.636942619916
"lysoPC 18_2",21359.6461597065,30343.1142901674,26954.2584921167,39263.3205847908,39263.3205847908,39263.3205847908,32856.9614001071,41464.3178917538
"lysoPC 22_4",7099.42489676729,5806.58241784265,9503.48399080236,12617.9747302927,15290.4228561396,8352.8966901949,7099.42489676729,11389.5918535874
"lysoPC 20_1",14421.4546845661,11746.80878921,18520.3363245616,26384.9106305458,114985.666182594,33432.963019786,17931.284221945,23994.8989578161
"lysoPC 24_1",2349.87217094041,2150.65085523474,2792.16641440127,2444.07630078938,3461.41157137891,2384.9094953177,1841.90731019952,1925.48406474703
"lysoPC 22_0",544.221336627261,1202.8325934515,1841.90731019952,1099.35468823432,556.009742992647,792.668621563319,772.591738737534,1356.2504283063
"lysoPC 16_0",3757.47925791549,5351.22997895585,4481.91145131831,6737.60235618507,6615.97621860381,9430.7525966114,13933.4216065439,10441.8264587194
"lysoPC 20_0",2631.50820672498,3178.84755895613,4757.69518913288,4690.18976199036,2954.96209743807,3461.41157137891,4481.91145131831,9315.48313178483
"lysoPC 16_1",2016.78089022534,792.668621563319,1160.54267482823,1610.30246045259,5113.24138632024,2165.41334899486,816.88161587436,2216.95286968574
"lysoPC 26_1",556.009742992647,772.591738737534,698.43541324027,528.195474843724,865.405251708266,652.014498258233,1032.09039381935,865.405251708266
"lysoPC 22_1",2324.59129354116,2121.38240169709,2121.38240169709,1861.51048336748,2990.93669150468,1925.48406474703,2526.69052478253,2549.09651182585
"lysoPC 24_0",1066.27728321814,1640.88491618403,2038.85933672195,1823.57856873329,1448.70921663382,1558.90651857971,2038.85933672195,1517.57027202074
"lysoPC 18_0",1470.78612428839,2819.37281518542,2063.34429872961,2296.18709518999,2016.78089022534,3640.97872960073,3512.76359261794,3640.97872960073
"lysoPC 18_3",1099.35468823432,671.690912655492,1032.09039381935,671.690912655492,1558.90651857971,680.550564802879,625.945831006615,1448.70921663382
"lysoPC 24_4",274.601658013218,1448.70921663382,982.897086953587,625.945831006615,1578.23701615733,816.88161587436,652.014498258233,1202.8325934515
"lysoPE 18_1",49734.025777868,112487.691855353,127606.714026263,161088.750012994,208716.393441901,192407.087625631,114985.666182594,155894.155542305
"lysoPE 20_4",79213.7221080975,127606.714026263,137574.586366284,177440.178067119,261622.123674963,172072.500201358,137574.586366284,216947.980412317
"lysoPE 16_1",2576.24005045038,3055.71176991106,2526.69052478253,3757.47925791549,7347.37161177832,2576.24005045038,2497.42925529389,2792.16641440127
"lysoPE 18_3",772.591738737534,982.897086953587,865.405251708266,772.591738737534,1356.2504283063,1593.08427456051,926.677194824214,1640.88491618403
"lysoPE 22_4",2526.69052478253,2599.2538413481,3178.84755895613,2990.93669150468,4108.57150185707,3684.63961635496,3073.38796754991,5677.53512080746
"lysoPE 20_1",3263.31706892546,3263.31706892546,5003.92710488384,5351.22997895585,10234.0226500262,7921.04733750395,3871.3772013047,5078.54572133119
"lysoPE 22_6",2238.01365217653,3234.7581157626,3606.73631201073,4431.89536826276,4156.4876883499,4156.4876883499,3791.74057775684,4108.57150185707
"lysoPE 16_0",4108.57150185707,6481.37711101783,8590.10472840768,9315.48313178483,9116.96634196858,7347.37161177832,7181.06267139208,8352.8966901949
"lysoPE 18_0",4566.45164615393,6112.19420364619,10441.8264587194,4523.81938229584,6212.89145658457,9116.96634196858,6271.41537921545,5499.30928878379
"lysoPE 20_2",1861.51048336748,2792.16641440127,2253.41289796525,2914.5716884683,2711.87506641911,3307.77124437562,1823.57856873329,2746.29622424888
"lysoPE 20_0",468.636942619916,528.195474843724,671.690912655492,816.88161587436,1593.08427456051,1008.0225270837,1099.35468823432,568.856072751554
"MG 18_1",13013.8554366387,17931.284221945,21359.6461597065,21359.6461597065,42603.1113185256,23285.0086005339,28220.663034298,42603.1113185256
"MG 18_0",2178.01478957907,2723.50919798186,1784.75471519342,2576.24005045038,2914.5716884683,3204.28483972103,2819.37281518542,3825.95664015282
"MG 22_4",1181.43716573132,816.88161587436,1823.57856873329,1535.07870355577,698.43541324027,1066.27728321814,1535.07870355577,2914.5716884683
"MG 18_4",1422.03743606239,926.677194824214,2107.3595663576,2107.3595663576,1333.1413460065,1744.8986397575,899.044413759908,1409.42199173385
"MG 20_2",698.43541324027,1409.42199173385,835.146637849803,1333.1413460065,671.690912655492,1841.90731019952,1470.78612428839,2576.24005045038
"MG 16_1",926.677194824214,1992.79957348893,468.636942619916,556.009742992647,4266.05355737087,899.044413759908,568.856072751554,982.897086953587
"PC 34_3",7322307.06177037,7322307.06177037,7322307.06177037,7322307.06177037,7322307.06177037,7322307.06177037,7322307.06177037,7322307.06177037
"PC 38_7",1868490.06904269,1258989.27548095,2085781.36793071,2085781.36793071,3118936.40300598,1258989.27548095,1868490.06904269,1043151.80276023
"PC 32_2",434131.974478271,288542.857786893,529715.359791516,572746.335508999,640563.219152152,396714.381841279,529715.359791516,552068.08035453
"PC 44_12",10713.8014338532,26384.9106305458,29098.7429507766,27466.5295318216,65411.1871387707,31044.5978948227,31780.529422496,26384.9106305458
"PC 40_5",288542.857786893,529715.359791516,497287.806887986,461722.822044454,932760.278094542,497287.806887986,497287.806887986,249489.198769068
"PC 34_4",461722.822044454,249489.198769068,483227.516564253,552068.08035453,483227.516564253,288542.857786893,333527.230997889,434131.974478271
"PC 40_8",1624404.53028459,2312439.64183552,3118936.40300598,3118936.40300598,2085781.36793071,3118936.40300598,2312439.64183552,2085781.36793071
"PC 36_5",34344.8502303868,26954.2584921167,51163.9308922764,47939.3302360704,67001.4355209511,31780.529422496,37606.8448428336,14781.3594675502
"PC 40_4",9929.8943000495,5894.31053216795,5553.65304921028,7588.59786689119,6415.46529542456,10828.7381983571,4566.45164615393,3684.63961635496
"PC 38_0",4315.69286789868,4658.99882366799,12617.9747302927,10114.6473977691,4523.81938229584,3825.95664015282,9003.97914838529,9116.96634196858
"PC 44_7",4156.4876883499,3442.63663383301,3548.58298124476,3933.98877819309,4658.99882366799,6415.46529542456,3548.58298124476,3871.3772013047
"PC 30_3",671.690912655492,556.009742992647,440.860440874608,1214.09548181217,504.415032282568,982.897086953587,608.179116249848,556.009742992647
"PC 36_4",4014.82300635148,10114.6473977691,9632.81766929046,14421.4546845661,4315.69286789868,6568.74646067273,14953.6999839701,15290.4228561396
"PC 40_9",2792.16641440127,3307.77124437562,1992.79957348893,3055.71176991106,6737.60235618507,3724.27361308008,2763.26955216501,2133.5277537567
"PC 30_2",792.668621563319,1160.54267482823,967.493285690812,1032.09039381935,1422.03743606239,671.690912655492,492.551333941507,1310.71857019807
"PC 42_5",45075.3780566745,73104.0557603158,69043.8616110691,79213.7221080975,59201.6588274221,73104.0557603158,97796.0749756159,67001.4355209511
"PC 18_0",2384.9094953177,2063.34429872961,2723.50919798186,6376.40094562033,2668.93604567935,2723.50919798186,2990.93669150468,3204.28483972103
"PC 40_7",238600.25151464,461722.822044454,261622.123674963,434131.974478271,839560.346929273,552068.08035453,261622.123674963,152762.719740033
"PC 42_11",4851.37058862409,7446.47496056903,4917.30150840707,5677.53512080746,7099.42489676729,9503.48399080236,6018.64947411107,3757.47925791549
"PC 42_10",2990.93669150468,6271.41537921545,6018.64947411107,4566.45164615393,5734.19565769063,8098.19161660726,4606.09519097871,3461.41157137891
"PC 32_4",1823.57856873329,1683.81788655123,1356.2504283063,2668.93604567935,2549.09651182585,1129.8513077015,1517.57027202074,2463.72976106722
"PC 28_0",2082.10089015757,1841.90731019952,2668.93604567935,4266.05355737087,3021.7095752333,1489.26020830246,2133.5277537567,2412.99157743283
"PC 42_6",113736.679018974,102385.887161319,184923.632846375,139887.822674895,90113.0701657466,148713.230446021,200561.740533766,174756.339134239
"PC 38_6",11883.0535993216,7921.04733750395,3414.40905155836,9503.48399080236,16638.9186889241,12859.732335181,10114.6473977691,6271.41537921545
"PC 34_5",6944.29567652905,11883.0535993216,15576.6245390726,11633.1525248554,12617.9747302927,9003.97914838529,12859.732335181,9807.58199609661
"PC 26_1",229.267379420074,306.09485313677,254.771202212389,254.771202212389,306.09485313677,46.2231406157872,178.754791908948,254.771202212389
"PC 40_10",1214.09548181217,1236.73503590444,2016.78089022534,2216.95286968574,3340.27121100111,1310.71857019807,1593.08427456051,1032.09039381935
"PC 32_1",1129.8513077015,1578.23701615733,2576.24005045038,2121.38240169709,3414.40905155836,1517.57027202074,951.55816296729,1333.1413460065
"PC 38_4",5078.54572133119,4033.57837199241,5677.53512080746,3488.07484525728,5806.58241784265,5597.29459016579,5078.54572133119,2165.41334899486
"PC 32_3",2216.95286968574,899.044413759908,2150.65085523474,1744.8986397575,1823.57856873329,1376.14463056216,1422.03743606239,1376.14463056216
"PC 42_7",9430.7525966114,4809.58357481659,6112.19420364619,7347.37161177832,5894.31053216795,8253.97862949947,4809.58357481659,3124.45974486288
"PC 32_5",835.146637849803,730.332756594138,1129.8513077015,492.551333941507,1409.42199173385,388.959228370039,1129.8513077015,1129.8513077015
"PC 32_0",9003.97914838529,12617.9747302927,9116.96634196858,11286.2522497817,7521.65635821746,14781.3594675502,8098.19161660726,8806.42203184084
"PC 40_1",8031.41988129279,6944.29567652905,9235.46056029495,4955.23892055682,12371.1538903283,6737.60235618507,11633.1525248554,12371.1538903283
"PC 20_2",1578.23701615733,1422.03743606239,1333.1413460065,2954.96209743807,1744.8986397575,1409.42199173385,1967.98764251771,1841.90731019952
"PC 44_11",3340.27121100111,4266.05355737087,2855.25124036555,5169.20242420531,8461.29006782076,3381.53356686189,2107.3595663576,1992.79957348893
"PC 40_0",6827.72317715027,9430.7525966114,5806.58241784265,9116.96634196858,5351.22997895585,4606.09519097871,10042.6537131761,11286.2522497817
"PC 24_6",816.88161587436,1032.09039381935,1275.09920477369,2165.41334899486,1310.71857019807,1236.73503590444,1711.36237044589,1099.35468823432
"PC 30_4",411.857620228863,178.754791908948,229.267379420074,348.253380980336,274.601658013218,411.857620228863,254.771202212389,178.754791908948
"PC 42_9",38237.6486797862,55951.1004690342,122669.923299236,120923.941238811,152762.719740033,134895.775914482,112487.691855353,69043.8616110691
"PC 44_6",5351.22997895585,4315.69286789868,4523.81938229584,4108.57150185707,3263.31706892546,7181.06267139208,5450.01206490267,6112.19420364619
"PC 30_0",2165.41334899486,608.179116249848,1202.8325934515,1517.57027202074,2599.2538413481,1099.35468823432,1659.52222452611,772.591738737534
"PC 30_1",1448.70921663382,2549.09651182585,2651.01698708592,2526.69052478253,3073.38796754991,2082.10089015757,2914.5716884683,1897.22557948763
"PC 16_1",1376.14463056216,2107.3595663576,2366.94818681383,3512.76359261794,3757.47925791549,3263.31706892546,2178.01478957907,3098.33124903292
"PC 38_1",7521.65635821746,7181.06267139208,7921.04733750395,5113.24138632024,6481.37711101783,5169.20242420531,9116.96634196858,6568.74646067273
"PC 38_8",2651.01698708592,1823.57856873329,1295.87866096083,2178.01478957907,2651.01698708592,1711.36237044589,1861.51048336748,1470.78612428839
"PC 28_2",306.09485313677,274.601658013218,178.754791908948,274.601658013218,388.959228370039,306.09485313677,388.959228370039,528.195474843724
"PC 42_1",3724.27361308008,2855.25124036555,3263.31706892546,4156.4876883499,5003.92710488384,4658.99882366799,4955.23892055682,5113.24138632024
"PC 40_6",3791.74057775684,4523.81938229584,2412.99157743283,2775.60599579203,3098.33124903292,4315.69286789868,2954.96209743807,2723.50919798186
"PC 46_7",967.493285690812,1008.0225270837,1099.35468823432,1275.09920477369,1202.8325934515,1659.52222452611,1066.27728321814,899.044413759908
"PC 12_0",899.044413759908,1470.78612428839,926.677194824214,680.550564802879,568.856072751554,504.415032282568,468.636942619916,608.179116249848
"PC 22_4",2497.42925529389,1711.36237044589,1659.52222452611,3414.40905155836,1470.78612428839,1784.75471519342,1610.30246045259,1683.81788655123
"PC 38_9",608.179116249848,1214.09548181217,6944.29567652905,1129.8513077015,12859.732335181,625.945831006615,528.195474843724,730.332756594138
"plasmenyl-PC 18_0",25140.6987545294,47939.3302360704,36018.5583491844,59201.6588274221,161088.750012994,91776.7281086178,60851.666002477,104304.520528438
"plasmenyl-PC 40_4",1295.87866096083,1376.14463056216,792.668621563319,1448.70921663382,982.897086953587,254.771202212389,1744.8986397575,1066.27728321814
"plasmenyl-PC 36_4",2107.3595663576,1610.30246045259,1744.8986397575,2063.34429872961,2038.85933672195,3055.71176991106,2444.07630078938,1784.75471519342
"PE 36_0",781553.073521248,839560.346929273,932760.278094542,932760.278094542,529715.359791516,839560.346929273,932760.278094542,781553.073521248
"PE 38_3",602758.534037015,707691.054467675,839560.346929273,677637.045698538,461722.822044454,677637.045698538,781553.073521248,677637.045698538
"PE 34_1",21955.3065881794,37606.8448428336,41464.3178917538,31044.5978948227,74711.6316580016,26954.2584921167,33432.963019786,29098.7429507766
"PE 34_3",10617.2889325545,8651.41735427099,14136.5796460737,20110.2922438145,32856.9614001071,6827.72317715027,11389.5918535874,8461.29006782076
"PE 38_2",137574.586366284,208716.393441901,223228.131089919,208716.393441901,192407.087625631,216947.980412317,249489.198769068,230578.728667732
"PE 36_1",192407.087625631,238600.25151464,288542.857786893,249489.198769068,396714.381841279,249489.198769068,396714.381841279,238600.25151464
"PE 42_8",9315.48313178483,19058.258001601,16137.634013348,21955.3065881794,20489.9222612137,16923.0401716664,19058.258001601,10234.0226500262
"PE 40_9",18520.3363245616,34344.8502303868,54129.4581072229,41464.3178917538,37606.8448428336,28220.663034298,39263.3205847908,35029.180799929
"PE 40_7",3428.52284269569,1754.09883697032,7396.92328617367,5956.48000313951,6323.90816241789,6065.42183887863,6448.4212032212,5201.9775976565
"PE 40_3",35356.0511854785,46168.3328830869,71392.0823432206,55951.1004690342,23285.0086005339,57656.0640663599,73104.0557603158,97796.0749756159
"PE 42_10",23285.0086005339,35029.180799929,38237.6486797862,38237.6486797862,41464.3178917538,46168.3328830869,29098.7429507766,32856.9614001071
"PE 40_2",22806.8163709131,14781.3594675502,18166.6226030207,17289.7904010003,13439.3075427741,18166.6226030207,23994.8989578161,21359.6461597065
"PE 38_5",11389.5918535874,6376.40094562033,13013.8554366387,10940.7823372663,18166.6226030207,21359.6461597065,20489.9222612137,6986.65352454895
"PE 44_5",2819.37281518542,2133.5277537567,2888.20130516259,2194.55021318974,4757.69518913288,2366.94818681383,3055.71176991106,3488.07484525728
"PE 34_4",1763.29903418314,2576.24005045038,2954.96209743807,3073.38796754991,1841.90731019952,1578.23701615733,3124.45974486288,2324.59129354116
"PE 42_3",4375.43230764562,2924.1909442365,3360.9023889315,3249.03759234403,6886.00942683966,4783.63938197474,3249.03759234403,3360.9023889315
"PE 36_4",1489.26020830246,2082.10089015757,1763.29903418314,3021.7095752333,2082.10089015757,2349.87217094041,4033.57837199241,2954.96209743807
"PE 44_12",14953.6999839701,28820.2915305852,35029.180799929,32856.9614001071,20110.2922438145,20110.2922438145,17674.5104604884,17289.7904010003
"PE 32_0",3684.63961635496,3548.58298124476,3021.7095752333,3442.63663383301,2763.26955216501,2711.87506641911,3684.63961635496,2366.94818681383
"PE 38_4",11970.1854289872,17674.5104604884,17931.284221945,10234.0226500262,11633.1525248554,19282.3501521796,11970.1854289872,9632.81766929046
"PE 38_7",2150.65085523474,2366.94818681383,2775.60599579203,3178.84755895613,2194.55021318974,2888.20130516259,3968.82427597725,3073.38796754991
"PE 40_1",4071.23124662213,3488.07484525728,5597.29459016579,3098.33124903292,1295.87866096083,3148.91292249763,4658.99882366799,3548.58298124476
"PE 40_5",104304.520528438,216947.980412317,216947.980412317,165485.017869633,230578.728667732,155894.155542305,223228.131089919,333527.230997889
"plasmenyl-PE 38_4",529715.359791516,640563.219152152,617832.694707222,640563.219152152,333527.230997889,640563.219152152,677637.045698538,602758.534037015
"plasmenyl-PE 36_2",18166.6226030207,20917.2201021667,31780.529422496,36018.5583491844,22806.8163709131,30343.1142901674,35029.180799929,30343.1142901674
"plasmenyl-PE 38_6",91776.7281086178,137574.586366284,147512.648350628,192407.087625631,130875.367426132,142201.058983506,142201.058983506,112487.691855353
"plasmenyl-PE 40_6",122669.923299236,161088.750012994,155894.155542305,216947.980412317,120923.941238811,161088.750012994,216947.980412317,149913.812541413
"plasmenyl-PE 38_5",35029.180799929,36018.5583491844,25840.7899752339,31780.529422496,36831.9509883591,36018.5583491844,34344.8502303868,27466.5295318216
"plasmenyl-PE 34_1",13439.3075427741,12859.732335181,16398.9150415773,17674.5104604884,26384.9106305458,17931.284221945,15290.4228561396,14953.6999839701
"plasmenyl-PE 38_2",5894.31053216795,2444.07630078938,4071.23124662213,10042.6537131761,21359.6461597065,5234.7527711077,8651.41735427099,9235.46056029495
"plasmenyl-PE 42_6",16137.634013348,18166.6226030207,14421.4546845661,19565.0653679824,10828.7381983571,20489.9222612137,28820.2915305852,17931.284221945
"plasmenyl-PE 36_3",9235.46056029495,10713.8014338532,9807.58199609661,13573.8301418147,10441.8264587194,11970.1854289872,982.897086953587,6415.46529542456
"plasmenyl-PE 42_4",7830.0347096027,11052.2513510666,11633.1525248554,11970.1854289872,11389.5918535874,10234.0226500262,12371.1538903283,16137.634013348
"plasmenyl-PE 18_0",5770.38903776664,10337.9245543728,7653.08501179382,13139.4357407379,14035.0006263088,18789.2971630813,11814.9311942658,18343.4794637911
"plasmenyl-PE 34_2",3871.3772013047,5256.26325178087,4387.32715422547,4917.30150840707,3307.77124437562,4523.81938229584,4917.30150840707,3791.74057775684
"plasmenyl-PE 38_1",16923.0401716664,11970.1854289872,14953.6999839701,23285.0086005339,11746.80878921,16398.9150415773,21359.6461597065,19565.0653679824
"plasmenyl-PE 40_5",73104.0557603158,97796.0749756159,106785.324186153,134895.775914482,71392.0823432206,106785.324186153,165485.017869633,91776.7281086178
"plasmenyl-PE 32_1",680.550564802879,388.959228370039,504.415032282568,468.636942619916,756.675442748719,835.146637849803,348.253380980336,680.550564802879
"SM 38_1",617832.694707222,932760.278094542,1624404.53028459,1043151.80276023,572746.335508999,707691.054467675,839560.346929273,932760.278094542
"SM 36_1",261622.123674963,572746.335508999,552068.08035453,497287.806887986,177440.178067119,483227.516564253,552068.08035453,396714.381841279
"SM 40_2",572746.335508999,677637.045698538,781553.073521248,617832.694707222,552068.08035453,617832.694707222,617832.694707222,640563.219152152
"SM 38_2",10234.0226500262,16638.9186889241,13573.8301418147,15290.4228561396,11514.8733047935,13573.8301418147,12185.5819323399,7921.04733750395
"SM 42_4",25840.7899752339,38237.6486797862,33432.963019786,28820.2915305852,25840.7899752339,41464.3178917538,36018.5583491844,22368.5936166911
"SM 42_2",568.856072751554,1784.75471519342,816.88161587436,1470.78612428839,625.945831006615,178.754791908948,544.221336627261,411.857620228863
"SM 32_2",2549.09651182585,1897.22557948763,2914.5716884683,3204.28483972103,3488.07484525728,2631.50820672498,2631.50820672498,2526.69052478253
"SM 42_0",2668.93604567935,2463.72976106722,2497.42925529389,2933.8102000047,3124.45974486288,2668.93604567935,3021.7095752333,2296.18709518999
"SM 34_2",3968.82427597725,4690.18976199036,2819.37281518542,4757.69518913288,5234.7527711077,5499.30928878379,4757.69518913288,3178.84755895613
"SM 44_2",3512.76359261794,7717.57215669645,11286.2522497817,7446.47496056903,6986.65352454895,9315.48313178483,11286.2522497817,8590.10472840768
"SM 44_1",5256.26325178087,9929.8943000495,14781.3594675502,13933.4216065439,6018.64947411107,5003.92710488384,15576.6245390726,16398.9150415773
"SM 34_1",5169.20242420531,5078.54572133119,3871.3772013047,3684.63961635496,4033.57837199241,7588.59786689119,5597.29459016579,3414.40905155836
"SM 42_1",3461.41157137891,3204.28483972103,2549.09651182585,4851.37058862409,5169.20242420531,3021.7095752333,3488.07484525728,1744.8986397575
"SM 32_0",1202.8325934515,2497.42925529389,3512.76359261794,6271.41537921545,5450.01206490267,3178.84755895613,3340.27121100111,3055.71176991106
"SM 30_1",1236.73503590444,698.43541324027,1008.0225270837,865.405251708266,967.493285690812,865.405251708266,967.493285690812,625.945831006615
