"Sample","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309"
"PC 36_4",20132.9424723763,8154.35757026881,6704.6400958362,2039.71323146747,6841.56958640409,18415.4383711671,15185.1170197429,30940.6936529974
"PC 40_4",3393.37782830152,6841.56958640409,5061.32673980389,7913.38091911515,8298.33160095459,7405.07584755638,7679.39019365722,6841.56958640409
"PC 31_0",5285.23665755958,5004.0916647346,4740.58120621564,3487.41852007017,4158.14077645848,5753.94456184644,5164.46357938691,5004.0916647346
"PC 38_0",3811.92709393377,4016.36413085536,3608.07627784769,5927.32513005781,5858.54372244989,12483.9920387019,9457.06140130954,7989.04291578823
"PC 18_0",4251.26451468607,2347.1043421304,2868.05496409185,5061.32673980389,2510.72455565872,6936.11213049948,3114.51201113667,1730.47750624051
"PC 32_4",2801.83256587401,4194.80605188399,5588.00734598558,4596.3214433127,4352.74720008174,8235.17158255477,6204.20539970562,5537.39891337781
"PC 42_6",125148.701598439,91280.8204232543,92756.9339088059,88229.0422349735,92756.9339088059,218298.706637072,206666.894033225,183203.559705598
"PC 38_6",8813.69018530194,7913.38091911515,6841.56958640409,8298.33160095459,9305.37965226405,2787.46456758213,3915.41370986772,12960.1580578633
"PC 28_0",3296.42027279908,4046.41168477418,3460.63880356535,3509.81797920138,3509.81797920138,6537.23053843069,4449.80068863028,5339.89556407679
"PC 17_0",283.927080665847,251.43706519062,512.224221536547,1043.86007020296,223.545293198864,324.751165357629,401.357430113191,2490.0870873841
"PC 19_2",1368.90333501256,2126.78304823275,1596.21239451326,1340.42363876208,1083.11737226478,1279.04801721954,1107.56407097716,1535.70259365792
"PC 37_0",6811.53938918706,6537.23053843069,5095.39148358637,4421.47396917124,5537.39891337781,10043.2766494492,8723.0067720296,8963.20183685301
"PC 33_4",1572.0345417168,2039.71323146747,2057.41867699427,2266.5747589312,2565.04978497635,3137.22308896939,1043.86007020296,3089.07011504683
"PC 31_2",2266.5747589312,1912.63394023087,2590.36775579567,2057.41867699427,3017.81609681193,6131.99802999944,3089.07011504683,3653.12836411614
"PC 33_0",19734.4956973106,16117.4974673831,16650.4609520606,14544.4548822239,11427.4024649282,15185.1170197429,19842.3013124,25038.7220317533
"PC 20_2",1810.23191887863,1043.86007020296,2664.79874083962,3041.7934725039,801.32014527493,5164.46357938691,2126.78304823275,2590.36775579567
"PC 38_4",3421.90257155507,5927.32513005781,2941.20182745196,4251.26451468607,2684.16899592295,3213.95288849175,3393.37782830152,3698.46239328225
"PC 30_4",401.357430113191,488.550869887022,535.373865591017,488.550869887022,324.751165357629,401.357430113191,283.927080665847,324.751165357629
"PC 41_4",7351.88585211156,9901.71460703127,8513.7481196235,5339.89556407679,5164.46357938691,10827.3663226472,8103.10241384769,9852.99982527622
"PC 40_0",11766.433221824,4740.58120621564,5500.96461854484,6704.6400958362,7405.07584755638,8723.0067720296,5370.9411307013,7092.48104035762
"PC 24_6",975.513669419313,468.12906795181,1416.2229744169,3250.01598520178,709.834246840461,1912.63394023087,1083.11737226478,1107.56407097716
"PC 43_6",2178.42247754476,1966.56407740869,1368.90333501256,1840.33635477347,2446.63542175239,5641.91454082801,3760.1105090174,4977.01692965908
"PC 44_6",3760.1105090174,5413.99020214328,6370.12295766941,7679.39019365722,4596.3214433127,8154.35757026881,9305.37965226405,7405.07584755638
"PC 31_4",11571.8153793341,3407.6401999283,5392.46566642229,4959.51603917079,9603.72511097642,17145.0964332525,11319.6472605879,6098.1141171626
"PC 19_0",1433.12521682734,1796.44019095061,2072.40265456603,2201.01173635389,1966.56407740869,1433.12521682734,2362.98400548809,2312.02383160553
"PC 30_0",1966.56407740869,1317.34897814317,997.628592971291,821.027429908824,821.027429908824,1187.46186529535,2101.85438883992,2101.85438883992
"PC 12_0",441.681076871718,544.522375388823,468.12906795181,544.522375388823,283.927080665847,1617.97932022628,604.512858606365,1256.08208159224
"PC 7_0",754.802255867638,893.949083022708,1160.42517823827,1317.34897814317,782.544456556459,997.628592971291,975.513669419313,2446.63542175239
"PC 29_0",2018.09652912973,1810.23191887863,1083.11737226478,1713.15670890654,1810.23191887863,2446.63542175239,1840.33635477347,2111.16915565378
"PC 28_2",587.828837963357,283.927080665847,639.648945546397,604.512858606365,562.188632767996,562.188632767996,362.637362261131,681.870895512177
"PC 45_4",6704.6400958362,3538.48345389949,2749.44358075053,4740.58120621564,6811.53938918706,1368.90333501256,3892.40519672107,1796.44019095061
"PC 22_4",1416.2229744169,1572.0345417168,2787.46456758213,5095.39148358637,1840.33635477347,3915.41370986772,1870.8452708952,754.802255867638
"PC 39_0",3608.07627784769,2446.63542175239,2126.78304823275,1294.782669757,2422.58127522665,3348.80427639111,2684.16899592295,2707.36013913356
