"Sample","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334"
"lysoPC 19_0",18653.8622896869,34130.6693822138,47727.9679118561,39865.0783604276,40530.7723909027,37880.7574159998,47727.9679118561,48260.1465277245
"lysoPC 22_6",365926.886783037,463279.810590199,528928.358604734,581443.631605996,808430.961338688,606113.21030197,498921.355512567,616746.36040637
"lysoPC 18_0",2519262.74101024,3581928.81366308,5570843.99885273,5570843.99885273,3861215.29778433,5268696.54947492,5570843.99885273,5570843.99885273
"lysoPC 14_0",1713.15670890654,2510.72455565872,2111.16915565378,2801.83256587401,3393.37782830152,2684.16899592295,2153.55732639854,2347.1043421304
"lysoPC 20_4",647113.793806319,647113.793806319,952415.001755678,976513.466727858,1772184.27558777,1344746.17238693,773996.423332135,1094226.2079901
"lysoPC 20_0",33772.9731062559,36276.3300613752,76973.0616912095,64931.7923032862,41648.3585519013,55268.5982785574,59295.6593322572,112611.025065258
"lysoPC 20_2",13180.8142668834,12483.9920387019,15759.6582710285,24300.2153389872,37236.1889931239,25526.2930323481,14544.4548822239,21716.9374580112
"lysoPC 24_0",9082.4888278898,13681.1088522039,26785.0806580441,24774.4929782752,20472.7100910555,11707.0603577913,20132.9424723763,21000.2609012931
"lysoPC 21_0",1210.96009800957,1840.33635477347,2565.04978497635,1840.33635477347,1796.44019095061,1776.60150112924,1699.64212798452,2362.98400548809
"lysoPC 22_0",7486.03814800902,10518.6905312509,18415.4383711671,19842.3013124,17227.026328746,11363.6719494148,17227.026328746,15941.6762991514
"lysoPC 22_4",8235.17158255477,6624.27680289497,11012.8127589136,13180.8142668834,17647.5742413616,9015.61809485474,7486.03814800902,11524.5059639606
"lysoPC 23_0",1556.38587675031,2898.12549182328,4375.30349670509,3760.1105090174,2126.78304823275,3041.7934725039,3608.07627784769,3369.68378296375
"lysoPC 15_0",3296.42027279908,4561.97948587872,5858.54372244989,6004.09932241579,4421.47396917124,5753.94456184644,5641.91454082801,5696.39136030385
"lysoPC 24_4",324.751165357629,1535.70259365792,1131.52388753819,639.648945546397,1699.64212798452,853.57897892234,639.648945546397,1131.52388753819
"lysoPE 20_4",106739.081221889,131330.344833363,129757.033367477,174653.851017311,227119.100088581,182013.062898843,133578.194443024,203605.199452851
"lysoPE 18_0",13339.4186942186,21000.2609012931,27279.5745919317,22358.7957710269,41040.9749646158,26507.7173171222,26785.0806580441,30050.1632857825
"lysoPE 22_6",41648.3585519013,93824.3805573624,120569.121375179,133578.194443024,161913.223851172,125864.35974696,104241.280521005,174653.851017311
"lysoPE 18_2",15941.6762991514,21499.8675767849,25295.5130480684,33583.9252853003,25295.5130480684,38254.2056444587,29695.7172764468,45693.0241821957
