"Lipid","Adduct","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334","QC","QC.1","QC.2","QC.3","QC.4","QC.5","QC.6","CV"
"PC 39:3"," [M-Ac-H]-@7.38",4161.95974347231,5433.85536434509,3656.26201152571,3074.37226074816,3074.37226074816,5756.81119569631,5863.54157902534,4125.84916612601,3714.95902455441,3985.36479097031,4335.75747725508,2042.02564079167,7013.81093793881,4208.25870172074,6201.19672700279,2584.60353712309,1771.31452978073,7374.27961812012,7158.34006985689,5166.54078645223,6419.39100182543,6118.74510740346,4561.13176880706,4125.84916612601,3985.36479097031,2744.60096328939,4561.13176880706,4740.23170646276,4494.95613703607,6201.19672700279,3985.36479097031,5166.54078645223,4494.95613703607,5512.95920683964,4827.65613461151,3189.89019742479,5325.16677285265,10765.8334507984,7562.29051639789,5964.28525727507,7158.34006985689,6774.47535677665,9642.88937351681,3263.15925648494,4208.25870172074,6279.57655554251,8006.1700733225,6666.52714092414,4827.65613461151,5325.16677285265,5325.16677285265,6860.64490177395,4827.65613461151,4677.10353948002,6504.40842638318,15.8071207978178
"PI 34:1"," [M-H]-@5.78",378570.527451316,343581.671666813,370200.811223377,474162.6430848,287161.122702733,503280.34634104,406422.851200265,378570.527451316,431768.015308612,195839.975750585,370200.811223377,295421.205901521,337973.853922912,431768.015308612,359576.300330345,448196.027788776,278079.626374692,370200.811223377,295421.205901521,343581.671666813,359576.300330345,603579.139577866,343581.671666813,391991.075401312,406422.851200265,448196.027788776,378570.527451316,406422.851200265,343581.671666813,529649.988185279,474162.6430848,370200.811223377,529649.988185279,317030.659916017,391991.075401312,295421.205901521,448196.027788776,343581.671666813,415406.195410902,448196.027788776,317030.659916017,570181.045458088,448196.027788776,431768.015308612,312672.922253112,391991.075401312,474162.6430848,431768.015308612,415406.195410902,448196.027788776,359576.300330345,337973.853922912,303108.577578514,303108.577578514,317030.659916017,16.0512728015623
"PA 40:5"," [M-H]-@5.99",52357.5794593338,77051.3061921559,128561.508408334,48182.0717913388,118096.963319881,141715.927686262,52357.5794593338,53465.167923091,48182.0717913388,94919.325883354,77051.3061921559,60549.0879490913,81010.799828919,32844.5995602581,57019.204561377,54967.5570809419,65125.2257666522,85545.30156897,91053.2857908905,70587.169716134,46377.5448066994,54967.5570809419,74699.5418802271,98902.095819984,89531.9676732323,85545.30156897,51161.5749350982,57019.204561377,43390.0427690779,118096.963319881,60549.0879490913,39121.7235390526,56149.8936557904,97178.5672047222,76000.9210241204,102262.39039454,61406.0632477407,53465.167923091,43390.0427690779,57019.204561377,113119.08871725,54967.5570809419,47123.1700389236,57966.4207157565,124149.506933343,88212.5794587881,74699.5418802271,34698.5125620942,45803.6944741775,53465.167923091,73034.8931539208,72134.4767047597,62248.297380789,65788.2052304147,70587.169716134,16.2669923601277
"PC 37:5"," [M-Ac-H]-@6.03",12242.0741170232,15777.2991699635,14589.2596391774,11302.8023337359,21587.8162404977,13879.4296212777,11196.8370100297,10205.7135939156,16041.5719612405,13693.1479985585,14042.4022303097,13016.721382706,18422.6022447198,13497.6290669996,11601.4033339031,9815.49086811924,13879.4296212777,19230.4242177783,21167.2774205338,13497.6290669996,19230.4242177783,15507.0561482008,19230.4242177783,14790.6659292596,22814.0313936417,14042.4022303097,11302.8023337359,7374.27961812012,19230.4242177783,22814.0313936417,9815.49086811924,12050.9503239596,16041.5719612405,18992.0606850502,14389.3093218788,45803.6944741775,13016.721382706,12532.7743970171,9457.7148263678,13879.4296212777,17300.6359888415,17300.6359888415,9815.49086811924,12641.3271214671,16859.0080277138,14389.3093218788,11858.5752938058,8405.98152389093,9642.88937351681,13879.4296212777,15777.2991699635,12641.3271214671,14790.6659292596,13218.8810080463,16328.4466952437,16.3216629065171
"PA 36:2"," [M-H]-@5.89",61406.0632477407,84215.5429344367,161160.804157178,97178.5672047222,77051.3061921559,214340.763937673,82187.1006181964,141715.927686262,49000.8732518591,91053.2857908905,87172.2008562676,72134.4767047597,97178.5672047222,35928.7366975244,72134.4767047597,43390.0427690779,53465.167923091,59201.1508533141,62248.297380789,65788.2052304147,27669.7269174155,65125.2257666522,52357.5794593338,78695.0530453306,61406.0632477407,124149.506933343,88212.5794587881,144930.140918802,34698.5125620942,144930.140918802,118096.963319881,51161.5749350982,88212.5794587881,85545.30156897,94919.325883354,54967.5570809419,65125.2257666522,78695.0530453306,41534.4123553582,126846.615144539,136837.712454063,49000.8732518591,61406.0632477407,63557.6638947225,73034.8931539208,141715.927686262,144930.140918802,61406.0632477407,60549.0879490913,74699.5418802271,77051.3061921559,87172.2008562676,87172.2008562676,93175.0716022023,102262.39039454,16.412370629287
"CL 68:2"," [M-2H](2-)@7.38",8820.96042483646,35473.9336373973,14790.6659292596,17654.6588222659,18992.0606850502,10765.8334507984,11958.7041055247,8820.96042483646,4161.95974347231,24545.7280568123,15507.0561482008,17030.8772552388,24960.0432707651,22814.0313936417,13218.8810080463,23154.368444744,25770.5874241869,13218.8810080463,42441.8011357103,11196.8370100297,16859.0080277138,23154.368444744,20553.0435169247,16567.069256039,37776.8697048003,20113.1906722862,14942.0395560165,7629.5286172313,24545.7280568123,23668.8150888774,12050.9503239596,24019.5110456632,15507.0561482008,27136.7913086955,19766.0902323077,35473.9336373973,26691.0866922063,7241.97550704791,13693.1479985585,14589.2596391774,27669.7269174155,27136.7913086955,15777.2991699635,14942.0395560165,26691.0866922063,37106.7110444833,18992.0606850502,14790.6659292596,23154.368444744,21587.8162404977,29905.1422589492,33625.6170813812,26330.049249067,23154.368444744,24960.0432707651,16.4169802730861
"PG 32:1"," [M-H]-@5.33",10205.7135939156,1771.31452978073,8223.51871446462,3817.98226544077,8820.96042483646,9457.7148263678,9457.7148263678,5964.28525727507,10364.5405776268,6018.70163542494,5325.16677285265,4276.62936680334,5756.81119569631,8562.32096238921,10205.7135939156,11601.4033339031,11302.8023337359,5664.71865704873,4208.25870172074,6279.57655554251,6279.57655554251,1536.49406574088,8062.32121991041,8006.1700733225,6351.62320475601,1622.89172218463,815.487459188174,2379.44107396467,1771.31452978073,1219.9970072539,1389.40003787783,1502.00847772804,940.714895212363,1219.9970072539,1389.40003787783,1771.31452978073,1707.10077887073,3296.56507804701,1707.10077887073,1771.31452978073,1568.71163037696,1977.98365687146,3002.81227623157,1219.9970072539,6774.47535677665,1462.72153683665,1255.11015952996,1874.82771055837,5664.71865704873,4677.10353948002,3880.87459357936,4916.9181733002,5270.84165134611,5270.84165134611,3462.72427772801,16.8591581393094
"lysoPE 17:1"," [M-H]-@1.59",4677.10353948002,3985.36479097031,4976.25404355669,3122.92622899011,2350.0971246596,4613.46187163852,4208.25870172074,3263.15925648494,2379.44107396467,3817.98226544077,3462.72427772801,4494.95613703607,2919.73357774234,3548.59810168421,2834.66115594521,3189.89019742479,2129.86921921666,3122.92622899011,1874.82771055837,3714.95902455441,3002.81227623157,3263.15925648494,3880.87459357936,3941.53391928407,2808.93798323823,2406.32562007228,3880.87459357936,6666.52714092414,2808.93798323823,1181.70108937913,4073.42720535686,3817.98226544077,3462.72427772801,1707.10077887073,3511.31416415035,2350.0971246596,1771.31452978073,2531.50572594519,3656.26201152571,3002.81227623157,2042.02564079167,2744.60096328939,3880.87459357936,2584.60353712309,2621.93490193058,4335.75747725508,2488.41517143889,3002.81227623157,3941.53391928407,2834.66115594521,3122.92622899011,4161.95974347231,3369.77809653163,2584.60353712309,3369.77809653163,16.8990939224583
"CL 74:10"," [M-2H](2-)@8.92",7562.29051639789,5964.28525727507,8405.98152389093,3656.26201152571,4276.62936680334,4677.10353948002,6926.3661512357,4677.10353948002,5270.84165134611,5270.84165134611,6279.57655554251,6591.45938638766,7767.3764624444,8062.32121991041,5756.81119569631,4976.25404355669,6504.40842638318,8820.96042483646,7374.27961812012,4740.23170646276,5379.04113284946,4448.94180379132,6504.40842638318,5664.71865704873,3880.87459357936,8562.32096238921,4613.46187163852,7241.97550704791,6018.70163542494,3369.77809653163,6504.40842638318,4125.84916612601,3074.37226074816,4740.23170646276,3296.56507804701,4335.75747725508,6666.52714092414,6118.74510740346,4208.25870172074,4561.13176880706,3656.26201152571,5964.28525727507,6201.19672700279,4976.25404355669,5512.95920683964,5166.54078645223,5125.137447116,4494.95613703607,6504.40842638318,4916.9181733002,6201.19672700279,6201.19672700279,5512.95920683964,4613.46187163852,4073.42720535686,17.0077118296909
"PC 41:6"," [M-Ac-H]-@7.03",2350.0971246596,3462.72427772801,2406.32562007228,4125.84916612601,3511.31416415035,2744.60096328939,3462.72427772801,2531.50572594519,3263.15925648494,2406.32562007228,2621.93490193058,3369.77809653163,3240.5573576736,3462.72427772801,3548.59810168421,2488.41517143889,2406.32562007228,3880.87459357936,3609.4778074159,3122.92622899011,3656.26201152571,5270.84165134611,4494.95613703607,4613.46187163852,3240.5573576736,3880.87459357936,2129.86921921666,4208.25870172074,3189.89019742479,6774.47535677665,2621.93490193058,3985.36479097031,5379.04113284946,3941.53391928407,2460.34163717296,2966.5388879537,3609.4778074159,4494.95613703607,3985.36479097031,3941.53391928407,2808.93798323823,4916.9181733002,4561.13176880706,5125.137447116,4161.95974347231,5054.99837381301,5863.54157902534,5433.85536434509,3462.72427772801,3296.56507804701,2406.32562007228,2744.60096328939,3985.36479097031,2744.60096328939,3074.37226074816,17.1010469118621
