"Class","Carbon","Chain","Adduct","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334"
"CL",72,2," [M-2H](2-)@7.60",1707.10077887073,2090.49990243022,2129.86921921666,2460.34163717296,5125.137447116,2090.49990243022,1462.72153683665,1462.72153683665,1034.34162550108,2189.86444712293,3369.77809653163,2189.86444712293,1707.10077887073,3656.26201152571,1219.9970072539,3511.31416415035,2379.44107396467,1255.11015952996,1536.49406574088,1337.69350262176,2189.86444712293,2834.66115594521,1060.61081012866,3122.92622899011,1502.00847772804,4561.13176880706,1707.10077887073,1568.71163037696,2488.41517143889,1813.2023707082,3714.95902455441,4494.95613703607,1930.20778119725,1462.72153683665,3240.5573576736,5433.85536434509,6018.70163542494,1389.40003787783,940.714895212363,3263.15925648494,2129.86921921666,2090.49990243022,2966.5388879537,1255.11015952996,707.656784504482,1813.2023707082,1874.82771055837,2406.32562007228
"CL",78,10," [M-2H](2-)@9.10",1389.40003787783,2488.41517143889,1034.34162550108,1568.71163037696,4448.94180379132,978.506715485391,640.166057874239,940.714895212363,2042.02564079167,854.763253912523,854.763253912523,578.026420843903,1181.70108937913,978.506715485391,1255.11015952996,978.506715485391,1568.71163037696,1181.70108937913,3122.92622899011,1622.89172218463,1181.70108937913,3548.59810168421,815.487459188174,898.373961904056,4561.13176880706,3714.95902455441,6504.40842638318,3817.98226544077,3941.53391928407,3462.72427772801,1502.00847772804,8006.1700733225,7562.29051639789,3122.92622899011,3880.87459357936,14042.4022303097,3263.15925648494,2090.49990243022,2235.3316546621,2584.60353712309,2379.44107396467,2189.86444712293,1930.20778119725,3074.37226074816,578.026420843903,2379.44107396467,2235.3316546621,3656.26201152571
"CL",76,5," [M-2H](2-)@6.11",1874.82771055837,2531.50572594519,2042.02564079167,3462.72427772801,2919.73357774234,3941.53391928407,2621.93490193058,3656.26201152571,3511.31416415035,2531.50572594519,1930.20778119725,3296.56507804701,1930.20778119725,1977.98365687146,2260.07784213417,2621.93490193058,2584.60353712309,3941.53391928407,4677.10353948002,3548.59810168421,3985.36479097031,3462.72427772801,3074.37226074816,4827.65613461151,4740.23170646276,4161.95974347231,3462.72427772801,1502.00847772804,2690.43796502872,3656.26201152571,1874.82771055837,2834.66115594521,4613.46187163852,2406.32562007228,3985.36479097031,3609.4778074159,2460.34163717296,3122.92622899011,2488.41517143889,3240.5573576736,1930.20778119725,3548.59810168421,3369.77809653163,1977.98365687146,4125.84916612601,3985.36479097031,4208.25870172074,3511.31416415035
"PA",36,1," [M-H]-@6.37",11858.5752938058,13879.4296212777,23668.8150888774,16328.4466952437,11046.1880011681,39121.7235390526,11858.5752938058,19766.0902323077,10063.9615314615,18783.3928815169,18422.6022447198,16859.0080277138,11858.5752938058,8405.98152389093,12641.3271214671,14790.6659292596,16859.0080277138,11958.7041055247,17300.6359888415,9815.49086811924,8562.32096238921,8006.1700733225,15507.0561482008,29062.2865632281,12050.9503239596,28371.0524068473,13693.1479985585,10063.9615314615,4916.9181733002,16859.0080277138,14942.0395560165,6666.52714092414,7892.45584426399,19502.167767695,17858.1983327838,12641.3271214671,9642.88937351681,15777.2991699635,7158.34006985689,19230.4242177783,19230.4242177783,9815.49086811924,11601.4033339031,10063.9615314615,13879.4296212777,14790.6659292596,12242.0741170232,8006.1700733225
"PA",36,3," [M-H]-@5.46",20553.0435169247,16859.0080277138,51161.5749350982,40586.2240315824,19230.4242177783,85545.30156897,34698.5125620942,42441.8011357103,18783.3928815169,35473.9336373973,42441.8011357103,33257.2218777345,34698.5125620942,13218.8810080463,29905.1422589492,7158.34006985689,10205.7135939156,14389.3093218788,4827.65613461151,16041.5719612405,7629.5286172313,10205.7135939156,13497.6290669996,19766.0902323077,8223.51871446462,40240.0754398973,22145.5932237834,24545.7280568123,6860.64490177395,19230.4242177783,39121.7235390526,17858.1983327838,20553.0435169247,19230.4242177783,23668.8150888774,6860.64490177395,18783.3928815169,26330.049249067,9815.49086811924,23154.368444744,23668.8150888774,7013.81093793881,17300.6359888415,15507.0561482008,12242.0741170232,17858.1983327838,21876.9953979148,12242.0741170232
"PA",40,6," [M-H]-@5.78",124149.506933343,181912.871395018,270214.611960869,131493.365381345,136837.712454063,324416.627688208,139661.698759454,260700.804347749,81010.799828919,242360.539673958,214340.763937673,169476.688360362,225772.247189162,93175.0716022023,128561.508408334,78695.0530453306,93175.0716022023,181912.871395018,98902.095819984,97178.5672047222,78695.0530453306,177326.928718652,128561.508408334,230120.458118071,128561.508408334,295421.205901521,139661.698759454,278079.626374692,82187.1006181964,278079.626374692,260700.804347749,128561.508408334,139661.698759454,225772.247189162,225772.247189162,105787.310973488,177326.928718652,220401.015264899,105787.310973488,208788.147287482,303108.577578514,144930.140918802,177326.928718652,202373.172699534,131493.365381345,287161.122702733,312672.922253112,113119.08871725
"PA",40,4," [M-H]-@6.51",43390.0427690779,64184.943535615,46377.5448066994,24019.5110456632,31819.8040048479,77051.3061921559,26691.0866922063,39121.7235390526,23154.368444744,52357.5794593338,41534.4123553582,43903.6272116872,39121.7235390526,17858.1983327838,24960.0432707651,42441.8011357103,23668.8150888774,42441.8011357103,51161.5749350982,31819.8040048479,31203.8141300625,51161.5749350982,44468.7218741318,65788.2052304147,31819.8040048479,91053.2857908905,57019.204561377,45803.6944741775,18992.0606850502,124149.506933343,45803.6944741775,25770.5874241869,35928.7366975244,69281.4798380118,44468.7218741318,46377.5448066994,46377.5448066994,57966.4207157565,46377.5448066994,52357.5794593338,85545.30156897,61406.0632477407,70587.169716134,53465.167923091,46377.5448066994,87172.2008562676,85545.30156897,31203.8141300625
"PA",38,4," [M-H]-@5.81",85545.30156897,150462.807134574,247652.445144075,73034.8931539208,141715.927686262,260700.804347749,105787.310973488,153361.534593716,77051.3061921559,181912.871395018,153361.534593716,139661.698759454,139661.698759454,52357.5794593338,113119.08871725,82187.1006181964,102262.39039454,177326.928718652,156942.202992535,131493.365381345,69281.4798380118,144930.140918802,153361.534593716,189294.061798486,131493.365381345,169476.688360362,102262.39039454,169476.688360362,64184.943535615,230120.458118071,113119.08871725,64184.943535615,91053.2857908905,208788.147287482,156942.202992535,144930.140918802,144930.140918802,139661.698759454,76000.9210241204,110320.801448749,260700.804347749,118096.963319881,118096.963319881,124149.506933343,181912.871395018,230120.458118071,208788.147287482,69281.4798380118
"PA",38,2," [M-H]-@6.51",17300.6359888415,40586.2240315824,22814.0313936417,22432.4909232519,14183.4344751869,54967.5570809419,24019.5110456632,35473.9336373973,13016.721382706,22432.4909232519,20113.1906722862,25252.9578295235,19766.0902323077,13016.721382706,18052.1514022068,14942.0395560165,17858.1983327838,18992.0606850502,20553.0435169247,17300.6359888415,14589.2596391774,19766.0902323077,24960.0432707651,42441.8011357103,18992.0606850502,65788.2052304147,43390.0427690779,39121.7235390526,10063.9615314615,65788.2052304147,35928.7366975244,16041.5719612405,19230.4242177783,28371.0524068473,32844.5995602581,18052.1514022068,33257.2218777345,40586.2240315824,26330.049249067,40240.0754398973,57966.4207157565,22145.5932237834,34698.5125620942,34698.5125620942,25770.5874241869,59201.1508533141,49000.8732518591,18783.3928815169
"PA",42,7," [M-H]-@5.89",26330.049249067,31819.8040048479,54967.5570809419,40240.0754398973,33625.6170813812,73034.8931539208,40240.0754398973,50222.2123266577,38502.0070433393,81010.799828919,60549.0879490913,63557.6638947225,51161.5749350982,25770.5874241869,45803.6944741775,53465.167923091,45803.6944741775,56149.8936557904,48182.0717913388,40240.0754398973,37106.7110444833,29062.2865632281,70587.169716134,76000.9210241204,53465.167923091,77051.3061921559,43903.6272116872,35473.9336373973,22814.0313936417,43390.0427690779,56149.8936557904,29905.1422589492,41534.4123553582,62248.297380789,54967.5570809419,21587.8162404977,40240.0754398973,37776.8697048003,22432.4909232519,35473.9336373973,52357.5794593338,33625.6170813812,27136.7913086955,48182.0717913388,63557.6638947225,57019.204561377,45803.6944741775,21876.9953979148
"PA",38,5," [M-H]-@5.35",15507.0561482008,8562.32096238921,31203.8141300625,10364.5405776268,16328.4466952437,44468.7218741318,17654.6588222659,15777.2991699635,12242.0741170232,37776.8697048003,26330.049249067,19502.167767695,21876.9953979148,5599.89253538876,19230.4242177783,10765.8334507984,14942.0395560165,18422.6022447198,7562.29051639789,16567.069256039,9457.7148263678,4613.46187163852,17300.6359888415,26691.0866922063,13497.6290669996,14389.3093218788,8006.1700733225,7158.34006985689,3656.26201152571,6419.39100182543,7434.25355009642,4073.42720535686,3656.26201152571,13218.8810080463,11858.5752938058,4073.42720535686,8062.32121991041,11046.1880011681,4161.95974347231,5325.16677285265,18422.6022447198,6419.39100182543,8562.32096238921,8006.1700733225,26330.049249067,11046.1880011681,10364.5405776268,2966.5388879537
"PA",34,2," [M-H]-@5.29",2235.3316546621,1707.10077887073,6666.52714092414,2808.93798323823,1622.89172218463,8006.1700733225,2488.41517143889,5325.16677285265,1462.72153683665,3656.26201152571,4448.94180379132,4208.25870172074,3548.59810168421,1337.69350262176,4335.75747725508,1389.40003787783,2350.0971246596,2406.32562007228,978.506715485391,2189.86444712293,1771.31452978073,1568.71163037696,2460.34163717296,2966.5388879537,1568.71163037696,2690.43796502872,1536.49406574088,3609.4778074159,854.763253912523,2042.02564079167,2808.93798323823,940.714895212363,1060.61081012866,2189.86444712293,1813.2023707082,1034.34162550108,940.714895212363,1707.10077887073,854.763253912523,2488.41517143889,1813.2023707082,1117.91162164385,1622.89172218463,1117.91162164385,1568.71163037696,2350.0971246596,2090.49990243022,940.714895212363
"PA",34,1," [M-H]-@5.80",5664.71865704873,3880.87459357936,14183.4344751869,7767.3764624444,5166.54078645223,17858.1983327838,6351.62320475601,11858.5752938058,4677.10353948002,8562.32096238921,8635.27005289917,6279.57655554251,7374.27961812012,3074.37226074816,8562.32096238921,6860.64490177395,6351.62320475601,6279.57655554251,3880.87459357936,5756.81119569631,3548.59810168421,2584.60353712309,5964.28525727507,8062.32121991041,5125.137447116,9164.11248687634,4448.94180379132,3548.59810168421,2235.3316546621,5125.137447116,4161.95974347231,1536.49406574088,3122.92622899011,4561.13176880706,4448.94180379132,5379.04113284946,2834.66115594521,4827.65613461151,1813.2023707082,2966.5388879537,4561.13176880706,2531.50572594519,4677.10353948002,4916.9181733002,6351.62320475601,3714.95902455441,4448.94180379132,2488.41517143889
"PA",40,5," [M-H]-@5.99",52357.5794593338,77051.3061921559,128561.508408334,48182.0717913388,118096.963319881,141715.927686262,52357.5794593338,53465.167923091,48182.0717913388,94919.325883354,77051.3061921559,60549.0879490913,81010.799828919,32844.5995602581,57019.204561377,54967.5570809419,65125.2257666522,85545.30156897,91053.2857908905,70587.169716134,46377.5448066994,54967.5570809419,74699.5418802271,98902.095819984,89531.9676732323,85545.30156897,51161.5749350982,57019.204561377,43390.0427690779,118096.963319881,60549.0879490913,39121.7235390526,56149.8936557904,97178.5672047222,76000.9210241204,102262.39039454,61406.0632477407,53465.167923091,43390.0427690779,57019.204561377,113119.08871725,54967.5570809419,47123.1700389236,57966.4207157565,124149.506933343,88212.5794587881,74699.5418802271,34698.5125620942
"PA",36,2," [M-H]-@5.89",61406.0632477407,84215.5429344367,161160.804157178,97178.5672047222,77051.3061921559,214340.763937673,82187.1006181964,141715.927686262,49000.8732518591,91053.2857908905,87172.2008562676,72134.4767047597,97178.5672047222,35928.7366975244,72134.4767047597,43390.0427690779,53465.167923091,59201.1508533141,62248.297380789,65788.2052304147,27669.7269174155,65125.2257666522,52357.5794593338,78695.0530453306,61406.0632477407,124149.506933343,88212.5794587881,144930.140918802,34698.5125620942,144930.140918802,118096.963319881,51161.5749350982,88212.5794587881,85545.30156897,94919.325883354,54967.5570809419,65125.2257666522,78695.0530453306,41534.4123553582,126846.615144539,136837.712454063,49000.8732518591,61406.0632477407,63557.6638947225,73034.8931539208,141715.927686262,144930.140918802,61406.0632477407
"PA",42,8," [M-H]-@5.46",12763.0232448943,20553.0435169247,27136.7913086955,27669.7269174155,15777.2991699635,50222.2123266577,22814.0313936417,24960.0432707651,20553.0435169247,50222.2123266577,29905.1422589492,22145.5932237834,26330.049249067,16328.4466952437,33257.2218777345,22145.5932237834,13016.721382706,37106.7110444833,6926.3661512357,16859.0080277138,13693.1479985585,18422.6022447198,20808.5828793092,25252.9578295235,13879.4296212777,33625.6170813812,24545.7280568123,18052.1514022068,21876.9953979148,20113.1906722862,29905.1422589492,16567.069256039,24545.7280568123,25770.5874241869,37776.8697048003,10205.7135939156,20808.5828793092,27669.7269174155,14389.3093218788,33257.2218777345,39121.7235390526,18422.6022447198,19766.0902323077,32844.5995602581,19766.0902323077,29905.1422589492,27669.7269174155,14589.2596391774
"PA",30,1," [M-H]-@5.00",707.656784504482,517.770076650001,978.506715485391,319.671396577873,578.026420843903,424.015971290906,743.886215430844,319.671396577873,707.656784504482,473.400163132699,424.015971290906,424.015971290906,978.506715485391,815.487459188174,319.671396577873,473.400163132699,782.708589076385,578.026420843903,1337.69350262176,640.166057874239,424.015971290906,517.770076650001,578.026420843903,319.671396577873,424.015971290906,473.400163132699,424.015971290906,1034.34162550108,578.026420843903,1771.31452978073,1462.72153683665,782.708589076385,424.015971290906,707.656784504482,854.763253912523,1219.9970072539,1117.91162164385,578.026420843903,640.166057874239,782.708589076385,517.770076650001,707.656784504482,815.487459188174,1707.10077887073,743.886215430844,1060.61081012866,1060.61081012866,517.770076650001
"PA",28,4," [M-H]-@1.83",3880.87459357936,4976.25404355669,6419.39100182543,4448.94180379132,7241.97550704791,3817.98226544077,3985.36479097031,3369.77809653163,3817.98226544077,5166.54078645223,4827.65613461151,6666.52714092414,4073.42720535686,7629.5286172313,6351.62320475601,5433.85536434509,8062.32121991041,5756.81119569631,4613.46187163852,5664.71865704873,6201.19672700279,3189.89019742479,7562.29051639789,7629.5286172313,8562.32096238921,4740.23170646276,3714.95902455441,2531.50572594519,3609.4778074159,2531.50572594519,2189.86444712293,3122.92622899011,4335.75747725508,2808.93798323823,4335.75747725508,2260.07784213417,2744.60096328939,4561.13176880706,5863.54157902534,4494.95613703607,2744.60096328939,4073.42720535686,1771.31452978073,3122.92622899011,6926.3661512357,3263.15925648494,2531.50572594519,2621.93490193058
"PA",38,3," [M-H]-@6.02",41534.4123553582,62248.297380789,110320.801448749,60549.0879490913,87172.2008562676,113119.08871725,39121.7235390526,57019.204561377,33625.6170813812,105787.310973488,72134.4767047597,62248.297380789,73034.8931539208,31203.8141300625,78695.0530453306,60549.0879490913,81010.799828919,62248.297380789,118096.963319881,78695.0530453306,38502.0070433393,37106.7110444833,80150.8172048298,161160.804157178,113119.08871725,97178.5672047222,59201.1508533141,37106.7110444833,29062.2865632281,110320.801448749,42441.8011357103,27136.7913086955,53465.167923091,82187.1006181964,65125.2257666522,93175.0716022023,76000.9210241204,47123.1700389236,28371.0524068473,47123.1700389236,124149.506933343,37106.7110444833,41534.4123553582,24960.0432707651,139661.698759454,105787.310973488,59201.1508533141,19766.0902323077
"PA",38,1," [M-H]-@6.95",10364.5405776268,14942.0395560165,6018.70163542494,11958.7041055247,8562.32096238921,7562.29051639789,7374.27961812012,6666.52714092414,9164.11248687634,3609.4778074159,7767.3764624444,8062.32121991041,5863.54157902534,8820.96042483646,9815.49086811924,9280.91190583454,5270.84165134611,4827.65613461151,13693.1479985585,7013.81093793881,7767.3764624444,10063.9615314615,4161.95974347231,5270.84165134611,3296.56507804701,20553.0435169247,29905.1422589492,29905.1422589492,20113.1906722862,23154.368444744,18992.0606850502,25252.9578295235,23154.368444744,10765.8334507984,6860.64490177395,17300.6359888415,7013.81093793881,14589.2596391774,16859.0080277138,17030.8772552388,8562.32096238921,15280.4978501527,24545.7280568123,10364.5405776268,3189.89019742479,12763.0232448943,21587.8162404977,18052.1514022068
"PA",36,4," [M-H]-@5.25",1255.11015952996,640.166057874239,3511.31416415035,2406.32562007228,2460.34163717296,6926.3661512357,1874.82771055837,3296.56507804701,1181.70108937913,3462.72427772801,4561.13176880706,2129.86921921666,2808.93798323823,940.714895212363,2690.43796502872,517.770076650001,1536.49406574088,1568.71163037696,707.656784504482,1813.2023707082,1536.49406574088,578.026420843903,1536.49406574088,2042.02564079167,1930.20778119725,2090.49990243022,1771.31452978073,1389.40003787783,424.015971290906,1060.61081012866,2090.49990243022,1771.31452978073,1707.10077887073,2584.60353712309,1219.9970072539,1502.00847772804,2690.43796502872,2406.32562007228,1337.69350262176,1536.49406574088,2919.73357774234,1930.20778119725,1219.9970072539,424.015971290906,2042.02564079167,854.763253912523,1181.70108937913,473.400163132699
"PA",38,6," [M-H]-@6.07",1219.9970072539,3817.98226544077,1181.70108937913,1930.20778119725,3189.89019742479,2690.43796502872,1977.98365687146,1117.91162164385,2235.3316546621,1707.10077887073,782.708589076385,1622.89172218463,1568.71163037696,1771.31452978073,1536.49406574088,2379.44107396467,3369.77809653163,2350.0971246596,7892.45584426399,2090.49990243022,1389.40003787783,3074.37226074816,2379.44107396467,2690.43796502872,4448.94180379132,3074.37226074816,2090.49990243022,2488.41517143889,3511.31416415035,7629.5286172313,815.487459188174,1034.34162550108,3714.95902455441,3714.95902455441,2379.44107396467,14183.4344751869,4976.25404355669,2808.93798323823,2379.44107396467,1813.2023707082,5512.95920683964,2834.66115594521,1568.71163037696,2919.73357774234,2379.44107396467,2966.5388879537,2350.0971246596,1813.2023707082
